# Provenance:
#   Script: /media/drn2/External/TARA-Oceans/MANUSCRIPT/.wt_ralph58/task2/scripts/pnps_analysis/finalize_pfam_status_20260530_211500.py
#   Source 1: UniProt REST API — all C. reinhardtii proteins (organism_id:3055)
#   Source 2: Ensembl Plants BioMart — creinhardtii_eg_gene, Pfam attribute
#   Source 3: NCBI RefSeq GFF3 — GCF_000002595.2 (gene existence via Phytozome Dbxref)
#   DS3: Flowers et al. 2015 tpc00492 SupplementalDS3 (doi:10.5061/dryad.1n0g6)
#   Date: 2026-05-30 20:43:48
#   Method: Merged UniProt Pfam + Ensembl BioMart Pfam + NCBI GFF3 cross-reference
#
#   Classification:
#     has_pfam=1: gene has >=1 Pfam domain in UniProt and/or BioMart
#     has_pfam=0: gene found in databases but no Pfam domain annotated
#     has_pfam=-1: gene uses old JGI v5.0 ID (g####) not in v5.5/v5.6;
#                  absent from UniProt, Ensembl, and NCBI RefSeq.
#                  These 5,882 genes need hmmsearch on the v5.0 proteome (task 3).
Gene_ID	has_pfam	pfam_domains
Cre12.g538100	1	PF13409,PF13410
Cre12.g538150	1	PF03517
Cre12.g538200	1	PF01926,PF03959,PF05773,PF08438
Cre12.g538250	0	
Cre12.g538350	1	PF01491
Cre12.g538400	1	PF03876,PF08292
Cre12.g538450	1	PF01066
Cre12.g538492	0	
Cre12.g538500	1	PF00400,PF04003
Cre12.g538550	0	
Cre12.g538600	1	PF00041
Cre12.g538650	1	PF00590
Cre12.g538700	1	PF07766
Cre12.g538750	1	PF01423
Cre12.g538850	1	PF03451,PF23414
Cre12.g538900	0	
Cre12.g538950	1	PF16455
Cre12.g539000	1	PF01467
Cre12.g539050	1	PF06148
Cre12.g539100	1	PF00270,PF00271
Cre12.g539200	0	
Cre12.g539650	1	PF08016
Cre12.g539700	0	
Cre12.g539750	0	
Cre12.g539800	0	
Cre12.g539900	1	PF00676
Cre12.g540050	0	
Cre12.g540100	0	
Cre12.g540150	0	
Cre12.g540200	1	PF00270,PF00271
Cre12.g540250	1	PF10262
Cre12.g540300	-1	
Cre12.g540350	1	PF04078
Cre12.g540400	1	PF04078
Cre12.g540450	0	
Cre12.g540480	0	
Cre12.g540500	1	PF05648
Cre12.g540650	1	PF00005,PF01061,PF08370
Cre12.g540700	0	
Cre12.g540750	1	PF05608
Cre12.g540800	0	
Cre12.g540850	0	
Cre12.g540900	0	
Cre12.g540950	0	
Cre12.g541000	0	
Cre12.g541050	0	
Cre12.g541100	1	PF02338
Cre12.g541150	1	PF03942
Cre12.g541200	1	PF01226
Cre12.g541211	0	
Cre12.g541250	1	PF01226
Cre12.g541300	1	PF00004,PF17862
Cre12.g541350	1	PF00566
Cre12.g541400	1	PF04366
Cre12.g541450	0	
Cre12.g541500	0	
Cre12.g541550	0	
Cre12.g541600	0	
Cre12.g541650	0	
Cre12.g541700	0	
Cre12.g541750	1	PF01593
Cre12.g541800	1	PF00326,PF02897
Cre12.g541840	-1	
Cre12.g541850	1	PF00708
Cre12.g541950	0	
Cre12.g542000	1	PF02580
Cre12.g542050	0	
Cre12.g542100	1	PF00326,PF02897
Cre12.g542150	1	PF14108
Cre12.g542200	0	
Cre12.g542250	1	PF00091,PF03953
Cre12.g542300	0	
Cre12.g542350	1	PF00582
Cre12.g542400	1	PF13878,PF13880
Cre12.g542450	1	PF13086,PF13087,PF21634
Cre12.g542500	1	PF02536
Cre12.g542550	1	PF01529
Cre12.g542569	1	PF00060,PF10613
Cre12.g542600	0	
Cre12.g542700	0	
Cre12.g542750	0	
Cre12.g542800	1	PF00562,PF04560,PF04561,PF04563,PF04565,PF04566,PF04567
Cre12.g542900	1	PF00069
Cre12.g542950	1	PF13634,PF13874
Cre12.g543000	0	
Cre12.g543050	1	PF04241
Cre12.g543100	1	PF04189
Cre12.g543150	-1	
Cre12.g543250	-1	
Cre12.g543258	-1	
Cre12.g543300	0	
Cre12.g543350	1	PF00107,PF08240
Cre12.g543400	1	PF00107,PF08240
Cre12.g543450	1	PF12678
Cre12.g543500	0	
Cre12.g543550	0	
Cre12.g543650	0	
Cre12.g543800	0	
Cre12.g543850	1	PF09497
Cre12.g543900	1	PF01451
Cre12.g543950	0	
Cre12.g544000	1	PF00248
Cre12.g544100	0	
Cre12.g544150	1	PF00160
Cre12.g544200	1	PF00160
Cre12.g544250	0	
Cre12.g544300	0	
Cre12.g544400	1	PF00069
Cre12.g544450	0	
Cre12.g544500	-1	
Cre12.g544550	1	PF00069
Cre12.g544600	0	
Cre12.g544650	1	PF13489
Cre12.g544662	0	
Cre12.g544750	1	PF00023
Cre12.g544800	0	
Cre12.g544850	0	
Cre12.g544900	1	PF00240,PF25343
Cre12.g544950	0	
Cre12.g545000	1	PF00022
Cre12.g545050	-1	
Cre12.g545100	0	
Cre12.g545150	1	PF01417
Cre12.g545250	0	
Cre12.g545300	1	PF01417
Cre12.g545400	0	
Cre12.g545450	0	
Cre12.g545500	1	PF13499
Cre12.g545550	0	
Cre12.g545600	1	PF00097
Cre12.g545619	0	
Cre12.g545650	0	
Cre12.g545700	0	
Cre12.g545750	1	PF00069
Cre12.g545800	0	
Cre12.g545850	1	PF00012
Cre12.g545950	1	PF00069
Cre12.g546000	1	PF08561
Cre12.g546050	1	PF02670,PF08436,PF13288
Cre12.g546100	1	PF00225
Cre12.g546150	1	PF08041
Cre12.g546200	1	PF01694
Cre12.g546300	1	PF09728
Cre12.g546350	1	PF05653
Cre12.g546400	1	PF03259
Cre12.g546450	1	PF14655
Cre12.g546500	1	PF03188
Cre12.g546550	1	PF07692
Cre12.g546600	1	PF07692
Cre12.g546650	1	PF00179
Cre12.g546700	1	PF00076,PF05843
Cre12.g546750	0	
Cre12.g546770	1	PF04117
Cre12.g546800	1	PF12499
Cre12.g546850	1	PF04117
Cre12.g546900	1	PF13516
Cre12.g546950	0	
Cre12.g546976	-1	
Cre12.g547000	1	PF02367
Cre12.g547050	0	
Cre12.g547100	1	PF08241
Cre12.g547150	0	
Cre12.g547200	1	PF07714
Cre12.g547250	0	
Cre12.g547300	1	PF00005,PF01061,PF19055
Cre12.g547351	1	PF00211
Cre12.g547400	1	PF00903
Cre12.g547450	1	PF02204,PF18151
Cre12.g547500	0	
Cre12.g547550	-1	
Cre12.g547650	0	
Cre12.g547700	1	PF03133
Cre12.g547734	0	
Cre12.g547750	1	PF05889
Cre12.g547800	1	PF01073
Cre12.g547850	0	
Cre12.g547900	1	PF00153
Cre12.g547950	1	PF01713,PF08590
Cre12.g548000	1	PF08146,PF12397
Cre12.g548033	-1	
Cre12.g548050	1	PF00211
Cre12.g548100	1	PF00632
Cre12.g548150	-1	
Cre12.g548200	1	PF13365
Cre12.g548250	1	PF00498
Cre12.g548300	1	PF14995
Cre12.g548350	0	
Cre12.g548391	0	
Cre12.g548400	1	PF00504
Cre12.g548450	1	PF05686
Cre12.g548500	0	
Cre12.g548550	1	PF05742
Cre12.g548600	-1	
Cre12.g548650	1	PF07719,PF13181,PF13432
Cre12.g548700	0	
Cre12.g548800	0	
Cre12.g548900	1	PF00169,PF00397
Cre12.g548950	1	PF00504
Cre12.g548955	0	
Cre12.g549000	1	PF12499
Cre12.g549050	1	PF03088
Cre12.g549100	0	
Cre12.g549150	0	
Cre12.g549200	0	
Cre12.g549250	1	PF04564
Cre12.g549300	1	PF00230
Cre12.g549350	0	
Cre12.g549400	1	PF09366
Cre12.g549450	1	PF01557
Cre12.g549500	1	PF06110
Cre12.g549550	1	PF00091,PF03953
Cre12.g549600	0	
Cre12.g549650	0	
Cre12.g549700	1	PF22891
Cre12.g549750	1	PF00069
Cre12.g549800	1	PF00069
Cre12.g549850	1	PF03129
Cre12.g549900	0	
Cre12.g549950	1	PF04178
Cre12.g550000	0	
Cre12.g550050	-1	
Cre12.g550150	0	
Cre12.g550200	1	PF08241
Cre12.g550250	1	PF03638
Cre12.g550350	0	
Cre12.g550400	1	PF00462
Cre12.g550450	0	
Cre12.g550600	1	PF04117
Cre12.g550650	1	PF00238
Cre12.g550700	1	PF00551
Cre12.g550750	1	PF03937
Cre12.g550800	1	PF00533,PF00817,PF11799,PF14377,PF21999
Cre12.g550850	1	PF01789
Cre12.g550900	1	PF12349,PF16414,PF22314
Cre12.g551000	1	PF14778
Cre12.g551050	1	PF17800
Cre12.g551100	0	
Cre12.g551200	1	PF00686
Cre12.g551250	1	PF00069
Cre12.g551300	-1	
Cre12.g551350	1	PF01042
Cre12.g551446	-1	
Cre12.g551451	-1	
Cre12.g551500	1	PF00226,PF01556
Cre12.g551600	0	
Cre12.g551700	0	
Cre12.g551750	-1	
Cre12.g551800	1	PF00293
Cre12.g551850	1	PF00175,PF00258,PF00667
Cre12.g551900	1	PF05811
Cre12.g551950	0	
Cre12.g552001	1	PF01435
Cre12.g552050	1	PF13229
Cre12.g552100	0	
Cre12.g552150	1	PF07714,PF13185
Cre12.g552200	1	PF00343
Cre12.g552250	0	
Cre12.g552300	1	PF00059,PF12499
Cre12.g552350	0	
Cre12.g552400	1	PF03407
Cre12.g552450	0	
Cre12.g552500	1	PF23406
Cre12.g552550	0	
Cre12.g552600	1	PF05050
Cre12.g552650	1	PF22600,PF26180
Cre12.g552700	1	PF00530
Cre12.g552750	1	PF04520
Cre12.g552850	1	PF01571
Cre12.g552900	1	PF00400
Cre12.g552950	0	
Cre12.g553000	0	
Cre12.g553050	1	PF05172
Cre12.g553100	1	PF21289
Cre12.g553150	-1	
Cre12.g553250	1	PF00365
Cre12.g553300	1	PF07714
Cre12.g553350	0	
Cre12.g553400	0	
Cre12.g553500	1	PF00023,PF12796
Cre12.g553550	0	
Cre12.g553650	0	
Cre12.g553700	1	PF01323
Cre12.g553750	1	PF00076,PF16275,PF22675
Cre12.g553800	1	PF00023,PF12796
Cre12.g553850	0	
Cre12.g553900	1	PF00027,PF00520
Cre12.g553950	0	
Cre12.g554000	-1	
Cre12.g554050	0	
Cre12.g554100	0	
Cre12.g554150	0	
Cre12.g554200	1	PF12352
Cre12.g554250	1	PF25441
Cre12.g554300	0	
Cre12.g554350	0	
Cre12.g554400	0	
Cre12.g554450	0	
Cre12.g554550	0	
Cre12.g554600	0	
Cre12.g554650	1	PF04824,PF04825
Cre12.g554700	1	PF00957,PF13774
Cre12.g554750	1	PF00240
Cre12.g554800	1	PF00485
Cre12.g554850	1	PF00085
Cre12.g554929	0	
Cre12.g554950	-1	
Cre12.g555000	0	
Cre12.g555100	0	
Cre12.g555150	0	
Cre12.g555200	1	PF09786
Cre12.g555250	0	
Cre12.g555300	0	
Cre12.g555350	1	PF03248
Cre12.g555400	1	PF10693
Cre12.g555450	1	PF03770
Cre12.g555500	1	PF02277
Cre12.g555550	1	PF00626
Cre12.g555600	0	
Cre12.g555650	1	PF03407
Cre12.g555700	1	PF00226
Cre12.g555750	1	PF00294
Cre12.g555800	1	PF00069
Cre12.g555850	1	PF05903
Cre12.g555900	-1	
Cre12.g555950	1	PF03028,PF08393,PF12774,PF12775,PF12777,PF12780,PF12781,PF17852,PF17857,PF18198,PF18199
Cre12.g556000	1	PF06742,PF06863
Cre12.g556050	1	PF01281,PF03948
Cre12.g556100	1	PF07719,PF13877
Cre12.g556150	1	PF02517
Cre12.g556200	1	PF15011
Cre12.g556250	1	PF00735
Cre12.g556300	1	PF14926
Cre12.g556350	1	PF00295
Cre12.g556400	1	PF00808
Cre12.g556450	1	PF09748
Cre12.g556500	1	PF01847
Cre12.g556550	0	
Cre12.g556650	1	PF12894,PF12896
Cre12.g556700	0	
Cre12.g556750	1	PF00106
Cre12.g556800	0	
Cre12.g556905	0	
Cre12.g556950	0	
Cre12.g557000	1	PF04110
Cre12.g557050	1	PF02325
Cre12.g557100	1	PF01135
Cre12.g557250	1	PF00350
Cre12.g557300	1	PF07716
Cre12.g557400	1	PF03835,PF10403,PF10404,PF10405
Cre12.g557450	0	
Cre12.g557500	1	PF00233
Cre12.g557600	1	PF00406,PF05191
Cre12.g557650	0	
Cre12.g557700	1	PF00753,PF16123
Cre12.g557750	1	PF03982
Cre12.g557800	1	PF01984
Cre12.g557850	1	PF00612
Cre12.g557900	1	PF05241
Cre12.g557950	1	PF00226
Cre12.g558000	1	PF01250
Cre12.g558050	0	
Cre12.g558100	1	PF06325,PF22528
Cre12.g558150	0	
Cre12.g558200	0	
Cre12.g558321	-1	
Cre12.g558400	1	PF01702
Cre12.g558450	1	PF01564,PF17284
Cre12.g558526	1	PF14623
Cre12.g558550	1	PF00561
Cre12.g558600	0	
Cre12.g558650	1	PF01008
Cre12.g558700	1	PF00334,PF25364
Cre12.g558750	1	PF01783
Cre12.g558800	0	
Cre12.g558850	0	
Cre12.g558900	0	
Cre12.g558950	1	PF00505
Cre12.g559050	1	PF13516,PF25372
Cre12.g559100	0	
Cre12.g559200	0	
Cre12.g559250	1	PF00244
Cre12.g559300	0	
Cre12.g559350	1	PF00106
Cre12.g559400	1	PF00233
Cre12.g559450	1	PF00168
Cre12.g559550	0	
Cre12.g559600	0	
Cre12.g559700	0	
Cre12.g559750	1	PF00188
Cre12.g559800	1	PF01124
Cre12.g559850	1	PF00400
Cre12.g559900	0	
Cre12.g559950	1	PF00111
Cre12.g560000	0	
Cre12.g560100	1	PF01575
Cre12.g560150	1	PF00071
Cre12.g560200	1	PF00583
Cre12.g560250	1	PF04884,PF24160
Cre12.g560300	1	PF00076
Cre12.g560350	1	PF00069
Cre12.g560400	1	PF00013,PF00226
Cre12.g560450	0	
Cre12.g560500	0	
Cre12.g560550	1	PF00551,PF02911
Cre12.g560600	1	PF01513,PF20143
Cre12.g560650	0	
Cre12.g560668	1	PF00069
Cre12.g560700	1	PF00226,PF01556
Cre12.g560750	1	PF02536
Cre12.g560800	1	PF01546,PF07687
Cre12.g560850	-1	
Cre12.g560900	1	PF01593
Cre12.g560950	1	PF01241
Cre12.g561000	1	PF00160
Cre12.g561050	1	PF03016
Cre12.g561100	1	PF23549
Cre12.g561150	0	
Cre12.g561200	1	PF01217
Cre12.g561300	1	PF07989
Cre12.g561350	1	PF01753
Cre12.g561400	1	PF12796
Cre12.g561450	1	PF04055,PF12345
Cre12.g561500	0	
Cre12.g561550	1	PF00005,PF00664
Cre12.g561601	0	
Cre12.g561750	-1	
g12001	-1	
g12006	-1	
g12007	-1	
g12012	-1	
g12015	-1	
g12024	-1	
g12031	-1	
g12033	-1	
g12041	-1	
g12042	-1	
g12048	-1	
g12052	-1	
g12053	-1	
g12054	-1	
g12057	-1	
g12064	-1	
g12065	-1	
g12069	-1	
g12074	-1	
g12086	-1	
g12094	-1	
g12101	-1	
g12109	-1	
g12110	-1	
g12111	-1	
g12112	-1	
g12113	-1	
g12114	-1	
g12115	-1	
g12124	-1	
g12125	-1	
g12135	-1	
g12142	-1	
g12143	-1	
g12144	-1	
g12146	-1	
g12147	-1	
g12148	-1	
g12149	-1	
g12151	-1	
g12152	-1	
g12153	-1	
g12160	-1	
g12162	-1	
g12174	-1	
g12203	-1	
g12208	-1	
g12210	-1	
g12212	-1	
g12219	-1	
g12224	-1	
g12235	-1	
g12237	-1	
g12241	-1	
g12248	-1	
g12249	-1	
g12255	-1	
g12258	-1	
g12264	-1	
g12265	-1	
g12271	-1	
g12274	-1	
g12283	-1	
g12290	-1	
g12293	-1	
g12294	-1	
g12304	-1	
g12309	-1	
g12311	-1	
g12319	-1	
g12333	-1	
g12334	-1	
g12335	-1	
g12340	-1	
g12345	-1	
g12371	-1	
g12373	-1	
g12376	-1	
g12381	-1	
g12383	-1	
g12386	-1	
g12389	-1	
g12401	-1	
g12404	-1	
g12408	-1	
g12409	-1	
g12410	-1	
g12411	-1	
g12427	-1	
g12428	-1	
g12429	-1	
g12430	-1	
g12439	-1	
g12473	-1	
g12483	-1	
g12529	-1	
g12540	-1	
g12542	-1	
g12545	-1	
g12570	-1	
g12571	-1	
g12580	-1	
g12582	-1	
g12587	-1	
g12588	-1	
g12594	-1	
g12597	-1	
g12598	-1	
g12599	-1	
g12601	-1	
g12602	-1	
g12607	-1	
g12625	-1	
g12633	-1	
g12635	-1	
g12657	-1	
g12660	-1	
g12665	-1	
g12666	-1	
g12685	-1	
g12694	-1	
g12713	-1	
g12716	-1	
g12745	-1	
g12771	-1	
g12772	-1	
g12773	-1	
g12774	-1	
g12784	-1	
g12785	-1	
g12807	-1	
g12817	-1	
g12818	-1	
g12842	-1	
g12852	-1	
g12854	-1	
g12869	-1	
g12871	-1	
g12879	-1	
g12880	-1	
g12883	-1	
g12886	-1	
g12888	-1	
g12889	-1	
g12896	-1	
g12897	-1	
g12898	-1	
g12899	-1	
g12919	-1	
g12927	-1	
g12938	-1	
g12939	-1	
g12940	-1	
g12942	-1	
g12943	-1	
g12944	-1	
g12945	-1	
g12946	-1	
g12947	-1	
g12948	-1	
g12949	-1	
g12950	-1	
g12951	-1	
g12952	-1	
g12953	-1	
g12954	-1	
g12955	-1	
g12956	-1	
g12957	-1	
g12958	-1	
g12959	-1	
g12962	-1	
g12963	-1	
g12964	-1	
g12965	-1	
g12966	-1	
g12967	-1	
g12968	-1	
g12969	-1	
g12970	-1	
g12971	-1	
g12972	-1	
g12973	-1	
g12974	-1	
g12975	-1	
g12996	-1	
g13020	-1	
g13024	-1	
g13034	-1	
g13042	-1	
g13043	-1	
g13061	-1	
g13066	-1	
g13093	-1	
g13099	-1	
g13107	-1	
g13110	-1	
g13117	-1	
g13118	-1	
g13120	-1	
g13122	-1	
g13131	-1	
g13147	-1	
g13148	-1	
g13154	-1	
g13156	-1	
g13157	-1	
g13158	-1	
g13171	-1	
g13178	-1	
g13179	-1	
g13188	-1	
g13192	-1	
g13197	-1	
g13198	-1	
g13200	-1	
g13203	-1	
g13210	-1	
g13213	-1	
g13219	-1	
g13220	-1	
g13221	-1	
g13222	-1	
g13235	-1	
g13237	-1	
g13247	-1	
g13253	-1	
g13257	-1	
g13258	-1	
g13259	-1	
g13260	-1	
g13262	-1	
g13263	-1	
g13265	-1	
g13266	-1	
g13268	-1	
g13272	-1	
g13273	-1	
g13275	-1	
g13285	-1	
g13296	-1	
g13327	-1	
g13329	-1	
g13332	-1	
g13333	-1	
g13334	-1	
g13341	-1	
g13344	-1	
g13346	-1	
g13347	-1	
g13362	-1	
g13364	-1	
g13365	-1	
g13382	-1	
g13385	-1	
g13391	-1	
g13392	-1	
g13393	-1	
g13394	-1	
g13395	-1	
g13400	-1	
g13430	-1	
g13432	-1	
g13460	-1	
g13462	-1	
g13464	-1	
g13467	-1	
g13471	-1	
g13476	-1	
g13479	-1	
g13482	-1	
g13500	-1	
g13501	-1	
g13505	-1	
g13508	-1	
g13510	-1	
g13516	-1	
g13518	-1	
g13522	-1	
g13526	-1	
g13534	-1	
g13535	-1	
g13536	-1	
g13537	-1	
g13538	-1	
g13542	-1	
g13546	-1	
g13572	-1	
g13574	-1	
g13576	-1	
g13606	-1	
g13630	-1	
g13637	-1	
g13641	-1	
g13643	-1	
g13645	-1	
g13652	-1	
g13661	-1	
g13665	-1	
g13667	-1	
g13675	-1	
g13681	-1	
g13682	-1	
g13684	-1	
g13685	-1	
g13686	-1	
g13687	-1	
g13688	-1	
g13712	-1	
g13716	-1	
g13719	-1	
g13734	-1	
g13750	-1	
g13764	-1	
g13776	-1	
g13778	-1	
g13783	-1	
g13784	-1	
g13785	-1	
g13786	-1	
g13787	-1	
g13788	-1	
g13789	-1	
g13790	-1	
g13791	-1	
g13792	-1	
g13793	-1	
g13794	-1	
g13795	-1	
g13796	-1	
g13797	-1	
g13798	-1	
g13799	-1	
g13800	-1	
g13801	-1	
g13802	-1	
g13803	-1	
g13804	-1	
g13805	-1	
g13806	-1	
g13807	-1	
g13808	-1	
g13809	-1	
g13810	-1	
g13811	-1	
g13812	-1	
g13813	-1	
g13814	-1	
g13815	-1	
g13816	-1	
g13817	-1	
g13818	-1	
g13819	-1	
g13820	-1	
g13821	-1	
g13822	-1	
g13823	-1	
g13824	-1	
g13825	-1	
g13826	-1	
Cre13.g561800	1	PF00168
Cre13.g561850	1	PF00294
Cre13.g561900	1	PF01351
Cre13.g561950	0	
Cre13.g562000	0	
Cre13.g562050	-1	
Cre13.g562062	0	
Cre13.g562100	0	
Cre13.g562150	1	PF01926,PF06071
Cre13.g562200	0	
Cre13.g562250	0	
Cre13.g562300	1	PF00538
Cre13.g562350	1	PF01693
Cre13.g562400	1	PF02362
Cre13.g562550	1	PF07992
Cre13.g562650	0	
Cre13.g562750	1	PF14234
Cre13.g562800	1	PF00400,PF13499
Cre13.g562850	1	PF11264
Cre13.g562900	0	
Cre13.g562950	1	PF07719,PF12895,PF13181
Cre13.g563006	0	
Cre13.g563050	0	
Cre13.g563100	0	
Cre13.g563150	0	
Cre13.g563200	1	PF00702
Cre13.g563250	0	
Cre13.g563300	1	PF00069,PF07714
Cre13.g563350	0	
Cre13.g563400	1	PF02902,PF20209
Cre13.g563450	0	
Cre13.g563475	-1	
Cre13.g563500	1	PF13360
Cre13.g563550	1	PF00168,PF22669
Cre13.g563600	1	PF00240
Cre13.g563650	0	
Cre13.g563700	1	PF00400,PF24883
Cre13.g563800	1	PF00063,PF00612
Cre13.g563850	1	PF16953,PF17177
Cre13.g563900	0	
Cre13.g563950	0	
Cre13.g564000	1	PF00300
Cre13.g564050	0	
Cre13.g564100	1	PF00069,PF07714
Cre13.g564150	-1	
Cre13.g564200	0	
Cre13.g564250	1	PF01399,PF22591
Cre13.g564350	1	PF00454,PF02260
Cre13.g564400	1	PF24569
Cre13.g564500	1	PF00069,PF13202,PF13499
Cre13.g564550	1	PF03874
Cre13.g564650	1	PF01544
Cre13.g564700	0	
Cre13.g564750	0	
Cre13.g564766	1	PF00233
Cre13.g564800	1	PF00211,PF07700,PF07701
Cre13.g564840	-1	
Cre13.g564900	1	PF00005,PF00664
Cre13.g564950	1	PF00009,PF00679,PF03144
Cre13.g565000	0	
Cre13.g565050	1	PF07173
Cre13.g565100	-1	
Cre13.g565150	1	PF00400
Cre13.g565200	1	PF00069
Cre13.g565250	1	PF00582
Cre13.g565400	0	
Cre13.g565450	1	PF00206,PF08328
Cre13.g565550	1	PF13656
Cre13.g565600	1	PF00246,PF18027
Cre13.g565650	1	PF00348
Cre13.g565700	0	
Cre13.g565750	1	PF00009,PF22594
Cre13.g565800	1	PF03214
Cre13.g565850	1	PF00400,PF04053,PF06957,PF23953
Cre13.g565900	1	PF10513
Cre13.g565950	1	PF00097
Cre13.g566000	1	PF01268
Cre13.g566050	1	PF01423
Cre13.g566100	0	
Cre13.g566150	1	PF00588,PF08032
Cre13.g566200	1	PF00642,PF25512
Cre13.g566250	0	
Cre13.g566350	1	PF00069,PF07714
Cre13.g566450	1	PF07714
Cre13.g566500	0	
Cre13.g566550	0	
Cre13.g566600	0	
Cre13.g566650	1	PF00501
Cre13.g566700	1	PF00076
Cre13.g566750	0	
Cre13.g566800	0	
Cre13.g566850	1	PF04832
Cre13.g566900	1	PF09103,PF09169
Cre13.g567000	0	
Cre13.g567100	1	PF01565,PF04030
Cre13.g567150	1	PF00400
Cre13.g567200	1	PF00069
Cre13.g567250	1	PF12874
Cre13.g567300	1	PF02775,PF02776
Cre13.g567327	0	
Cre13.g567400	1	PF00233
Cre13.g567450	1	PF00538
Cre13.g567500	0	
Cre13.g567550	1	PF00069
Cre13.g567600	0	
Cre13.g567650	1	PF05577
Cre13.g567700	1	PF00125,PF16211
Cre13.g567750	1	PF02840,PF08799
Cre13.g567800	1	PF01603
Cre13.g567850	1	PF04410
Cre13.g567900	-1	
Cre13.g567950	1	PF00483,PF25247
Cre13.g568000	0	
Cre13.g568009	-1	
Cre13.g568050	1	PF00069
Cre13.g568100	1	PF00089
Cre13.g568150	1	PF01795
Cre13.g568250	1	PF00144,PF00975
Cre13.g568300	0	
Cre13.g568316	0	
Cre13.g568350	0	
Cre13.g568400	1	PF00004,PF01434,PF17862
Cre13.g568450	1	PF00225
Cre13.g568550	1	PF00069
Cre13.g568600	1	PF00328
Cre13.g568650	1	PF01015
Cre13.g568672	0	
Cre13.g568750	1	PF02845
Cre13.g568800	1	PF04716
Cre13.g568850	1	PF01592
Cre13.g568900	1	PF00237
Cre13.g568950	1	PF01725
Cre13.g569000	1	PF00350
Cre13.g569050	0	
Cre13.g569150	0	
Cre13.g569200	1	PF00448,PF02881,PF02978
Cre13.g569250	1	PF11255
Cre13.g569275	0	
Cre13.g569300	0	
Cre13.g569350	1	PF01370
Cre13.g569400	1	PF02668
Cre13.g569450	0	
Cre13.g569500	1	PF02668
Cre13.g569550	1	PF08016
Cre13.g569600	1	PF03992
Cre13.g569700	0	
Cre13.g569750	0	
Cre13.g569850	1	PF00909
Cre13.g569900	0	
Cre13.g569950	1	PF00125
Cre13.g570050	1	PF00125
Cre13.g570100	1	PF00125,PF16211
Cre13.g570150	1	PF06584,PF19438
Cre13.g570200	0	
Cre13.g570250	1	PF00069
Cre13.g570300	1	PF00179
Cre13.g570350	1	PF03109
Cre13.g570400	1	PF07224,PF10208
Cre13.g570450	0	
Cre13.g570500	1	PF13374,PF13424
Cre13.g570550	1	PF00383,PF08211
Cre13.g570600	1	PF04145
Cre13.g570650	0	
Cre13.g570700	1	PF00187,PF00704
Cre13.g570800	-1	
Cre13.g570850	-1	
Cre13.g570900	1	PF01625
Cre13.g571000	1	PF10178
Cre13.g571050	1	PF00505,PF01388
Cre13.g571100	0	
Cre13.g571150	0	
Cre13.g571200	1	PF00072,PF00512,PF02518,PF13426
Cre13.g571250	-1	
Cre13.g571300	0	
Cre13.g571400	0	
Cre13.g571450	1	PF00173
Cre13.g571500	0	
Cre13.g571550	-1	
Cre13.g571551	-1	
Cre13.g571600	1	PF04628
Cre13.g571650	1	PF01194
Cre13.g571700	1	PF00069,PF13499
Cre13.g571750	1	PF02815
Cre13.g571800	1	PF07059
Cre13.g571850	1	PF03256
Cre13.g571950	1	PF01596
Cre13.g572000	1	PF00590,PF23016
Cre13.g572050	1	PF00454,PF02260,PF15785
Cre13.g572100	0	
Cre13.g572150	1	PF00583
Cre13.g572200	1	PF03222
Cre13.g572250	1	PF18758
Cre13.g572272	1	PF18758
Cre13.g572350	1	PF00011
Cre13.g572450	1	PF00072
Cre13.g572500	1	PF01937
Cre13.g572550	0	
Cre13.g572600	1	PF00856
Cre13.g572650	0	
Cre13.g572700	1	PF15911,PF23389,PF24762
Cre13.g572732	1	PF23774
Cre13.g572750	1	PF01179,PF02727,PF02728
Cre13.g572800	1	PF01171
Cre13.g572900	1	PF01432,PF19310
Cre13.g573000	0	
Cre13.g573050	1	PF03998
Cre13.g573100	1	PF01595
Cre13.g573150	1	PF05761
Cre13.g573200	0	
Cre13.g573250	1	PF00581
Cre13.g573300	1	PF00383
Cre13.g573400	0	
Cre13.g573450	1	PF03178,PF23726
Cre13.g573500	0	
Cre13.g573550	1	PF00023,PF12796,PF13637
Cre13.g573600	0	
Cre13.g573650	1	PF00076
Cre13.g573700	1	PF03407
Cre13.g573750	0	
Cre13.g573800	1	PF00485,PF14681
Cre13.g573850	0	
Cre13.g573900	1	PF00474
Cre13.g573950	1	PF02535
Cre13.g574000	1	PF00571,PF00654
Cre13.g574041	1	PF03407
Cre13.g574050	1	PF03407
Cre13.g574100	1	PF03407
Cre13.g574150	1	PF01266
Cre13.g574200	1	PF22600
Cre13.g574250	1	PF07714
Cre13.g574300	1	PF07714
Cre13.g574350	1	PF00069,PF07714
Cre13.g574375	0	
Cre13.g574400	1	PF00211
Cre13.g574500	1	PF00210
Cre13.g574600	0	
Cre13.g574650	1	PF00035
Cre13.g574700	0	
Cre13.g574750	0	
Cre13.g574800	1	PF00173
Cre13.g574850	1	PF02714,PF13967,PF14703
Cre13.g574900	1	PF02364,PF14288
Cre13.g574950	0	
Cre13.g575000	1	PF05140
Cre13.g575050	0	
Cre13.g575101	0	
Cre13.g575150	0	
Cre13.g575200	1	PF00149
