# Provenance:
#   Script: /media/drn2/External/TARA-Oceans/MANUSCRIPT/.wt_ralph58/task2/scripts/pnps_analysis/download_uniprot_pfam_20260530_202800.py
#   Source: UniProt REST API (organism_id:3055, all proteins)
#   Date: 2026-05-30 20:31:01
#   Total entries: 19802
Entry	Gene Names	Pfam
A0A2K3DRN7	CHLRE_06g310500v5	
A0A2K3DRN9	CHLRE_06g311000v5	PF03092;
A0A2K3DRP5	CHLRE_06g311400v5	PF02732;
A0A2K3DRQ7	CHLRE_05g234400v5	PF19055;PF00005;
A0A2K3DRQ8	CHLRE_06g309150v5	PF17780;PF06220;
A0A2K3DRS0	CHLRE_05g234250v5	PF00730;
A0A2K3DRS2	CHLRE_06g310000v5	PF01602;
A0A2K3DRS5	CHLRE_06g311150v5	PF07690;
A0A2K3DRT3	CHLRE_06g311650v5	PF01007;PF17655;
A0A2K3DRT5	CHLRE_05g233600v5	PF00069;
A0A2K3DRT8	CHLRE_05g233303v5	PF18404;PF18400;PF18401;PF18402;PF06427;
A0A2K3DRT9	CHLRE_05g233300v5	PF00590;
A0A2K3DRU4	CHLRE_05g233100v5	PF00307;PF00225;
A0A2K3DRU7	CHLRE_06g311200v5	PF07690;
A0A2K3DRV7	CHLRE_05g232500v5	PF13426;PF25474;
A0A2K3DRW0	CHLRE_05g232800v5	PF02195;
A0A2K3DRW1	CHLRE_05g232550v5	PF00300;
A0A2K3DRX5	CHLRE_05g234100v5	PF00067;
A0A2K3DRX6	CHLRE_05g232002v5	PF01756;PF22924;
A0A2K3DRY2	CHLRE_05g232002v5	PF01756;PF22924;PF02770;
A0A2K3DRY5	CHLRE_05g233650v5	PF13426;PF25474;
A0A2K3DRY9	CHLRE_05g230800v5	PF00176;PF07496;
A0A2K3DRZ0	CHLRE_05g232500v5	PF13426;PF25474;
A0A2K3DRZ1	CHLRE_05g230900v5	PF01569;
A0A2K3DRZ4	CHLRE_05g233304v5	PF00187;PF00704;
A0A2K3DRZ9	CHLRE_05g248550v5	PF01814;PF05495;PF13639;PF14599;
A0A2K3DS00	CHLRE_05g232200v5	PF22366;PF07992;
A0A2K3DS04	CHLRE_05g248300v5	PF01566;
A0A2K3DS05	CHLRE_05g248150v5	PF01553;
A0A2K3DS21	CHLRE_05g247500v5	PF00097;
A0A2K3DS23	CHLRE_05g232150v5	PF00208;PF02812;
A0A2K3DS27	CHLRE_05g247000v5	PF00439;PF02791;PF00628;
A0A2K3DS38	CHLRE_05g230700v5	
A0A2K3DS51	CHLRE_05g246200v5	PF00069;
A0A2K3DS60	CHLRE_05g245900v5	PF01063;
A0A2K3DS62	CHLRE_05g245950v5	PF01031;PF00350;PF02212;
A0A2K3DS66	CHLRE_05g245451v5	PF01694;
A0A2K3DS70	CHLRE_05g245550v5	PF00454;PF00613;PF19274;
A0A2K3DS75	CHLRE_05g246150v5	PF00211;
A0A2K3DS95	CHLRE_05g245352v5	PF00704;PF00059;PF14295;PF00530;
A0A2K3DSA0	CHLRE_05g244236v5	PF08704;
A0A2K3DSA5	CHLRE_05g245352v5	PF00704;PF00059;PF14295;PF00530;
A0A2K3DSC4	CHLRE_05g243150v5	PF04357;
A0A2K3DSD6	CHLRE_05g242857v5	PF01753;
A0A2K3DSD8	CHLRE_05g242750v5	PF02225;PF00082;
A0A2K3DSE2	CHLRE_05g242900v5	
A0A2K3DSE7	CHLRE_05g242856v5	PF08614;PF02225;PF00082;PF00400;
A0A2K3DSF4	CHLRE_05g243000v5	PF00072;
A0A2K3DSF8	CHLRE_05g242100v5	PF00082;
A0A2K3DSG3	CHLRE_05g242179v5	PF03009;
A0A2K3DSG5	CHLRE_05g242178v5	PF03009;
A0A2K3DSG7	CHLRE_05g241850v5	PF16114;PF24948;
A0A2K3DSH1	CHLRE_05g242350v5	PF13246;PF00689;PF00690;PF00122;PF08282;
A0A2K3DSH4	CHLRE_05g241650v5	PF19283;PF00326;
A0A2K3DSI1	CHLRE_05g241632v5	PF01753;
A0A2K3DSI4	CHLRE_05g241637v5	PF12317;
A0A2K3DSJ8	CHLRE_05g241638v5	PF01612;
A0A2K3DSK0	CHLRE_05g241640v5	
A0A2K3DSK9	CHLRE_05g234639v5	PF00118;
A0A2K3DSL2	CHLRE_05g234550v5	PF00274;
A0A2K3DSL4	CHLRE_05g234638v5	PF13522;PF00156;
A0A2K3DSL7	CHLRE_05g234600v5	
A0A2K3DSM1	CHLRE_05g234652v5	PF02492;PF07683;
A0A2K3DSM2	CHLRE_05g234645v5	PF00999;
A0A2K3DSM8	CHLRE_05g234656v5	PF07714;
A0A2K3DSP0	CHLRE_05g234665v5	PF01602;PF09066;
A0A2K3DSP2	CHLRE_05g234667v5	PF01602;PF09066;
A0A2K3DSP4	CHLRE_05g234801v5	PF00561;
A0A2K3DSP8	CHLRE_05g234663v5	PF02146;
A0A2K3DSP9	CHLRE_05g234659v5	PF00327;
A0A2K3DSQ6	CHLRE_05g235400v5	PF17921;PF00628;PF17917;PF00078;
A0A2K3DSQ8	CHLRE_05g234850v5	PF00443;
A0A2K3DSR2	CHLRE_05g235500v5	PF00225;
A0A2K3DSR6	CHLRE_05g235450v5	PF00069;
A0A2K3DST3	CHLRE_05g235750v5	PF01624;PF05188;PF05192;PF00488;
A0A2K3DSU7	CHLRE_05g236950v5	PF00271;PF00176;
A0A2K3DSV6	CHLRE_05g236650v5	PF00211;
A0A2K3DSW1	CHLRE_05g237200v5	PF01031;PF00350;
A0A2K3DSX4	CHLRE_05g237600v5	PF09243;
A0A2K3DSZ2	CHLRE_05g238290v5	PF01031;PF00350;PF02212;
A0A2K3DSZ3	CHLRE_05g238322v5	PF00579;
A0A2K3DSZ4	CHLRE_05g238250v5	PF00170;
A0A2K3DSZ6	CHLRE_05g238100v5	PF07714;
A0A2K3DT07	CHLRE_05g237400v5	PF01678;
A0A2K3DT08	CHLRE_05g237800v5	PF00211;
A0A2K3DT13	CHLRE_05g239050v5	PF13489;
A0A2K3DT16	CHLRE_05g238900v5	PF00270;PF00271;
A0A2K3DT26	CHLRE_05g239250v5	PF05965;PF05964;
A0A2K3DT28	CHLRE_05g239067v5	
A0A2K3DT48	CHLRE_05g240225v5	PF05572;
A0A2K3DT50	CHLRE_05g240100v5	
A0A2K3DT51	CHLRE_05g239800v5	PF00884;
A0A2K3DT56	CHLRE_05g240050v5	PF13813;
A0A2K3DT58	CHLRE_05g240500v5	PF07910;PF00569;
A0A2K3DT60	CHLRE_05g240000v5	PF01569;
A0A2K3DT65	CHLRE_05g240533v5	PF01485;
A0A2K3DT68	CHLRE_05g240700v5	PF05572;PF00530;
A0A2K3DT74	CHLRE_05g241150v5	PF12717;
A0A2K3DT81	CHLRE_05g241350v5	PF19055;PF00005;
A0A2K3DT84	CHLRE_05g241400v5	PF08022;PF01794;
A0A2K3DT85	CHLRE_05g241450v5	PF00448;PF02881;
A0A2K3DT87	CHLRE_05g241202v5	PF00648;
A0A2K3DT89	CHLRE_04g214657v5	PF02705;PF22776;
A0A2K3DT90	CHLRE_04g214097v5	PF23722;PF13517;
A0A2K3DT94	CHLRE_04g213985v5	PF00226;
A0A2K3DTA6	CHLRE_04g216600v5	PF00004;PF17862;PF16450;
A0A2K3DTB8	CHLRE_04g216950v5	PF08545;PF08541;
A0A2K3DTC6	CHLRE_04g217350v5	PF02705;PF22776;
A0A2K3DTD4	CHLRE_04g217500v5	PF01156;
A0A2K3DTE8	CHLRE_04g217913v5	PF00153;
A0A2K3DTF1	CHLRE_04g217915v5	PF01226;
A0A2K3DTF2	CHLRE_04g217912v5	PF09764;
A0A2K3DTF9	CHLRE_04g217920v5	PF01753;
A0A2K3DTG0	CHLRE_04g217924v5	
A0A2K3DTG3	CHLRE_04g217923v5	PF00069;
A0A2K3DTG4	CHLRE_04g217921v5	PF01602;PF07718;PF14806;
A0A2K3DTG7	CHLRE_04g217928v5	PF00069;
A0A2K3DTH4	CHLRE_04g217935v5	PF13001;PF24492;
A0A2K3DTH5	CHLRE_04g217931v5	PF13640;PF01549;
A0A2K3DTH9	CHLRE_04g217943v5	PF00069;
A0A2K3DTI1	CHLRE_04g217939v5	
A0A2K3DTI6	CHLRE_04g217940v5	PF00069;
A0A2K3DTI7	CHLRE_04g217949v5	PF03407;
A0A2K3DTI8	CHLRE_04g217945v5	PF00487;
A0A2K3DTJ0	CHLRE_04g217946v5	PF00293;
A0A2K3DTJ6	CHLRE_04g217959v5	PF00702;
A0A2K3DTK0	CHLRE_04g217955v5	PF00702;
A0A2K3DTK4	CHLRE_04g217954v5	PF13246;PF00689;PF00690;PF00122;PF08282;
A0A2K3DTM7	CHLRE_04g216200v5 CHLRE_04g216204v5	PF22754;PF00010;
A0A2K3DTM8	CHLRE_04g217979v5	
A0A2K3DTP7	CHLRE_04g216050v5	PF00560;PF13855;PF08263;
A0A2K3DTQ5	CHLRE_04g216100v5	PF00903;
A0A2K3DTQ8	CHLRE_04g215000v5	PF00487;
A0A2K3DTR0	CHLRE_04g215650v5	PF08743;
A0A2K3DTR7	CHLRE_04g214700v5	
A0A2K3DTR8	CHLRE_04g215150v5	PF08323;PF00534;
A0A2K3DTS0	CHLRE_04g214750v5	PF00957;
A0A2K3DTS3	CHLRE_04g215350v5	PF23869;PF23769;
A0A2K3DTS6	CHLRE_04g215400v5	PF03109;
A0A2K3DTU2	CHLRE_04g214501v5	PF00013;PF01138;PF03725;
A0A2K3DTU5	CHLRE_04g214250v5	PF08699;PF16486;PF02170;PF02171;
A0A2K3DTU7	CHLRE_04g214650v5	PF02364;
A0A2K3DTV2	CHLRE_04g214000v5	PF00530;
A0A2K3DTW0	CHLRE_04g213800v5	PF13923;
A0A2K3DTW1	CHLRE_04g213150v5	PF01554;
A0A2K3DTW2	CHLRE_04g213650v5	PF00651;
A0A2K3DTW3	CHLRE_04g213904v5	PF00069;
A0A2K3DTW5	CHLRE_04g213500v5	PF02390;
A0A2K3DTW8	CHLRE_04g213950v5	PF00530;
A0A2K3DTX2	CHLRE_04g213450v5	PF03357;
A0A2K3DTY2	CHLRE_04g213000v5	PF01554;
A0A2K3DTZ1	CHLRE_04g213000v5	PF01554;
A0A2K3DU03	CHLRE_04g211900v5	PF03016;
A0A2K3DU06	CHLRE_04g211600v5	PF02149;PF00069;
A0A2K3DU10	CHLRE_04g217850v5	PF01061;PF00005;
A0A2K3DU16	CHLRE_04g218150v5	PF00481;
A0A2K3DU20	CHLRE_04g218300v5	PF06862;PF22916;
A0A2K3DU21	CHLRE_04g218650v5	PF00153;
A0A2K3DU31	CHLRE_04g218700v5	PF01176;
A0A2K3DU33	CHLRE_04g218850v5	PF04427;
A0A2K3DU35	CHLRE_04g219000v5	PF00004;PF13086;PF13087;PF17866;
A0A2K3DU41	CHLRE_04g218900v5	PF00004;PF13086;PF13087;PF17866;
A0A2K3DU54	CHLRE_04g219787v5	
A0A2K3DU66	CHLRE_04g220387v5	PF00067;
A0A2K3DU72	CHLRE_04g220000v5	PF07714;
A0A2K3DU76	CHLRE_04g220050v5	PF07714;PF00069;
A0A2K3DU84	CHLRE_04g220350v5	PF01496;
A0A2K3DU87	CHLRE_04g220850v5	PF01061;PF19055;PF00005;
A0A2K3DU93	CHLRE_04g220350v5	PF01496;
A0A2K3DU94	CHLRE_04g220950v5	PF25762;
A0A2K3DU97	CHLRE_04g221000v5	PF20434;
A0A2K3DU98	CHLRE_04g221301v5	PF00134;
A0A2K3DUA4	CHLRE_04g221650v5	PF03989;PF00521;
A0A2K3DUB0	CHLRE_04g222100v5	PF02269;
A0A2K3DUC3	CHLRE_04g221900v5	
A0A2K3DUD3	CHLRE_04g223150v5	
A0A2K3DUD6	CHLRE_04g222300v5	PF04818;PF01805;
A0A2K3DUE2	CHLRE_04g223200v5	PF00069;
A0A2K3DUE6	CHLRE_04g223500v5	PF00069;
A0A2K3DUF4	CHLRE_04g224100v5	PF01156;
A0A2K3DUF5	CHLRE_04g223800v5	PF01329;
A0A2K3DUF6	CHLRE_04g223350v5	PF00211;
A0A2K3DUF8	CHLRE_04g223900v5	PF08172;
A0A2K3DUG2	CHLRE_04g223750v5	PF00612;PF07460;
A0A2K3DUG4	CHLRE_04g224002v5	PF13532;PF08241;
A0A2K3DUG5	CHLRE_04g224350v5	PF03407;
A0A2K3DUG7	CHLRE_04g224400v5	PF01061;PF19055;PF00005;PF08370;
A0A2K3DUH3	CHLRE_04g224500v5	PF01061;PF19055;PF00005;PF08370;
A0A2K3DUH4	CHLRE_04g224150v5	PF02782;PF00370;
A0A2K3DUH5	CHLRE_04g224700v5	PF00854;
A0A2K3DUH7	CHLRE_04g224650v5	PF00514;
A0A2K3DUH8	CHLRE_04g224683v5	PF00063;
A0A2K3DUI4	CHLRE_04g224600v5	PF00010;
A0A2K3DUK4	CHLRE_04g225050v5	PF16166;
A0A2K3DUK5	CHLRE_04g225150v5	
A0A2K3DUK8	CHLRE_04g225750v5	PF06437;
A0A2K3DUL1	CHLRE_04g225750v5	PF06437;
A0A2K3DUN0	CHLRE_04g226200v5	PF00069;
A0A2K3DUN4	CHLRE_04g226600v5	PF00884;
A0A2K3DUN6	CHLRE_04g226450v5	PF00400;
A0A2K3DUP2	CHLRE_04g226400v5	
A0A2K3DUP7	CHLRE_04g227000v5	PF01119;PF13589;PF08676;
A0A2K3DUQ0	CHLRE_04g226850v5	PF00026;
A0A2K3DUQ2	CHLRE_04g227500v5	PF00530;
A0A2K3DUR4	CHLRE_04g227450v5	PF03151;
A0A2K3DUR5	CHLRE_04g227350v5	PF04153;PF04065;
A0A2K3DUS0	CHLRE_04g228350v5	PF00198;PF00364;PF02817;
A0A2K3DUS1	CHLRE_04g228400v5	PF03106;
A0A2K3DUS6	CHLRE_04g228000v5	PF13890;
A0A2K3DUS8	CHLRE_04g228208v5	PF00069;
A0A2K3DUT0	CHLRE_04g228850v5	PF00069;
A0A2K3DUT1	CHLRE_04g228900v5	PF03031;PF00240;
A0A2K3DUT4	CHLRE_04g227750v5	PF08573;
A0A2K3DUT5	CHLRE_04g228150v5	PF08541;PF08392;
A0A2K3DUT6	CHLRE_04g228300v5	PF00069;
A0A2K3DUT7	CHLRE_04g229100v5	PF06090;
A0A2K3DUU2	CHLRE_04g228208v5	PF00069;
A0A2K3DUU4	CHLRE_04g228650v5	PF00664;PF00005;
A0A2K3DUV0	CHLRE_04g228800v5	PF00069;
A0A2K3DUV7	CHLRE_04g229350v5	PF04072;
A0A2K3DUX1	CHLRE_04g229000v5	PF06090;
A0A2K3DUX4	CHLRE_04g231222v5	PF00118;PF00530;
A0A2K3DUX9	CHLRE_04g229550v5	PF00530;PF06011;
A0A2K3DUY6	CHLRE_04g230340v5	PF12018;
A0A2K3DUY8	CHLRE_04g230438v5	PF00069;
A0A2K3DUZ4	CHLRE_04g231222v5	PF00118;PF00530;
A0A2K3DUZ7	CHLRE_04g233302v5	PF07478;PF00856;
A0A2K3DV02	CHLRE_04g232602v5	PF00462;PF00085;
A0A2K3DV06	CHLRE_04g230732v5	PF00685;
A0A2K3DV09	CHLRE_04g230928v5	PF04777;PF00085;
A0A2K3DV42	CHLRE_03g144484v5	PF13499;PF00069;
A0A2K3DV46	CHLRE_03g143887v5	PF03485;PF05746;PF00750;
A0A2K3DV48	CHLRE_03g144404v5	PF03133;
A0A2K3DV49	CHLRE_03g144284v5	PF24570;PF00651;PF22486;
A0A2K3DV52	CHLRE_03g144084v5	PF01694;
A0A2K3DV61	CHLRE_03g144264v5	PF00069;
A0A2K3DV64	CHLRE_03g144224v5	
A0A2K3DV65	CHLRE_03g144344v5	PF04564;
A0A2K3DV69	CHLRE_03g144707v5	PF02878;PF02879;PF02880;
A0A2K3DV76	CHLRE_03g144967v5	PF00004;PF12037;
A0A2K3DV78	CHLRE_03g144847v5	PF00224;PF02887;
A0A2K3DV79	CHLRE_03g144907v5	PF16282;
A0A2K3DV82	CHLRE_03g144727v5	PF01694;
A0A2K3DV85	CHLRE_03g145107v5	PF00225;
A0A2K3DV87	CHLRE_03g144867v5	PF10607;
A0A2K3DV94	CHLRE_03g145527v5	PF01694;
A0A2K3DVA4	CHLRE_03g145427v5	PF04140;
A0A2K3DVA5	CHLRE_03g145547v5	PF00970;PF00175;
A0A2K3DVA7	CHLRE_03g145727v5	PF00579;
A0A2K3DVA8	CHLRE_03g145227v5	PF04652;PF18097;
A0A2K3DVB3	CHLRE_03g145487v5	PF13923;
A0A2K3DVB7	CHLRE_03g145747v5	PF01264;
A0A2K3DVB8	CHLRE_03g145407v5	PF00023;PF00642;
A0A2K3DVB9	CHLRE_03g145447v5	PF03133;
A0A2K3DVC5	CHLRE_03g145647v5	
A0A2K3DVC6	CHLRE_03g145927v5	PF01753;
A0A2K3DVD3	CHLRE_03g145867v5	
A0A2K3DVD4	CHLRE_03g145887v5	PF00902;
A0A2K3DVD5	CHLRE_03g145827v5	PF00082;
A0A2K3DVD7	CHLRE_03g145967v5	PF21972;PF01588;
A0A2K3DVD9	CHLRE_03g145767v5	PF01612;PF00570;
A0A2K3DVE0	CHLRE_03g146267v5	PF25512;
A0A2K3DVE5	CHLRE_03g146067v5	PF07714;PF00069;
A0A2K3DVF4	CHLRE_03g146267v5	PF25512;
A0A2K3DVF7	CHLRE_03g146467v5	PF04051;
A0A2K3DVG9	CHLRE_03g146707v5	PF02099;
A0A2K3DVH9	CHLRE_03g146527v5	PF00171;
A0A2K3DVI0	CHLRE_03g148050v5	PF00817;PF11799;PF21999;
A0A2K3DVI7	CHLRE_03g148450v5	PF03061;
A0A2K3DVI9	CHLRE_03g148800v5	PF08100;PF00891;
A0A2K3DVJ7	CHLRE_03g149100v5	PF00285;
A0A2K3DVK3	CHLRE_03g148850v5	PF00069;
A0A2K3DVK4	CHLRE_03g148100v5	PF00173;
A0A2K3DVK5	CHLRE_03g148900v5	PF00743;
A0A2K3DVL3	CHLRE_03g149600v5	PF00211;
A0A2K3DVM2	CHLRE_03g150350v5	PF13086;PF13087;
A0A2K3DVM4	CHLRE_03g150101v5	
A0A2K3DVM6	CHLRE_03g149800v5	PF21040;PF21041;
A0A2K3DVN6	CHLRE_03g150850v5	PF01485;
A0A2K3DVN8	CHLRE_03g150151v5	PF07690;
A0A2K3DVP1	CHLRE_03g150050v5	
A0A2K3DVP2	CHLRE_03g151050v5	PF00651;
A0A2K3DVQ1	CHLRE_03g151400v5	PF12698;PF00005;
A0A2K3DVR7	CHLRE_03g152100v5	PF03159;
A0A2K3DVS1	CHLRE_03g151300v5	PF07714;PF00069;
A0A2K3DVV0	CHLRE_03g152950v5	PF01416;
A0A2K3DVV1	CHLRE_03g153150v5	PF00069;
A0A2K3DVV5	CHLRE_03g153800v5	PF01650;
A0A2K3DVV6	CHLRE_03g153950v5	PF00520;
A0A2K3DVW7	CHLRE_03g154250v5	PF00069;
A0A2K3DVX0	CHLRE_03g153900v5	PF01266;PF01494;
A0A2K3DVX3	CHLRE_03g154500v5	PF19036;PF19037;
A0A2K3DVX6	CHLRE_03g154200v5	PF09816;
A0A2K3DVY0	CHLRE_03g154425v5	PF12348;PF21041;
A0A2K3DVZ1	CHLRE_03g154700v5	PF01937;
A0A2K3DVZ5	CHLRE_03g154800v5	
A0A2K3DVZ8	CHLRE_03g155001v5	PF00128;PF02922;PF21156;
A0A2K3DW10	CHLRE_03g156050v5	PF01765;
A0A2K3DW12	CHLRE_03g156150v5	PF13959;PF00270;PF00271;
A0A2K3DW21	CHLRE_03g156400v5	PF08241;
A0A2K3DW25	CHLRE_03g156100v5	PF19252;PF03343;
A0A2K3DW37	CHLRE_03g157000v5	PF23106;PF03016;
A0A2K3DW42	CHLRE_03g157300v5	PF04857;
A0A2K3DW69	CHLRE_03g158250v5	PF00344;
A0A2K3DW71	CHLRE_03g158300v5	PF07714;
A0A2K3DW75	CHLRE_03g158550v5	PF00385;PF00271;PF00176;
A0A2K3DW76	CHLRE_03g158400v5	PF13923;
A0A2K3DW77	CHLRE_03g158700v5	
A0A2K3DW82	CHLRE_03g158750v5	PF00270;PF00271;
A0A2K3DW83	CHLRE_03g158800v5	PF00756;
A0A2K3DW85	CHLRE_03g158800v5	PF00756;
A0A2K3DW86	CHLRE_03g159016v5	PF07714;
A0A2K3DW88	CHLRE_03g158900v5	PF00198;PF00364;PF02817;
A0A2K3DW91	CHLRE_03g159016v5	PF07714;
A0A2K3DW93	CHLRE_03g159150v5	PF07714;
A0A2K3DW99	CHLRE_03g159200v5	PF00632;PF00612;
A0A2K3DWA2	CHLRE_03g159254v5	PF00909;
A0A2K3DWA5	CHLRE_03g159500v5	PF02784;PF00278;
A0A2K3DWA6	CHLRE_03g159500v5	PF02784;PF00278;
A0A2K3DWB3	CHLRE_03g159650v5	PF00009;PF03144;
A0A2K3DWB4	CHLRE_03g159750v5	PF04157;PF22562;
A0A2K3DWB5	CHLRE_03g159851v5	PF12796;
A0A2K3DWC0	CHLRE_03g160050v5	PF13870;
A0A2K3DWC4	CHLRE_03g160200v5	PF13640;
A0A2K3DWD5	CHLRE_03g160900v5	PF00023;PF12796;PF13637;PF07714;
A0A2K3DWD8	CHLRE_03g160953v5	PF00664;PF00445;
A0A2K3DWD9	CHLRE_03g160700v5	PF00320;
A0A2K3DWE2	CHLRE_03g161000v5	PF00962;
A0A2K3DWE9	CHLRE_03g161250v5	PF00067;
A0A2K3DWG3	CHLRE_03g161800v5	PF07728;PF17865;PF17867;
A0A2K3DWH8	CHLRE_03g162333v5	PF01061;PF00005;
A0A2K3DWI1	CHLRE_03g162701v5	PF00271;PF00176;
A0A2K3DWI3	CHLRE_03g162650v5	PF00763;PF02882;
A0A2K3DWI4	CHLRE_03g162601v5	PF01066;
A0A2K3DWI5	CHLRE_03g163000v5	
A0A2K3DWI9	CHLRE_03g163200v5	PF01422;
A0A2K3DWJ0	CHLRE_03g162900v5	
A0A2K3DWJ9	CHLRE_03g163350v5	PF02558;PF08546;
A0A2K3DWK1	CHLRE_03g163300v5	PF08839;
A0A2K3DWK5	CHLRE_03g163950v5	PF05995;
A0A2K3DWK7	CHLRE_03g164050v5	PF00225;
A0A2K3DWL0	CHLRE_03g164050v5	PF00225;
A0A2K3DWL5	CHLRE_03g163850v5	PF02182;PF15227;PF13445;
A0A2K3DWL6	CHLRE_03g164350v5	PF02230;
A0A2K3DWL7	CHLRE_03g164500v5	PF06979;
A0A2K3DWL9	CHLRE_03g164550v5	PF01722;
A0A2K3DWM0	CHLRE_03g164250v5	PF00612;PF00069;
A0A2K3DWM4	CHLRE_03g164900v5	PF00069;
A0A2K3DWM5	CHLRE_03g164150v5	PF00005;
A0A2K3DWM7	CHLRE_03g164900v5	PF00069;
A0A2K3DWM9	CHLRE_03g164950v5	PF00076;
A0A2K3DWP4	CHLRE_03g165250v5	PF01248;PF12874;
A0A2K3DWR0	CHLRE_03g165700v5	PF02775;PF00205;PF02776;
A0A2K3DWR3	CHLRE_03g165900v5	PF00300;
A0A2K3DWR6	CHLRE_03g166750v5	PF07714;
A0A2K3DWR9	CHLRE_03g166700v5	PF02181;
A0A2K3DWS4	CHLRE_03g166650v5	PF00270;PF00271;
A0A2K3DWS5	CHLRE_03g166950v5	PF00300;
A0A2K3DWS7	CHLRE_03g166850v5	PF13086;PF13087;PF20173;
A0A2K3DWS8	CHLRE_03g167051v5	PF01174;
A0A2K3DWT0	CHLRE_03g166900v5	PF00067;
A0A2K3DWT1	CHLRE_03g166900v5	PF00067;
A0A2K3DWT2	CHLRE_03g167150v5	PF00743;
A0A2K3DWT4	CHLRE_03g167200v5	PF13676;
A0A2K3DWV7	CHLRE_03g168050v5	PF17035;PF00439;
A0A2K3DWW3	CHLRE_03g168350v5	PF16575;
A0A2K3DWW9	CHLRE_03g168150v5	PF12796;PF07714;
A0A2K3DWX2	CHLRE_03g168700v5	PF13344;PF13242;
A0A2K3DWX6	CHLRE_03g168900v5	PF00743;
A0A2K3DWY1	CHLRE_03g168800v5	PF25764;PF00225;
A0A2K3DWY3	CHLRE_03g169100v5	PF00069;
A0A2K3DWY4	CHLRE_03g169050v5	PF12483;PF13920;
A0A2K3DWY8	CHLRE_03g169300v5	PF01061;PF19055;PF00005;
A0A2K3DWY9	CHLRE_03g169300v5	PF01061;PF19055;PF00005;
A0A2K3DWZ7	CHLRE_03g169850v5	PF09190;PF01406;
A0A2K3DX01	CHLRE_03g170150v5	PF00168;PF07002;
A0A2K3DX09	CHLRE_03g170200v5	PF00168;PF07002;
A0A2K3DX10	CHLRE_03g169950v5	PF02373;PF02375;PF02928;
A0A2K3DX28	CHLRE_03g171200v5	PF01150;
A0A2K3DX34	CHLRE_03g171751v5	PF01595;
A0A2K3DX35	CHLRE_03g171650v5	PF00270;PF21010;PF00271;PF07717;PF26026;
A0A2K3DX36	CHLRE_03g171461v5	PF04055;
A0A2K3DX44	CHLRE_03g171950v5	PF00311;
A0A2K3DX45	CHLRE_03g172250v5	PF14714;PF01926;
A0A2K3DX46	CHLRE_03g172100v5	PF01327;
A0A2K3DX48	CHLRE_03g172150v5	PF16213;PF01369;PF12783;
A0A2K3DX52	CHLRE_03g171700v5	PF07993;
A0A2K3DX56	CHLRE_03g172650v5	PF00091;PF03953;
A0A2K3DX58	CHLRE_03g172550v5	PF13649;PF22528;
A0A2K3DX60	CHLRE_03g172050v5	PF03850;
A0A2K3DX63	CHLRE_03g172850v5	PF00291;
A0A2K3DX67	CHLRE_03g172750v5	PF01753;
A0A2K3DX78	CHLRE_03g172950v5	PF08068;PF01472;PF16198;PF01509;
A0A2K3DX81	CHLRE_03g173100v5	
A0A2K3DX84	CHLRE_03g173700v5	PF00225;
A0A2K3DX85	CHLRE_03g173800v5	PF08543;
A0A2K3DX86	CHLRE_03g173850v5	PF01753;
A0A2K3DX92	CHLRE_03g173450v5	PF00355;
A0A2K3DX97	CHLRE_03g174200v5	PF00651;
A0A2K3DX98	CHLRE_03g174050v5	PF00664;PF00005;
A0A2K3DXA2	CHLRE_03g173800v5	PF08543;
A0A2K3DXB3	CHLRE_03g174500v5	PF02791;PF05066;PF00046;PF15612;PF15613;
A0A2K3DXB5	CHLRE_03g175100v5	
A0A2K3DXC0	CHLRE_03g175050v5	PF00520;
A0A2K3DXC5	CHLRE_03g175250v5	PF00494;
A0A2K3DXC6	CHLRE_03g174950v5	PF01764;
A0A2K3DXD6	CHLRE_03g175700v5	PF02492;PF07683;
A0A2K3DXD7	CHLRE_03g175400v5	PF00342;
A0A2K3DXD8	CHLRE_03g175650v5	PF13416;
A0A2K3DXE4	CHLRE_03g175750v5	PF13621;
A0A2K3DXE6	CHLRE_03g176200v5	
A0A2K3DXE7	CHLRE_03g175926v5	
A0A2K3DXE9	CHLRE_03g176325v5	
A0A2K3DXF0	CHLRE_03g176400v5	PF07714;
A0A2K3DXF2	CHLRE_03g175800v5	PF04452;PF20260;
A0A2K3DXG0	CHLRE_03g176800v5	
A0A2K3DXG2	CHLRE_03g176550v5	PF05185;PF17286;PF17285;
A0A2K3DXG4	CHLRE_03g176700v5	PF10236;
A0A2K3DXG5	CHLRE_03g177007v5	PF13621;
A0A2K3DXG7	CHLRE_03g176900v5	PF01344;PF24681;
A0A2K3DXH2	CHLRE_03g176930v5	PF03134;
A0A2K3DXH9	CHLRE_03g176900v5	PF01344;PF24681;
A0A2K3DXI0	CHLRE_03g177600v5	PF04030;PF01565;PF22906;
A0A2K3DXI7	CHLRE_03g177750v5	PF01554;
A0A2K3DXJ2	CHLRE_03g177450v5	PF02577;PF01847;
A0A2K3DXJ3	CHLRE_03g177900v5	PF17171;PF10568;
A0A2K3DXJ7	CHLRE_03g178100v5	PF23409;PF23414;PF03451;PF01477;
A0A2K3DXL7	CHLRE_03g179100v5	PF00789;PF03152;PF24842;
A0A2K3DXM1	CHLRE_03g179350v5	PF12832;
A0A2K3DXM4	CHLRE_03g179300v5	PF00385;PF00271;PF23588;PF00176;
