Locus Tag	Description	dN/dS	dN	dS	%min5Xcov	%min1Xcov	avg read depth	dN/dS vs CC9311	dN/dS 70_70	dN/dS PAML
sync_0824	hypothetical protein	NaN	0.0	0.0	0.0	16.67	0.431	NaN	1.167	NaN
sync_0825	cell division protein FtsH3 (EC:3.4.24.- )	0.029	0.011	0.386	100.0	100.0	16.219	0.028	0.03	0.00852851724185244
sync_0826	ornithine carbamoyltransferase (EC:2.1.3.3 )	0.046	0.009	0.186	100.0	100.0	14.059	0.049	0.045	0.0300704644527387
sync_0827	carboxylesterase (EC:3.1.1.1 )	0.175	0.03	0.171	100.0	100.0	15.718	0.162	0.175	0.14322409116555
sync_0828	hypothetical protein	0.182	0.06	0.332	100.0	100.0	16.795	0.184	0.182	0.176057926767489
sync_0829	hypothetical protein	0.135	0.044	0.323	100.0	100.0	17.621	0.125	0.135	0.0866676372004943
sync_0830	hypothetical protein	0.268	0.075	0.281	100.0	100.0	21.759	0.271	0.268	0.322888510231175
sync_0831	LexA repressor (EC:3.4.21.88 )	0.065	0.018	0.278	100.0	100.0	24.679	0.069	0.065	0.0247921239423291
sync_0833	hypothetical protein	NaN	0.0	0.0	0.0	21.35	0.214	NaN	NaN	NaN
sync_0834	hypothetical protein	NaN	0.0	0.0	0.0	12.93	0.129	NaN	NaN	NaN
sync_0835	hypothetical protein	0.243	0.122	0.502	100.0	100.0	15.251	0.243	0.299	0.157880754638661
sync_0836	hypothetical protein	0.259	0.018	0.069	11.68	92.94	2.55	0.257	0.342	NaN
sync_0837	hypothetical protein	0.211	0.052	0.248	28.8	92.88	3.0	0.307	0.211	0.0817270222978884
sync_0838	hypothetical protein	Inf	0.067	0.0	3.03	79.46	0.98	Inf	Inf	NaN
sync_0839	hypothetical protein	0.49	0.19	0.389	65.8	100.0	20.85	0.472	0.531	0.475481590683299
sync_0840	hypothetical protein	0.909	0.147	0.162	100.0	100.0	14.059	1.0	1.033	0.817159826365787
sync_0841	hypothetical protein	0.336	0.016	0.048	100.0	100.0	18.976	0.336	0.463	0.798164134783676
sync_0842	hypothetical protein	NaN	0.0	0.0	0.0	5.49	0.055	NaN	NaN	NaN
sync_0843	hypothetical protein	NaN	0.0	0.0	0.0	97.67	1.2	NaN	NaN	NaN
sync_0844	hypothetical protein	NaN	0.0	0.0	0.0	72.22	0.821	NaN	NaN	NaN
sync_0845	hypothetical protein	NaN	0.0	0.0	0.0	42.17	0.433	NaN	NaN	NaN
sync_0846	hypothetical protein	0.104	0.02	0.195	43.23	65.89	3.057	0.103	0.127	0.22400201255499
sync_0847	hypothetical protein	NaN	0.0	0.0	0.0	100.0	1.0	NaN	NaN	NaN
sync_0848	axoneme-associated protein gasp-180	NaN	0.0	0.0	24.37	86.74	2.38	NaN	NaN	1.93300315663437
sync_0849	hypothetical protein	0.322	0.071	0.22	49.55	97.15	5.959	0.339	0.455	1.28898047492949
sync_0850	hypothetical protein	NaN	0.0	0.0	0.0	81.48	0.815	NaN	NaN	NaN
sync_0851	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0852	hypothetical protein	NaN	0.0	0.0	0.0	22.67	0.227	NaN	NaN	NaN
sync_0853	bacterial metallothionein-related protein	NaN	0.0	0.0	0.0	89.37	0.894	NaN	NaN	NaN
sync_0854	ferritin	0.133	0.025	0.186	57.82	64.97	5.372	0.122	0.111	0.183572742118683
sync_0855	hypothetical protein	0.304	0.008	0.026	96.26	100.0	12.606	0.302	0.304	0.147681868088301
sync_0856	gluconolactonase precursor (EC:3.1.1.17 )	NaN	0.0	0.0	5.72	93.95	1.669	NaN	NaN	NaN
sync_0857	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0858	hypothetical protein	NaN	0.0	0.0	0.0	33.76	0.338	NaN	NaN	NaN
sync_0859	lipase/esterase (EC:3.1.1.- )	NaN	0.0	0.0	0.0	74.32	1.175	NaN	NaN	NaN
sync_0860	3-oxoacyl-(acyl-carrier protein) reductase BH0932 (EC:1.1.1.100 )	NaN	0.0	0.0	0.0	27.16	0.375	NaN	NaN	NaN
sync_0861	Mandelate racemase / muconate lactonizing enzyme, N-terminal domain protein	NaN	0.0	0.0	9.65	40.64	0.939	NaN	NaN	NaN
sync_0862	hypothetical protein	0.167	0.05	0.3	100.0	100.0	38.017	0.163	0.17	0.175376420430496
sync_0863	hypothetical protein	0.158	0.038	0.238	100.0	100.0	36.979	0.15	0.171	0.528202082565813
sync_0864	hypothetical protein	1.273	0.22	0.173	37.66	86.15	7.195	1.574	1.366	0.432287630859909
sync_0865	hypothetical protein	0.1	0.042	0.421	100.0	100.0	41.581	0.093	0.115	0.694746311440929
sync_0866	hypothetical protein	0.204	0.071	0.347	100.0	100.0	65.656	0.199	0.205	0.200830077625592
sync_0867	hypothetical protein	0.021	0.007	0.333	100.0	100.0	26.833	0.034	0.018	0.0
sync_0868	hypothetical protein	0.457	0.099	0.217	86.11	100.0	21.426	0.498	0.47	0.379492600349049
sync_0869	hypothetical protein	0.134	0.055	0.413	100.0	100.0	45.01	0.14	0.154	0.277031225438654
sync_0870	possible SAP domain	0.081	0.033	0.4	100.0	100.0	68.699	0.084	0.111	0.0603823828594791
sync_0871	GrpE	0.111	0.056	0.506	100.0	100.0	65.373	0.11	0.121	0.0737849202868458
sync_0872	glyceraldehyde-3-phosphate dehydrogenase, type I (EC:1.2.1.- )	0.046	0.022	0.484	100.0	100.0	52.89	0.049	0.047	0.0379819013943389
sync_0873	hypothetical protein	0.266	0.111	0.418	100.0	100.0	40.917	0.281	0.268	0.294889215283225
sync_0874	Photosystem I reaction center subunit psaK (Photosystem I subunit X)	0.127	0.053	0.417	100.0	100.0	41.504	0.134	0.136	0.0581048531118606
sync_0875	hypothetical protein	0.686	0.098	0.143	79.08	100.0	9.915	0.746	0.712	1.12959631784575
sync_0876	hypothetical protein	0.096	0.015	0.156	33.33	93.39	3.753	0.09	0.079	0.421888441680301
sync_0877	hypothetical protein	0.167	0.047	0.284	100.0	100.0	22.901	0.152	0.167	0.355655233421298
sync_0878	proline/betaine transporter	0.099	0.026	0.262	100.0	100.0	19.961	0.112	0.117	0.190162918520873
sync_0879	hypothetical protein	0.141	0.025	0.179	100.0	100.0	15.497	0.165	0.141	0.140268080909107
sync_0880	hypothetical protein	0.113	0.018	0.155	100.0	100.0	12.053	0.14	0.113	1.0424822421349
sync_0881	hypothetical protein	0.165	0.031	0.188	73.48	84.24	9.058	0.146	0.25	0.227750972144127
sync_0882	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0883	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0884	hypothetical protein	NaN	0.0	0.0	0.0	69.23	0.692	NaN	NaN	NaN
sync_0885	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0886	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0887	hypothetical protein	NaN	0.0	0.0	0.0	11.48	0.115	NaN	NaN	NaN
sync_0888	hypothetical protein	NaN	0.0	0.0	0.0	18.88	0.189	NaN	NaN	NaN
sync_0889	hypothetical protein	Inf	0.024	0.0	25.85	100.0	3.68	Inf	Inf	NaN
sync_0890	hypothetical protein	0.142	0.029	0.202	100.0	100.0	10.494	0.151	0.142	0.254763286147052
sync_0891	hypothetical protein	0.145	0.031	0.214	100.0	100.0	13.777	0.13	0.145	0.332767028368415
sync_0892	Ferredoxin	0.18	0.043	0.241	100.0	100.0	18.02	0.227	0.18	0.0833333333333333
sync_0893	cobyric acid synthase CobQ (EC:6.3.5.10 )	0.135	0.025	0.184	17.22	61.17	2.974	0.139	0.126	0.26552745378545
sync_0894	hypothetical protein	0.127	0.022	0.176	65.34	99.21	6.093	0.148	0.127	0.223911693593694
sync_0895	septum formation protein MaF	0.294	0.047	0.161	82.09	98.01	6.406	0.287	0.294	0.61805513046382
sync_0896	photosystem II 44 kDa subunit reaction center protein	0.021	0.002	0.096	61.55	100.0	5.598	0.025	0.072	0.401802755595273
sync_0897	photosystem II protein D2	0.032	0.005	0.15	99.24	100.0	12.444	0.034	0.033	0.142046066506518
sync_0898	photosystem I assembly protein Ycf4	0.041	0.006	0.15	50.93	100.0	4.541	0.056	0.039	0.055619541347057
sync_0899	peptidyl-prolyl cis-trans isomerase, cyclophilin-type (EC:5.2.1.8 )	0.057	0.011	0.199	97.2	100.0	7.175	0.063	0.055	0.10945326669308
sync_0900	acetolactate synthase, small subunit (EC:2.2.1.6 )	0.058	0.007	0.12	87.38	100.0	6.239	0.055	0.077	0.122281709244134
sync_0901	predicted alpha/beta hydrolase superfamily protein	0.101	0.011	0.108	50.95	99.9	4.663	0.133	0.101	0.207062942613768
sync_0902	N2,N2-dimethylguanosine tRNA methyltransferase	0.145	0.02	0.139	68.9	100.0	5.99	0.15	0.145	0.142333338465895
sync_0903	Cytochrome B6-F complex subunit VII-related protein	NaN	0.0	0.0	0.0	100.0	2.101	NaN	NaN	NaN
sync_0904	3-beta hydroxysteroid dehydrogenase/isomerase family protein	0.038	0.006	0.157	68.46	100.0	5.465	0.048	0.038	0.0200686454557622
sync_0905	hypothetical protein	0.0	0.0	0.28	63.89	100.0	5.657	0.01	0.0	0.0
sync_0906	SAM (and some other nucleotide) binding motif:Generic methyltransferase	0.125	0.022	0.173	65.65	100.0	5.996	0.127	0.125	0.0938232767737572
sync_0907	possible pseudouridine synthase (EC:4.2.1.70 )	0.208	0.038	0.183	98.96	100.0	8.164	0.236	0.208	0.944213646300693
sync_0908	hypothetical protein	0.208	0.015	0.074	72.29	100.0	6.044	0.309	0.208	0.335585222213112
sync_0909	translation initiation factor IF-1	0.03	0.002	0.077	75.56	100.0	6.081	0.025	0.028	0.018970189701897
sync_0910	thioredoxin-disulfide reductase (EC:1.8.1.9 )	0.056	0.01	0.176	85.13	100.0	7.515	0.073	0.059	0.0548832992347184
sync_0911	hypothetical protein	0.093	0.016	0.168	100.0	100.0	9.876	0.083	0.093	0.0
sync_0912	Helicase C-terminal domain	0.035	0.006	0.168	70.5	100.0	8.47	0.039	0.035	0.0746479044884915
sync_0913	hypothetical protein	0.907	0.03	0.033	100.0	100.0	8.034	0.992	0.907	2.34111187371311
sync_0914	hypothetical protein	0.0	0.0	0.097	19.63	85.45	2.719	0.0	0.0	0.0451612903225806
sync_0915	NAD/NADP transhydrogenase alpha subunit (EC:1.6.1.1 )	0.075	0.013	0.177	52.67	97.81	4.18	0.072	0.074	0.0688990057928236
sync_0916	NAD/NADP transhydrogenase alpha subunit (EC:1.6.1.1 )	0.05	0.003	0.06	50.81	100.0	3.841	0.038	0.039	0.153759820426487
sync_0917	NAD/NADP transhydrogenase beta subunit (EC:1.6.1.2 )	0.013	0.001	0.111	67.58	97.75	6.493	0.021	0.059	0.0142744077068706
sync_0918	Alpha/beta superfamily hydrolase	0.13	0.026	0.196	66.39	99.09	5.845	0.143	0.13	0.199340515814375
sync_0919	Ferredoxin	0.05	0.006	0.111	98.81	100.0	6.768	0.074	0.087	0.718706679454558
sync_0920	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC:1.1.1.267 )	0.046	0.007	0.145	100.0	100.0	9.233	0.052	0.046	0.0458686682546137
sync_0921	Na+-dependent transporter of the SNF family protein	0.077	0.018	0.238	100.0	100.0	11.552	0.084	0.076	0.0759691848215069
sync_0922	possible HAMP domain	0.152	0.039	0.258	100.0	100.0	15.033	0.142	0.152	1.07296350994212
sync_0923	hypothetical protein	0.242	0.045	0.186	100.0	100.0	17.459	0.255	0.242	0.73665066165993
sync_0924	cysteinyl-tRNA synthetase (EC:6.1.1.16 )	0.134	0.025	0.19	100.0	100.0	15.908	0.152	0.134	0.132641217924061
sync_0925	hypothetical protein	Inf	0.118	0.0	6.35	100.0	2.989	Inf	2.306	NaN
sync_0926	hypothetical protein	0.918	0.041	0.044	22.33	80.58	3.061	0.484	0.918	NaN
sync_0927	multidrug transporter, putative	0.125	0.03	0.238	59.2	72.13	6.526	0.138	0.125	0.0847395001027884
sync_0928	DNA polymerase I (EC:2.7.7.7 )	0.087	0.018	0.21	94.0	100.0	14.153	0.086	0.088	0.0819301315713211
sync_0929	possible membrane fusion protein	0.15	0.033	0.219	100.0	100.0	14.099	0.146	0.147	0.225320346237788
sync_0930	GTP-binding protein YchF	0.042	0.01	0.23	100.0	100.0	16.313	0.043	0.041	0.0374276532383827
sync_0931	hypothetical protein	NaN	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN
sync_0932	sensor kinase CpxA, putative	0.159	0.04	0.254	95.29	100.0	9.535	0.167	0.159	0.272989468316854
sync_0933	hypothetical protein	NaN	0.0	0.0	0.0	76.92	1.085	NaN	NaN	NaN
sync_0934	hypothetical protein	0.208	0.055	0.262	98.89	100.0	15.528	0.183	0.208	0.438462621228024
sync_0935	hypothetical protein	0.081	0.021	0.257	100.0	100.0	17.814	0.088	0.081	0.549471618090498
sync_0936	transporter, major facilitator family protein	0.117	0.024	0.204	93.32	100.0	9.698	0.119	0.117	0.108023721671547
sync_0937	hypothetical protein	0.156	0.031	0.199	94.34	100.0	11.177	0.16	0.155	0.166282434135247
sync_0938	ABC-type oligopeptide transport system permease	0.057	0.013	0.228	99.31	100.0	11.467	0.059	0.057	0.0396673278494662
sync_0939	ABC transporter, substrate binding protein, possibly oligopeptides	0.148	0.031	0.211	90.13	100.0	10.004	0.141	0.148	0.109866326361109
sync_0940	hypothetical protein	0.15	0.033	0.223	100.0	100.0	17.492	0.142	0.15	0.339123284160605
sync_0941	homoserine dehydrogenase (EC:1.1.1.3 )	0.042	0.011	0.26	100.0	100.0	14.718	0.041	0.042	0.0454728209861023
sync_0942	Fe-S metabolism protein, SufE family protein	0.099	0.03	0.302	100.0	100.0	17.667	0.105	0.099	0.116118954921619
sync_0943	hypothetical protein	0.26	0.072	0.276	100.0	100.0	18.13	0.262	0.26	0.395330663138227
sync_0944	5-formyltetrahydrofolate cyclo-ligase family protein	0.287	0.072	0.25	100.0	100.0	16.628	0.271	0.283	0.435145863117699
sync_0945	hypothetical protein	0.977	0.083	0.085	99.45	100.0	6.945	0.787	0.96	0.910695187165775
sync_0946	hypothetical protein	0.897	0.132	0.147	100.0	100.0	12.075	0.939	0.897	NaN
sync_0947	hypothetical protein	0.746	0.098	0.132	88.33	99.17	10.517	0.707	0.927	NaN
sync_0948	carbonic anhydrase (EC:4.2.1.1 )	0.153	0.041	0.267	100.0	100.0	24.224	0.139	0.157	0.286896919807327
sync_0949	hypothetical protein	0.166	0.041	0.25	100.0	100.0	31.907	0.165	0.166	0.330298215733137
sync_0950	hypothetical protein	0.023	0.005	0.217	100.0	100.0	38.051	0.022	0.023	0.0770243725485109
sync_0951	hypothetical protein	1.046	0.097	0.093	100.0	100.0	21.69	1.056	1.046	0.324367161178169
sync_0952	hypothetical protein	0.63	0.071	0.113	64.29	100.0	8.852	0.777	0.63	NaN
sync_0953	hypothetical protein	0.589	0.104	0.176	100.0	100.0	18.921	0.547	0.642	0.0
sync_0954	hypothetical protein	0.12	0.035	0.291	100.0	100.0	28.401	0.129	0.124	0.0404760166155173
sync_0955	hypothetical protein	0.28	0.041	0.146	77.02	100.0	6.783	0.257	0.329	0.170217665865468
sync_0956	conserved hypotheical protein	0.207	0.073	0.356	98.56	100.0	43.924	0.207	0.213	0.149566293945729
sync_0957	hypothetical protein	0.108	0.047	0.436	100.0	100.0	26.661	0.108	0.135	0.0306774882290784
sync_0958	hypothetical protein	0.163	0.059	0.36	100.0	100.0	28.552	0.167	0.166	0.310782061455469
sync_0959	hypothetical protein	0.09	0.024	0.261	100.0	100.0	17.817	0.114	0.105	0.0
sync_0960	hypothetical protein	NaN	0.0	0.0	0.0	40.85	0.408	NaN	NaN	NaN
sync_0961	Crossover junction endodeoxyribonuclease ruvC (Hollidayjunction nuclease ruvC) (Holliday juction resolvase ruvC) (EC:3.1.22.4 )	0.03	0.007	0.236	94.62	97.1	12.694	0.031	0.048	0.556419077797238
sync_0962	magnesium chelatase, ATPase subunit I (EC:6.6.1.1 )	0.07	0.011	0.164	85.03	100.0	9.331	0.064	0.07	0.0409164453459681
sync_0963	hypothetical protein	0.177	0.032	0.181	68.84	100.0	5.94	0.159	0.177	0.464681736305093
sync_0964	carboxylesterase, beta-lactamase family protein	0.06	0.009	0.152	91.71	100.0	7.343	0.056	0.061	0.209634211989904
sync_0965	RNA methyltransferase, TrmH family, group 1	0.105	0.018	0.168	80.33	100.0	7.167	0.107	0.105	0.207409850481317
sync_0966	cytochrome cM	0.094	0.015	0.156	73.33	100.0	6.215	0.109	0.094	0.052173107067828
sync_0967	cytochrome b6-f complex, subunit V	0.0	0.0	0.119	78.07	100.0	5.816	0.0	0.0	NaN
sync_0968	putative methyltransferase	0.182	0.026	0.143	83.98	100.0	6.002	0.174	0.182	0.405381637935644
sync_0969	imidazole glycerol phosphate synthase, glutamine amidotransferase subunit (EC:2.4.2.- )	0.12	0.023	0.194	80.8	100.0	8.255	0.123	0.12	0.175614395664549
sync_0970	thioredoxin	NaN	0.0	0.0	5.25	100.0	2.605	NaN	NaN	2.25281894901071
sync_0971	IMP dehydrogenase family protein	0.052	0.006	0.107	64.09	99.74	5.405	0.038	0.052	0.0314262619468967
sync_0972	Proline-rich region	0.097	0.016	0.17	32.85	71.47	3.104	0.102	0.097	0.460626628834104
sync_0973	DNA gyrase, A subunit (EC:5.99.1.3 )	0.038	0.008	0.204	56.36	96.79	5.574	0.036	0.051	0.0302744576964822
sync_0974	lycopene beta cyclase (EC:1.14.- )	0.149	0.012	0.081	58.76	100.0	5.73	0.157	0.148	0.0632848737063374
sync_0975	hypothetical protein	0.088	0.029	0.327	89.65	100.0	10.143	0.088	0.088	0.171093492707739
sync_0976	2-isopropylmalate synthase (EC:2.3.3.13 )	0.021	0.004	0.203	100.0	100.0	10.937	0.03	0.029	0.0190280431679616
sync_0977	putative sn-glycerol-3-phosphate ABC transporter, permease protein	0.073	0.016	0.214	91.52	100.0	11.072	0.071	0.111	0.177691988067928
sync_0978	hypothetical protein	0.322	0.055	0.17	92.0	100.0	7.365	0.326	0.322	0.790278926495817
sync_0979	hypothetical protein	0.084	0.021	0.245	90.24	100.0	9.28	0.102	0.084	0.0858574986455018
sync_0980	Ferredoxin	0.057	0.013	0.222	88.3	100.0	6.596	0.082	0.057	0.00497673915395434
sync_0981	hypothetical protein	0.117	0.012	0.104	55.56	100.0	4.353	0.094	0.117	1.88459929480667
sync_0982	hypothetical protein	0.172	0.053	0.308	30.19	83.44	3.329	0.189	0.212	0.0309337778467352
sync_0983	hypothetical protein	0.178	0.023	0.129	11.99	100.0	2.956	0.146	0.178	0.23721273538955
sync_0984	conserved hypothetical protein TIGR00106	0.105	0.024	0.232	90.43	100.0	8.307	0.139	0.132	0.136068123946352
sync_0985	hypothetical protein	0.222	0.038	0.17	78.92	100.0	6.849	0.222	0.282	0.165082416930142
sync_0986	hypothetical protein	0.021	0.003	0.144	100.0	100.0	8.401	0.031	0.021	0.00648436714587313
sync_0987	possible Hepatitis C virus core protein	0.023	0.003	0.126	83.09	100.0	8.326	0.031	0.023	0.0149427880667882
sync_0988	pseudouridine synthase RluA PA3246 (EC:4.2.1.70 )	0.255	0.056	0.222	93.36	100.0	8.106	0.275	0.264	0.333468907840789
sync_0989	HDIG domain protein	0.063	0.011	0.178	83.76	100.0	7.773	0.058	0.063	0.160367945087393
sync_0990	putative FolD bifunctional protein	0.112	0.011	0.1	79.93	100.0	7.108	0.115	0.165	0.101354824252038
sync_0991	geranylgeranyl diphosphate synthase	0.062	0.008	0.127	93.72	100.0	8.34	0.058	0.062	0.0846049573025016
sync_0992	hypothetical protein	0.047	0.01	0.207	91.81	100.0	14.029	0.052	0.047	0.0266310046067062
sync_0993	hypothetical protein (EC:3.1.11.5 )	0.037	0.008	0.209	97.64	100.0	10.333	0.043	0.037	0.0476749607933857
sync_0994	hypothetical protein	0.272	0.006	0.02	97.58	100.0	9.473	0.281	0.381	NaN
sync_0995	hypothetical protein	0.265	0.058	0.219	100.0	100.0	17.662	0.316	0.265	0.111488169277367
sync_0996	hypothetical protein	0.226	0.057	0.254	95.73	100.0	14.692	0.212	0.213	0.151896687268655
sync_0997	hypothetical protein	0.1	0.028	0.284	100.0	100.0	17.729	0.111	0.101	0.183467216881756
sync_0998	EntD (EC:3.1.3.- )	0.181	0.041	0.229	100.0	100.0	19.052	0.169	0.18	0.298839418027564
sync_0999	acylphosphatase	0.044	0.008	0.176	87.55	100.0	7.183	0.055	0.041	1.68372619648658
sync_1000	cobyrinic acid a,c-diamide synthase (EC:6.3.1.- )	0.128	0.021	0.163	84.09	100.0	8.906	0.124	0.128	0.235922460650687
sync_1001	Possible glucose 6-phosphate dehydrogenase effector OpcA	0.119	0.02	0.169	94.87	100.0	7.639	0.108	0.119	0.453287307362145
sync_1002	glucose-6-phosphate 1-dehydrogenase (EC:1.1.1.49 )	0.02	0.003	0.166	81.1	100.0	6.891	0.024	0.02	0.116756677116785
sync_1003	ferredoxin--NADP reductase (EC:1.18.1.2 )	0.064	0.012	0.193	100.0	100.0	9.016	0.061	0.064	0.0671200650234972
sync_1004	cyclase/dehydrase family protein	0.04	0.008	0.203	22.36	100.0	4.018	0.055	0.04	0.104375005121372
sync_1006	adaptive-response sensory histidine kinase SasA (EC:2.7.- )	0.035	0.006	0.174	98.26	100.0	8.919	0.033	0.051	0.0271268176583173
sync_1007	hypothetical protein	0.045	0.011	0.239	100.0	100.0	7.634	0.078	0.045	0.0552149879315918
sync_1008	possible cAMP phosphodiesterases class-II	0.13	0.021	0.161	100.0	100.0	12.079	0.134	0.13	0.187425372923243
sync_1009	aminopeptidase N (EC:3.4.11.2 )	0.112	0.026	0.233	99.89	100.0	13.673	0.112	0.112	0.109867386746824
sync_1010	hypothetical protein	0.11	0.031	0.28	100.0	100.0	18.156	0.109	0.112	0.0896739582901651
sync_1011	ribose-phosphate pyrophosphokinase (EC:2.7.6.1 )	0.024	0.005	0.222	100.0	100.0	16.103	0.023	0.025	0.152205896380038
sync_1012	hypothetical protein	0.249	0.041	0.166	94.07	100.0	13.478	0.261	0.249	0.32455426645713
sync_1013	possible LytR-membrane bound transcriptional regulator	0.16	0.041	0.256	100.0	100.0	20.861	0.161	0.156	0.327292235972142
sync_1014	hypothetical protein	0.163	0.043	0.261	100.0	100.0	18.423	0.16	0.17	0.140712328134039
sync_1015	4-alpha-glucanotransferase (EC:2.4.1.25 )	0.099	0.022	0.225	100.0	100.0	16.462	0.097	0.109	0.123843274931247
sync_1016	Helix-turn-helix motif	0.167	0.05	0.3	100.0	100.0	23.219	0.18	0.167	0.512645865166075
sync_1017	16S rRNA pseudouridylate synthase (EC:4.2.1.70 )	0.177	0.036	0.203	100.0	100.0	15.026	0.18	0.177	0.254707252725344
sync_1018	Type II alternative RNA polymerase sigma factor, sigma-70 family protein	0.034	0.011	0.312	100.0	100.0	24.939	0.041	0.037	0.0215551215154313
sync_1019	hypothetical protein	0.037	0.014	0.363	100.0	100.0	26.131	0.041	0.037	0.21188825631972
sync_1020	ABC1 domain protein	0.056	0.021	0.38	100.0	100.0	30.037	0.055	0.056	0.0531098423149385
sync_1021	hypothetical protein	Inf	0.062	0.0	6.55	35.71	1.119	Inf	Inf	NaN
sync_1022	Orn/Lys/Arg decarboxylases family 1 (EC:4.1.1.18 )	0.187	0.043	0.23	99.86	100.0	16.932	0.181	0.194	0.200220783361954
sync_1023	phosphatidate cytidylyltransferase (EC:2.7.7.41 )	0.082	0.02	0.243	100.0	100.0	13.312	0.086	0.082	0.136271512733384
sync_1024	hypothetical protein	0.119	0.028	0.238	100.0	100.0	15.415	0.122	0.125	0.238515185088757
sync_1025	hydrolase, alpha/beta fold family protein	0.113	0.03	0.263	100.0	100.0	16.574	0.109	0.113	0.187198747711829
sync_1026	Glycerol dehydrogenase family enzyme (EC:1.1.1.6 )	0.168	0.048	0.289	100.0	100.0	16.439	0.166	0.168	0.279926360786267
sync_1027	putative Clp protease, ATP-binding subunit ClpC	0.044	0.011	0.256	95.39	100.0	8.601	0.042	0.05	0.0538409760560219
sync_1028	ribosomal-protein-alanine acetyltransferase (EC:2.3.1.128 )	NaN	0.0	0.0	0.0	92.47	1.284	NaN	NaN	NaN
sync_1029	diaminopimelate decarboxylase (EC:4.1.1.20 )	0.032	0.007	0.23	56.39	100.0	5.483	0.037	0.032	0.0365640478467957
sync_1030	conserved hypothetical protein TIGR00159	0.034	0.006	0.189	98.32	100.0	7.698	0.037	0.034	0.0261464445378835
sync_1031	undecaprenyl diphosphate synthase (EC:2.5.1.31 )	0.074	0.012	0.169	96.38	100.0	8.571	0.069	0.074	0.116626912309084
sync_1032	biotin synthase (EC:2.8.1.6 )	0.017	0.003	0.152	91.74	97.01	9.649	0.02	0.016	0.010743274675649
sync_1033	hypothetical protein	NaN	0.0	0.0	0.0	3.24	0.06	NaN	NaN	NaN
sync_1034	rhodanese domain protein	0.113	0.023	0.201	98.51	100.0	10.771	0.114	0.126	0.146825890218462
sync_1035	Glutathione S-transferase domain protein	0.153	0.031	0.2	100.0	100.0	10.074	0.172	0.153	0.112045058160684
sync_1036	hypothetical protein	0.068	0.015	0.216	95.44	100.0	11.117	0.07	0.068	0.0737115730924575
sync_1037	lipoic acid synthetase (EC:2.8.1.- )	0.093	0.022	0.233	100.0	100.0	14.349	0.089	0.093	0.386739813293243
sync_1038	recombination protein RecR	0.043	0.011	0.267	100.0	100.0	12.107	0.045	0.043	0.207146408546476
sync_1039	PsbP	0.0	0.0	0.173	100.0	100.0	13.344	0.0	0.0	0.0
sync_1040	hypothetical protein	0.098	0.022	0.227	100.0	100.0	18.935	0.099	0.098	0.10157864870959
sync_1041	putative RND family outer membrane efflux protein	0.164	0.048	0.292	100.0	100.0	21.783	0.172	0.164	0.187481336052506
sync_1042	hypothetical protein	0.096	0.02	0.213	19.35	94.46	3.044	0.116	0.096	0.118723082661411
sync_1043	hypothetical protein	0.215	0.016	0.076	17.49	86.34	2.004	0.22	0.215	0.253459409594096
sync_1044	putative cell envelope-related function transcriptional attenuator	0.164	0.063	0.384	92.85	100.0	19.57	0.17	0.164	0.19743572951827
sync_1045	transporter, monovalent cation:proton antiporter-2 (CPA2) family protein	0.09	0.025	0.283	100.0	100.0	19.005	0.092	0.09	0.173951491559565
sync_1046	ABC transporter, multidrug efflux family protein	0.094	0.022	0.234	100.0	100.0	12.448	0.096	0.093	0.0935357046472963
sync_1047	hypothetical protein	1.8	0.101	0.056	63.16	100.0	6.68	1.232	1.8	NaN
sync_1048	putative RNA-binding protein	0.026	0.002	0.067	66.67	100.0	7.396	0.026	0.026	1.00664004602299
sync_1049	hypothetical protein	1.468	0.13	0.089	67.9	100.0	8.066	1.188	1.346	0.964787473410964
sync_1050	hypothetical protein	0.171	0.038	0.224	80.95	100.0	9.078	0.221	0.157	0.399227056996692
sync_1051	Superfamily II DNA/RNA helicase	0.039	0.008	0.21	90.86	100.0	9.821	0.04	0.039	0.0296628166482656
sync_1052	Mannose-6-phosphate isomerase (EC:5.3.1.8 )	0.115	0.025	0.217	100.0	100.0	9.514	0.13	0.115	0.17056653991238
sync_1053	exodeoxyribonuclease V, alpha subunit (EC:3.1.11.5 )	0.216	0.03	0.139	87.56	100.0	6.938	0.199	0.216	0.227048092130004
sync_1054	exodeoxyribonuclease V, beta subunit (EC:3.1.11.5 )	0.154	0.023	0.15	74.99	100.0	7.076	0.168	0.154	0.14386578264971
sync_1055	possible exodeoxyribonuclease V gamma chain (EC:3.1.11.5 )	0.164	0.028	0.174	99.36	100.0	13.047	0.157	0.164	0.229439922919846
