Locus Tag	Description	dN/dS	dN	dS	%min5Xcov	%min1Xcov	avg read depth	dN/dS vs CC9902	dN/dS 70_70	dN/dS PAML
Syncc9902_0635	dTDP-4-dehydrorhamnose reductase (EC:1.1.1.133 )	0.161	0.065	0.403	100.0	100.0	25.081	0.168	0.162	0.245032129047189
Syncc9902_0636	dTDP-4-dehydrorhamnose 3,5-epimerase related (EC:5.1.3.13 )	0.207	0.093	0.448	100.0	100.0	32.255	0.211	0.199	0.315326141852843
Syncc9902_0637	Glucose-1-phosphate thymidylyltransferase, long form	0.126	0.046	0.363	100.0	100.0	27.497	0.123	0.138	0.189782938183722
Syncc9902_0638	possible glycosyltransferase	0.231	0.066	0.284	98.22	100.0	14.279	0.226	0.234	0.274032633438422
Syncc9902_0639	hypothetical protein	0.309	0.045	0.144	38.47	100.0	5.378	0.335	0.288	0.371174139934936
Syncc9902_0640	Lipopolysaccharide biosynthesis protein-like	0.278	0.047	0.17	90.26	100.0	10.821	0.294	0.281	0.34344944712845
Syncc9902_0641	hypothetical protein	0.214	0.034	0.16	69.88	100.0	6.249	0.214	0.232	0.189853100954508
Syncc9902_0642	Dihydrouridine synthase TIM-barrel protein nifR3	0.152	0.048	0.313	99.81	100.0	17.202	0.149	0.171	0.225990521510102
Syncc9902_0643	hypothetical protein	0.125	0.035	0.284	100.0	100.0	16.077	0.113	0.136	0.072873691337408
Syncc9902_0644	GTP-binding protein EngA	0.021	0.006	0.286	100.0	100.0	19.335	0.02	0.021	0.0366900860810477
Syncc9902_0645	possible cobalt transport protein	0.122	0.034	0.277	100.0	100.0	20.847	0.121	0.122	0.147569341216542
Syncc9902_0646	hypothetical protein	0.027	0.007	0.255	100.0	100.0	24.213	0.033	0.034	0.00347335561753915
Syncc9902_0647	hypothetical protein	0.143	0.034	0.234	100.0	100.0	12.205	0.127	0.143	0.115114593277218
Syncc9902_0648	hypothetical protein	0.062	0.015	0.247	100.0	100.0	13.675	0.055	0.064	0.110196495529325
Syncc9902_0649	Delta 1-pyrroline-5-carboxylate reductase (EC:1.5.1.2 )	0.151	0.03	0.198	100.0	100.0	10.795	0.149	0.157	0.175674141186792
Syncc9902_0650	Precorrin-2 C20-methyltransferase	0.152	0.027	0.18	95.47	100.0	10.562	0.172	0.152	0.373141450726119
Syncc9902_0651	methionine salvage pathway enzyme E-2/E-2' -like	0.123	0.022	0.177	98.75	100.0	7.41	0.137	0.123	0.146264209712904
Syncc9902_0652	hypothetical protein	0.366	0.078	0.212	89.37	100.0	8.831	0.393	0.366	0.357997175549763
Syncc9902_0653	hypothetical protein	0.223	0.038	0.172	80.49	100.0	7.407	0.234	0.223	0.17595506481662
Syncc9902_0654	probable glycosyltransferase	0.104	0.02	0.198	100.0	100.0	11.623	0.097	0.104	0.150731092305453
Syncc9902_0655	putative multidrug efflux transporter, MFS family	0.091	0.019	0.205	98.55	100.0	10.325	0.088	0.091	0.0547781007923697
Syncc9902_0656	Recombination protein O, RecO	0.054	0.01	0.183	100.0	100.0	8.222	0.06	0.054	0.053187574735184
Syncc9902_0657	Deoxyribose-phosphate aldolase (EC:4.1.2.4 )	0.099	0.014	0.141	93.98	100.0	8.872	0.094	0.098	0.0749882144728413
Syncc9902_0658	putative sigma 54 modulation protein/ribosomal protein S30EA	0.081	0.011	0.132	86.56	100.0	5.837	0.093	0.081	0.48540019758159
Syncc9902_0659	Lipoate-protein ligase B	0.225	0.033	0.147	100.0	100.0	9.07	0.224	0.25	0.236228767589142
Syncc9902_0660	putative long-chain-fatty-acid--CoA ligase	0.103	0.016	0.157	83.38	100.0	9.253	0.107	0.12	0.162752997073872
Syncc9902_0661	hypothetical protein	0.09	0.013	0.15	100.0	100.0	9.802	0.089	0.085	0.0485283771869422
Syncc9902_0662	dihydrolipoamide acetyltransferase	0.06	0.009	0.15	87.38	100.0	7.961	0.059	0.063	0.144685266672975
Syncc9902_0663	queuosine biosynthesis protein	0.159	0.032	0.201	87.4	100.0	8.032	0.161	0.159	0.176216514923939
Syncc9902_0664	Cysteine synthase K/M/A	0.036	0.007	0.195	99.19	100.0	8.468	0.037	0.036	0.140713545625298
Syncc9902_0665	possible cystathionine gamma-synthase	0.208	0.032	0.154	83.47	96.27	7.019	0.203	0.208	0.201838975496599
Syncc9902_0666	Cystathionine gamma-synthase (EC:2.5.1.48 )	0.103	0.019	0.184	22.9	93.72	3.432	0.108	0.168	0.0987832134226464
Syncc9902_0667	Photosynthetic II protein PsbC	0.031	0.005	0.163	98.92	100.0	9.93	0.033	0.031	0.00693287844075607
Syncc9902_0668	Photosystem II reaction centre protein PsbD/D2	0.026	0.002	0.078	98.74	100.0	12.385	0.027	0.017	0.00719290313763647
Syncc9902_0669	photosystem I assembly protein Ycf4	0.039	0.01	0.258	96.46	100.0	9.976	0.034	0.039	0.252664735822256
Syncc9902_0670	probable peptidyl-prolyl cis-trans isomerase, cyclophilin type	0.096	0.023	0.236	54.04	100.0	4.897	0.104	0.096	0.153744441113961
Syncc9902_0671	acetolactate synthase III small subunit	0.043	0.009	0.215	93.79	100.0	8.529	0.038	0.046	0.249028191713451
Syncc9902_0672	alpha/beta hydrolase superfamily protein	0.185	0.029	0.157	62.51	100.0	5.488	0.207	0.185	0.758110300809994
Syncc9902_0673	tRNA (guanine-N(2)-)-methyltransferase (EC:2.1.1.32 )	0.228	0.029	0.128	52.59	93.81	4.787	0.224	0.228	0.268809403262899
Syncc9902_0674	hypothetical protein	0.219	0.026	0.121	100.0	100.0	6.714	0.207	0.219	0.809742855844805
Syncc9902_0675	putative chaperon-like protein for quinone binding in photosystem II	0.029	0.006	0.199	98.34	100.0	8.742	0.041	0.029	0.0258631086037433
Syncc9902_0676	hypothetical protein	0.145	0.043	0.3	5.09	100.0	3.486	0.0	0.145	0.0257894736842105
Syncc9902_0677	methyltransferase-like	0.117	0.025	0.212	48.69	100.0	5.489	0.118	0.099	0.0681718708559234
Syncc9902_0678	Pseudouridine synthase, Rsu	0.247	0.055	0.225	94.39	100.0	9.76	0.244	0.29	6.8089678303009
Syncc9902_0679	Translation initiation factor IF-1	0.009	0.002	0.193	100.0	100.0	9.004	0.009	0.009	0.00559345995451472
Syncc9902_0680	Thioredoxin reductase	0.058	0.014	0.247	88.14	100.0	8.844	0.061	0.058	0.0535689082052654
Syncc9902_0681	hypothetical protein	0.34	0.049	0.145	42.59	100.0	4.235	0.336	0.34	0.121632024634334
Syncc9902_0682	hypothetical protein	0.101	0.019	0.192	77.9	100.0	7.921	0.105	0.101	0.09314860979113
Syncc9902_0683	hypothetical protein	0.09	0.013	0.143	88.95	100.0	5.532	0.089	0.086	0.0576795808848022
Syncc9902_0684	putative nicotinamide nucleotide transhydrogenase, subunit alpha 1 (A1)	0.065	0.01	0.162	74.41	100.0	6.617	0.067	0.065	0.0903192334368534
Syncc9902_0685	putative nicotinamide nucleotide transhydrogenase, subunit alpha 2 (A2)	0.016	0.003	0.223	87.91	100.0	7.085	0.024	0.016	0.00483352020807746
Syncc9902_0686	putative nicotinamide nucleotide transhydrogenase, subunit beta	0.017	0.003	0.182	51.59	100.0	5.413	0.021	0.037	0.0281254934049166
Syncc9902_0687	hypothetical protein	0.139	0.019	0.14	99.61	100.0	8.719	0.139	0.139	0.115288112367177
Syncc9902_0688	putative ferredoxin like protein	0.122	0.02	0.163	95.0	100.0	7.15	0.138	0.122	0.337542056630509
Syncc9902_0689	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC:1.1.1.267 )	0.061	0.01	0.16	92.98	100.0	8.208	0.068	0.074	0.0888918961229829
Syncc9902_0690	putative sodium-dependent transporter, NSS family	0.066	0.01	0.148	81.03	100.0	7.578	0.061	0.069	0.0633958875803868
Syncc9902_0691	hypothetical protein	0.241	0.033	0.137	87.18	100.0	5.748	0.241	0.241	0.0
Syncc9902_0692	Cysteinyl-tRNA synthetase, class Ia (EC:6.1.1.16 )	0.108	0.025	0.236	95.8	100.0	10.161	0.108	0.114	0.127138659691208
Syncc9902_0693	DNA polymerase I (EC:2.7.7.7 )	0.095	0.021	0.217	96.2	100.0	9.691	0.095	0.098	0.144027840902964
Syncc9902_0694	Secretion protein HlyD	0.159	0.035	0.219	100.0	100.0	13.562	0.163	0.156	0.223994650401134
Syncc9902_0695	hypothetical protein	0.047	0.01	0.209	100.0	100.0	16.592	0.051	0.044	0.0164532234140899
Syncc9902_0696	hypothetical protein	0.19	0.046	0.242	93.58	100.0	9.073	0.196	0.221	0.264292580442972
Syncc9902_0697	hypothetical protein	0.215	0.053	0.245	100.0	100.0	12.793	0.228	0.215	0.258820369525095
Syncc9902_0698	hypothetical protein	0.227	0.046	0.205	100.0	100.0	10.037	0.212	0.227	0.191126650563922
Syncc9902_0699	possible multidrug efflux transporter, MFS family	0.104	0.028	0.27	100.0	100.0	12.863	0.096	0.107	0.441057024897594
Syncc9902_0700	hypothetical protein	0.238	0.041	0.172	100.0	100.0	9.247	0.245	0.238	0.277194929513826
Syncc9902_0701	putative ABC transporter, oligopeptides	0.051	0.01	0.207	100.0	100.0	10.675	0.053	0.051	0.0733235008971656
Syncc9902_0702	ABC transporter, substrate binding protein, possibly oligopeptides	0.152	0.027	0.175	99.03	100.0	10.141	0.149	0.156	0.204704724130509
Syncc9902_0703	hypothetical protein	0.157	0.025	0.158	100.0	100.0	13.658	0.137	0.157	0.57932308620729
Syncc9902_0704	Homoserine dehydrogenase (EC:1.1.1.3 )	0.084	0.017	0.196	95.34	100.0	12.476	0.091	0.102	0.086277524123266
Syncc9902_0705	possible SufE protein	0.135	0.034	0.253	100.0	100.0	16.552	0.136	0.135	0.124145554188965
Syncc9902_0706	hypothetical protein	0.216	0.044	0.205	87.25	100.0	7.819	0.212	0.216	0.123046457501032
Syncc9902_0707	hypothetical protein	0.309	0.04	0.13	93.3	97.55	8.613	0.31	0.309	0.299020216068632
Syncc9902_0708	hypothetical protein	0.017	0.003	0.15	94.62	100.0	14.472	0.016	0.016	0.421097523078238
Syncc9902_0709	hypothetical protein	0.572	0.098	0.171	17.01	100.0	3.697	0.594	0.572	NaN
Syncc9902_0710	hypothetical protein	0.0	0.0	0.143	3.92	100.0	3.696	0.0	0.0	0.00104581998823453
Syncc9902_0711	hypothetical protein	0.231	0.022	0.095	46.15	100.0	4.491	0.231	0.231	0.0943455364833588
Syncc9902_0712	Holliday junction resolvase RuvC	0.019	0.003	0.157	67.53	100.0	5.29	0.018	0.052	0.0201675959095426
Syncc9902_0713	Magnesium chelatase ATPase subunit I (EC:6.6.1.1 )	0.062	0.007	0.112	24.61	100.0	3.528	0.063	0.055	0.610817336406028
Syncc9902_0714	hypothetical protein	0.1	0.013	0.132	28.07	97.69	3.382	0.106	0.1	0.141395224007174
Syncc9902_0715	possible beta-lactamase family protein	0.069	0.01	0.14	28.96	97.86	3.735	0.069	0.069	0.142370007519788
Syncc9902_0716	probable tRNA/rRNA methyltransferase	NaN	0.0	0.0	6.96	95.28	2.455	NaN	NaN	0.611466169430802
Syncc9902_0717	cytochrome cM	0.135	0.015	0.111	95.13	100.0	7.0	0.118	0.135	0.0789209272867792
Syncc9902_0717a	cytochrome b6f complex subunit PetG	0.0	0.0	0.119	84.62	100.0	5.103	0.0	0.0	NaN
Syncc9902_0718	hypothetical protein	0.891	0.041	0.046	27.2	100.0	3.462	0.947	0.891	0.247634704249757
Syncc9902_0719	Imidazole glycerol phosphate synthase, glutamine amidotransferase subunit	0.241	0.032	0.135	43.77	100.0	5.484	0.277	0.241	0.26266344851321
Syncc9902_0720	Thioredoxin	0.0	0.0	0.132	37.96	100.0	3.96	0.0	0.0	0.0
Syncc9902_0721	inositol-5-monophosphate dehydrogenase	0.0	0.0	0.126	19.24	90.21	2.894	0.0	0.0	0.0477191634469032
Syncc9902_0722	hypothetical protein	NaN	0.0	0.0	0.0	100.0	2.058	NaN	NaN	0.506402793946449
Syncc9902_0723	DNA gyrase subunit A	0.061	0.009	0.144	26.57	93.09	3.389	0.066	0.125	0.0353079610036989
Syncc9902_0724	Lycopene cyclase, beta and epsilon	0.144	0.042	0.294	87.75	100.0	9.688	0.145	0.15	0.139912567802877
Syncc9902_0725	Outer membrane autotransporter barrel	0.234	0.036	0.155	25.2	84.22	3.059	0.245	0.23	0.195932889342232
Syncc9902_0726	hypothetical protein	0.103	0.023	0.221	100.0	100.0	9.641	0.104	0.108	0.156183797384185
Syncc9902_0727	2-isopropylmalate synthase	0.061	0.015	0.24	74.55	100.0	7.125	0.059	0.061	0.033815047977618
Syncc9902_0728	putative permease protein of sugar ABC transporter	0.055	0.01	0.185	84.47	100.0	7.039	0.076	0.055	0.0583559418160471
Syncc9902_0729	hypothetical protein	0.198	0.034	0.172	85.77	100.0	7.037	0.222	0.198	0.181531554507697
Syncc9902_0730	hypothetical protein	0.093	0.018	0.192	85.71	100.0	6.529	0.098	0.093	NaN
Syncc9902_0731	hypothetical protein	0.2	0.021	0.107	40.74	100.0	4.651	0.202	0.323	0.562417070749547
Syncc9902_0732	hypothetical protein	0.212	0.03	0.143	100.0	100.0	7.261	0.206	0.239	0.232483139184632
Syncc9902_0733	Protein of unknown function DUF77	0.099	0.017	0.167	19.47	100.0	3.782	0.098	0.099	0.0537979890474266
Syncc9902_0734	hypothetical protein	0.289	0.026	0.089	38.37	100.0	4.556	0.287	0.289	0.223448726673099
Syncc9902_0735	putative pseudouridylate synthase	0.223	0.025	0.112	57.21	100.0	5.491	0.259	0.301	0.18407762921519
Syncc9902_0736	metal dependent phosphohydrolase	0.078	0.011	0.14	53.12	99.81	5.322	0.081	0.078	0.319020562504632
Syncc9902_0737	Methylenetetrahydrofolate dehydrogenase (NADP+) (EC:1.5.1.5 )	0.056	0.006	0.114	47.85	100.0	4.78	0.071	0.056	0.0573849616026431
Syncc9902_0738	hypothetical protein	NaN	0.0	0.0	0.0	100.0	3.001	NaN	NaN	0.104258683295717
Syncc9902_0739	geranylgeranyl pyrophosphate synthase	0.018	0.002	0.088	65.32	100.0	4.782	0.016	0.018	0.0434368508548239
Syncc9902_0740	hypothetical protein	0.156	0.023	0.147	66.1	100.0	5.577	0.142	0.156	0.141512988478666
Syncc9902_0741	exodeoxyribonuclease V	0.053	0.006	0.115	67.01	100.0	5.485	0.055	0.052	0.0656797908190845
Syncc9902_0742	possible cytochrome c biogenesis protein trans	0.167	0.021	0.126	46.0	100.0	4.253	0.146	0.167	0.0976775573143293
Syncc9902_0743	putative phosphoglycerate mutase family protein	0.202	0.029	0.144	55.77	99.84	5.06	0.189	0.202	0.233110499763802
Syncc9902_0744	hypothetical protein	0.212	0.028	0.134	90.08	100.0	7.645	0.219	0.254	0.321661535687972
Syncc9902_0745	possible acylphosphatase	0.06	0.009	0.155	69.77	100.0	4.746	0.045	0.06	1.16555232700158
Syncc9902_0746	Cobyrinic acid a,c-diamide synthase CbiA	0.097	0.008	0.08	35.74	98.33	3.774	0.121	0.097	0.115030041313837
Syncc9902_0747	possible glucose 6-phosphate dehydrogenase effector OpcA	0.095	0.009	0.1	15.15	98.52	2.77	0.096	0.106	0.104807490869285
Syncc9902_0748	Glucose-6-phosphate dehydrogenase (EC:1.1.1.49 )	0.038	0.007	0.184	64.44	100.0	5.677	0.039	0.038	0.370848002137771
Syncc9902_0749	ferredoxin--NADP reductase (FNR)	0.118	0.023	0.192	96.07	100.0	10.924	0.127	0.118	0.129517528385874
Syncc9902_0750	hypothetical protein	0.085	0.019	0.223	93.14	100.0	9.284	0.086	0.088	0.119812710394715
Syncc9902_0751	adaptive-response sensory kinase	0.047	0.009	0.189	100.0	100.0	10.423	0.044	0.047	0.27757748181591
Syncc9902_0752	hypothetical protein	0.07	0.016	0.223	99.48	100.0	9.046	0.072	0.072	0.102220191333954
Syncc9902_0753	hypothetical protein	0.05	0.011	0.214	59.72	98.41	6.575	0.056	0.049	0.109928537071742
Syncc9902_0754	Peptidase M, neutral zinc metallopeptidase, zinc-binding site	0.117	0.028	0.238	100.0	100.0	15.375	0.12	0.118	0.108071406160364
Syncc9902_0755	hypothetical protein	0.289	0.051	0.177	100.0	100.0	12.816	0.269	0.29	1.2315407733166
Syncc9902_0756	hypothetical protein	0.641	0.054	0.084	54.17	70.42	3.367	0.562	0.641	0.468634686346863
Syncc9902_0757	hypothetical protein	0.211	0.03	0.141	63.16	100.0	5.135	0.211	0.211	0.0663326175137199
Syncc9902_0758	hypothetical protein	NaN	0.0	0.0	0.0	100.0	2.948	NaN	NaN	0.253378378378378
Syncc9902_0759	hypothetical protein	0.198	0.041	0.206	94.44	100.0	10.854	0.184	0.198	0.414329571579225
Syncc9902_0760	hypothetical protein	0.245	0.052	0.213	100.0	100.0	13.068	0.247	0.245	0.496166527786906
Syncc9902_0761	hypothetical protein	0.098	0.02	0.202	95.56	100.0	9.163	0.094	0.098	0.104938100473401
Syncc9902_0762	hypothetical protein	0.068	0.015	0.226	100.0	100.0	15.71	0.066	0.068	0.00452744765138653
Syncc9902_0763	hypothetical protein	0.276	0.047	0.168	100.0	100.0	13.574	0.342	0.26	0.304620216922339
Syncc9902_0764	hypothetical protein	0.1	0.018	0.184	96.52	100.0	9.978	0.093	0.094	0.236718053958438
Syncc9902_0765	hypothetical protein	0.048	0.011	0.228	90.3	100.0	6.869	0.047	0.048	0.0680309415653873
Syncc9902_0766	Ionotropic glutamate receptor	0.171	0.038	0.224	89.48	100.0	11.73	0.172	0.171	0.352132267636902
Syncc9902_0767	hypothetical protein	0.184	0.023	0.124	100.0	100.0	8.098	0.199	0.184	0.131535084486517
Syncc9902_0768	hypothetical protein	0.177	0.031	0.176	96.43	100.0	8.412	0.173	0.177	0.130988519332507
Syncc9902_0769	Phosphopantetheinyl transferase-like	0.206	0.045	0.219	98.46	100.0	12.232	0.207	0.206	0.291229533585653
Syncc9902_0770	hypothetical protein	0.063	0.012	0.193	100.0	100.0	17.373	0.076	0.063	0.0538447418753851
Syncc9902_0771	hypothetical protein	0.244	0.061	0.248	40.29	80.59	3.575	0.318	0.244	0.109197651663405
Syncc9902_0772	hypothetical protein	0.092	0.029	0.313	99.8	100.0	8.862	0.089	0.092	0.316519602586936
Syncc9902_0773	hypothetical protein	0.129	0.03	0.232	90.72	100.0	7.869	0.129	0.137	0.179552082597794
Syncc9902_0774	CBS	0.053	0.009	0.162	89.87	100.0	7.308	0.059	0.063	0.0428310656281398
Syncc9902_0775	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase	0.144	0.023	0.161	100.0	100.0	9.604	0.148	0.144	0.172842153210119
Syncc9902_0776	possible nucleotide sugar epimerase	0.108	0.027	0.246	65.69	100.0	8.059	0.107	0.108	0.0829816932119966
Syncc9902_0777	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase	0.075	0.012	0.16	86.49	100.0	8.221	0.078	0.075	0.0833757331108178
Syncc9902_0778	putative ferric uptake regulator, FUR family	0.047	0.007	0.158	92.81	100.0	8.577	0.064	0.047	0.0538909571972895
Syncc9902_0779	hypothetical protein	0.188	0.032	0.172	52.13	100.0	4.715	0.196	0.216	0.169959497522349
Syncc9902_0780	hypothetical protein	0.087	0.018	0.206	60.3	100.0	4.978	0.088	0.132	0.12695479232457
Syncc9902_0781	hypothetical protein	0.143	0.015	0.105	81.76	100.0	5.896	0.138	0.143	0.132898966534182
Syncc9902_0782	hypothetical protein	0.114	0.019	0.163	49.18	100.0	4.639	0.107	0.114	0.121633539009777
Syncc9902_0783	Holliday junction resolvase YqgF	0.097	0.016	0.165	47.07	94.55	3.598	0.099	0.097	0.102184744362552
Syncc9902_0784	hypothetical protein	0.022	0.003	0.145	78.02	99.46	5.105	0.022	0.022	0.143723375729864
Syncc9902_0785	HAD-superfamily phosphatase subfamily IIIA	0.167	0.036	0.214	91.19	100.0	8.268	0.148	0.167	0.236772563870834
Syncc9902_0786	gamma-glutamyl kinase (EC:2.7.2.11 )	0.081	0.012	0.149	61.92	100.0	5.304	0.083	0.081	0.0798933272372253
Syncc9902_0787	UDP-3-O-(3-hydroxymyristoyl) glucosamine N-acyltransferase, LpxD	0.062	0.008	0.136	68.97	100.0	7.413	0.062	0.062	0.107027491130708
Syncc9902_0788	3-isopropylmalate dehydrogenase (EC:1.1.1.85 )	0.084	0.014	0.166	91.9	100.0	9.009	0.092	0.115	0.0381908690010067
Syncc9902_0789	Phosphoribulokinase (EC:2.7.1.19 )	0.026	0.005	0.192	100.0	100.0	9.966	0.026	0.026	0.0284216106253635
Syncc9902_0790	hypothetical protein	0.275	0.046	0.166	96.88	100.0	7.441	0.3	0.275	0.271156254027446
Syncc9902_0793	acetyl-CoA carboxylase beta subunit	0.036	0.007	0.202	100.0	100.0	10.167	0.042	0.036	0.0283908224893959
Syncc9902_0794	hypothetical protein	0.093	0.019	0.207	100.0	100.0	9.325	0.09	0.093	0.13419458800275
Syncc9902_0795	putative oxidoreductase	0.136	0.027	0.197	98.22	100.0	9.831	0.135	0.136	0.155829864518524
Syncc9902_0796	Fructose-bisphosphate aldolase (EC:4.1.2.13 )	0.114	0.022	0.19	100.0	100.0	17.741	0.11	0.113	0.126660816149627
Syncc9902_0797	fructose-bisphosphate aldolase (EC:4.1.2.13 )	0.017	0.003	0.195	99.26	100.0	13.148	0.017	0.017	0.013358805312281
Syncc9902_0798	Gamma-glutamyltransferase (EC:2.3.2.2 )	0.214	0.044	0.205	91.13	100.0	10.296	0.224	0.22	0.215435147744972
Syncc9902_0799	hypothetical protein	0.226	0.041	0.181	98.76	100.0	10.131	0.219	0.226	0.348834998325346
Syncc9902_0800	Phosphoribosylformylglycinamidine synthase I	0.101	0.024	0.233	100.0	100.0	12.216	0.092	0.101	0.274646441480159
Syncc9902_0801	Phosphoribosylformylglycinamidine synthetase PurS	0.129	0.023	0.179	100.0	100.0	12.014	0.145	0.129	1.7849653466453
Syncc9902_0802	hypothetical protein	0.306	0.055	0.18	100.0	100.0	9.039	0.355	0.306	0.42777627283877
Syncc9902_0803	small mechanosensitive ion channel, MscS family	0.108	0.031	0.282	100.0	100.0	10.324	0.103	0.108	0.100635612058316
Syncc9902_0804	hypothetical protein	0.269	0.081	0.301	100.0	100.0	22.148	0.265	0.273	0.386147936415214
Syncc9902_0805	nuclease (SNase-like)	0.228	0.075	0.329	100.0	100.0	14.944	0.249	0.232	0.179099715657741
Syncc9902_0806	hypothetical protein	0.055	0.019	0.344	100.0	100.0	34.982	0.056	0.055	0.0112253078937299
Syncc9902_0807	hypothetical protein	0.255	0.087	0.342	100.0	100.0	50.113	0.278	0.266	0.155191025328585
Syncc9902_0808	hypothetical protein	0.059	0.022	0.376	100.0	100.0	51.645	0.061	0.058	0.532904019159622
Syncc9902_0809	hypothetical protein	0.814	0.101	0.124	100.0	100.0	11.446	0.934	0.787	0.389610904589495
Syncc9902_0810	hypothetical protein	0.363	0.072	0.199	100.0	100.0	23.417	0.326	0.33	0.440382329326572
Syncc9902_0811	hypothetical protein	0.31	0.068	0.219	100.0	100.0	19.149	0.308	0.297	0.93113390206365
Syncc9902_0812	hypothetical protein	0.304	0.084	0.275	100.0	100.0	13.366	0.306	0.327	0.053315649867374
Syncc9902_0813	hypothetical protein	0.265	0.092	0.349	100.0	100.0	31.849	0.261	0.263	0.947214469678674
Syncc9902_0814	hypothetical protein	0.162	0.068	0.42	100.0	100.0	44.52	0.164	0.171	0.102482036454952
Syncc9902_0815	two-component sensor histidine kinase	0.0	0.0	0.167	12.96	100.0	3.704	0.0	0.0	NaN
Syncc9902_0816	hypothetical protein	0.13	0.035	0.274	82.66	100.0	12.64	0.121	0.111	0.449054362713521
Syncc9902_0817	hypothetical protein	0.095	0.019	0.2	100.0	100.0	22.736	0.097	0.114	1.21463522441577
Syncc9902_0818	hypothetical protein	0.103	0.032	0.31	100.0	100.0	20.349	0.114	0.103	0.298589654798796
Syncc9902_0819	hypothetical protein	0.106	0.027	0.259	100.0	100.0	19.49	0.107	0.103	0.0670821313445254
Syncc9902_0820	ADP-heptose:LPS heptosyltransferase-like	NaN	0.0	0.0	0.0	69.67	1.743	NaN	NaN	0.102308828708845
Syncc9902_0821	adenine phosphoribosyltransferase (EC:2.4.2.7 )	0.165	0.046	0.278	96.02	100.0	14.727	0.165	0.177	0.0738399294672886
Syncc9902_0822	hypothetical protein	0.063	0.018	0.282	100.0	100.0	13.709	0.063	0.063	0.822377334695625
Syncc9902_0823	possible 2-octaprenyl-6-methoxyphenol 4-monoxygenase; UbiH	0.175	0.046	0.26	100.0	100.0	13.375	0.168	0.175	0.184333883255338
Syncc9902_0824	possible high light inducible protein	0.096	0.028	0.29	100.0	100.0	16.718	0.084	0.096	0.369208029886142
Syncc9902_0825	hypothetical protein	0.142	0.028	0.194	100.0	100.0	10.758	0.14	0.142	0.201801825975972
Syncc9902_0826	dihydrodipicolinate reductase (EC:1.3.1.26 )	0.086	0.025	0.29	100.0	100.0	17.464	0.083	0.096	0.143781984560125
Syncc9902_0827	cobaltochelatase (EC:6.6.1.2 )	0.054	0.016	0.293	99.68	100.0	17.155	0.053	0.054	0.0353940097225776
Syncc9902_0828	hypothetical protein	0.244	0.02	0.081	31.14	85.76	3.479	0.244	0.244	2.67878564288801
Syncc9902_0829	Dihydropteroate synthase (EC:2.5.1.15 )	0.128	0.048	0.376	100.0	100.0	29.135	0.132	0.125	0.355089135133624
Syncc9902_0830	triosephosphate isomerase (EC:5.3.1.1 )	0.056	0.015	0.268	100.0	100.0	29.329	0.054	0.056	0.0648956381755083
Syncc9902_0831	hypothetical protein	0.238	0.041	0.173	100.0	100.0	20.312	0.233	0.238	1.39486014875703
Syncc9902_0832	ATPase	0.095	0.026	0.278	100.0	100.0	26.185	0.102	0.096	0.0717733826955945
Syncc9902_0833	hypothetical protein	0.082	0.032	0.392	100.0	100.0	22.474	0.082	0.082	0.0396407159769614
Syncc9902_0834	Sodium:alanine symporter	0.085	0.021	0.248	100.0	100.0	10.691	0.09	0.085	0.147572046389405
Syncc9902_0835	hypothetical protein	0.091	0.021	0.227	100.0	100.0	9.807	0.095	0.091	0.107976231291517
Syncc9902_0836	Carbamoyl-phosphate synthase, large subunit, glutamine-dependent	0.077	0.015	0.198	96.15	100.0	11.818	0.077	0.091	0.0886024733384651
Syncc9902_0837	hypothetical protein	0.004	0.001	0.232	70.6	100.0	5.684	0.004	0.004	0.00864445001252819
Syncc9902_0838	Iojap-related protein	0.198	0.036	0.184	85.79	100.0	6.066	0.234	0.195	0.0826599781621868
Syncc9902_0839	hypothetical protein	0.101	0.025	0.244	100.0	100.0	10.406	0.096	0.101	0.0815099888733056
Syncc9902_0840	hypothetical protein	0.04	0.009	0.218	98.77	100.0	12.243	0.042	0.04	0.0891617558139608
Syncc9902_0841	probable oxidoreductase	0.122	0.028	0.23	100.0	100.0	13.409	0.131	0.122	0.160520439976494
Syncc9902_0842	hypothetical protein	0.226	0.045	0.2	100.0	100.0	16.492	0.186	0.226	1.2424825088281
Syncc9902_0843	hypothetical protein	0.086	0.019	0.227	90.42	100.0	12.313	0.088	0.095	0.052182578042682
Syncc9902_0844	hypothetical protein	0.267	0.054	0.201	100.0	100.0	13.32	0.272	0.267	0.314328405333998
Syncc9902_0845	putative sulfate transporter	0.067	0.015	0.219	100.0	100.0	14.139	0.075	0.073	0.0614643261539663
Syncc9902_0846	hypothetical protein	0.303	0.063	0.209	84.57	100.0	5.87	0.297	0.269	0.735155646124657
Syncc9902_0847	extracellular solute-binding protein, family 3	0.099	0.023	0.234	100.0	100.0	13.613	0.102	0.102	0.059992735958952
Syncc9902_0848	Amino acid ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine	0.09	0.024	0.267	100.0	100.0	18.401	0.097	0.091	0.129337211855241
