protein_id	locus_tag	has_interpro	n_interpro_domains	interpro_ids
XP_002288313.1	THAPSDRAFT_3414	no	0	none
XP_002288314.1	THAPSDRAFT_21742	yes	1	IPR001247
XP_002288315.1	THAPSDRAFT_12500	yes	2	IPR000330,IPR001650
XP_002288316.1	THAPSDRAFT_27435	yes	1	IPR003822
XP_002288317.1	THAPSDRAFT_3424	no	0	none
XP_002288318.1	THAPSDRAFT_21747	no	0	none
XP_002288319.1	THAPSDRAFT_3428	no	0	none
XP_002288320.1	THAPSDRAFT_21748	yes	1	IPR000771
XP_002288321.1	THAPSDRAFT_21750	no	0	none
XP_002288322.1	THAPSDRAFT_3435	yes	1	IPR000297
XP_002288323.1	THAPSDRAFT_3436	no	0	none
XP_002288324.1	THAPSDRAFT_3438	no	0	none
XP_002288325.1	THAPSDRAFT_3439	no	0	none
XP_002288326.1	THAPSDRAFT_32741	no	0	none
XP_002288327.1	THAPSDRAFT_3447	no	0	none
XP_002288328.1	THAPSDRAFT_3448	yes	1	IPR008144
XP_002288329.1	THAPSDRAFT_3450	yes	1	IPR000182
XP_002288330.1	THAPSDRAFT_16612	yes	1	IPR001395
XP_002288331.1	THAPSDRAFT_3453	no	0	none
XP_002288332.1	THAPSDRAFT_3454	no	0	none
XP_002288333.1	THAPSDRAFT_3456	yes	2	IPR001478,IPR005151
XP_002288334.1	THAPSDRAFT_3458	no	0	none
XP_002288335.1	THAPSDRAFT_268475	yes	1	IPR000008
XP_002288336.1	THAPSDRAFT_3461	yes	1	IPR002305
XP_002288337.1	THAPSDRAFT_33169	yes	1	IPR007248
XP_002288338.1	THAPSDRAFT_27451	yes	1	IPR010339
XP_002288339.1	THAPSDRAFT_268480	yes	1	IPR000092
XP_002288340.1	THAPSDRAFT_268481	yes	1	IPR000232
XP_002288341.1	THAPSDRAFT_39901	yes	1	IPR001576
XP_002288342.1	THAPSDRAFT_21769	no	0	none
XP_002288343.1	THAPSDRAFT_261802	yes	1	IPR001395
XP_002288344.1	THAPSDRAFT_21771	no	0	none
XP_002288345.1	THAPSDRAFT_261803	no	0	none
XP_002288346.1	THAPSDRAFT_3481	no	0	none
XP_002288347.1	THAPSDRAFT_3482	no	0	none
XP_002288348.1	THAPSDRAFT_32752	yes	1	IPR000988
XP_002288349.1	THAPSDRAFT_15161	yes	2	IPR000182,IPR001487
XP_002288350.1	THAPSDRAFT_3487	yes	1	IPR000571
XP_002288351.1	THAPSDRAFT_21774	no	0	none
XP_002288352.1	THAPSDRAFT_268486	yes	1	IPR005599
XP_002288353.1	THAPSDRAFT_3493	no	0	none
XP_002288354.1	THAPSDRAFT_21776	no	0	none
XP_002288355.1	THAPSDRAFT_268488	yes	1	IPR002060
XP_002288356.1	THAPSDRAFT_21778	no	0	none
XP_002288357.1	THAPSDRAFT_21779	yes	1	IPR000504
XP_002288358.1	THAPSDRAFT_3500	no	0	none
XP_002288359.1	THAPSDRAFT_33256	yes	1	IPR003348
XP_002288360.1	THAPSDRAFT_21781	no	0	none
XP_002288361.1	THAPSDRAFT_3506	no	0	none
XP_002288362.1	THAPSDRAFT_268493	yes	1	IPR002198
XP_002288363.1	THAPSDRAFT_21784	yes	1	IPR000504
XP_002288364.1	THAPSDRAFT_39924	yes	4	IPR001241,IPR002288,IPR003594,IPR006171
XP_002288365.1	THAPSDRAFT_3516	yes	1	IPR007194
XP_002288366.1	THAPSDRAFT_21789	no	0	none
XP_002288367.1	THAPSDRAFT_33241	yes	1	IPR001063
XP_002288368.1	THAPSDRAFT_21791	no	0	none
XP_002288369.1	THAPSDRAFT_270391	yes	1	IPR000146
XP_002288370.1	THAPSDRAFT_33194	yes	1	IPR001544
XP_002288371.1	THAPSDRAFT_261825	yes	1	IPR001254
XP_002288372.1	THAPSDRAFT_21795	no	0	none
XP_002288373.1	THAPSDRAFT_3529	yes	1	IPR002562
XP_002288374.1	THAPSDRAFT_261827	yes	1	IPR006662
XP_002288375.1	THAPSDRAFT_21797	no	0	none
XP_002288376.1	THAPSDRAFT_21798	no	0	none
XP_002288377.1	THAPSDRAFT_3538	no	0	none
XP_002288378.1	THAPSDRAFT_3541	no	0	none
XP_002288379.1	THAPSDRAFT_21800	yes	1	IPR007036
XP_002288380.1	THAPSDRAFT_32845	no	0	none
XP_002288381.1	THAPSDRAFT_21801	no	0	none
XP_002288382.1	THAPSDRAFT_21804	no	0	none
XP_002288383.1	THAPSDRAFT_261832	yes	1	IPR000209
XP_002288384.1	THAPSDRAFT_21805	yes	1	IPR002110
XP_002288385.1	THAPSDRAFT_20146	no	0	none
XP_002288386.1	THAPSDRAFT_21809	no	0	none
XP_002288387.1	THAPSDRAFT_3560	no	0	none
XP_002288388.1	THAPSDRAFT_3563	yes	2	IPR000571,IPR001680
XP_002288389.1	THAPSDRAFT_3564	no	0	none
XP_002288390.1	THAPSDRAFT_32758	yes	1	IPR001353
XP_002288391.1	THAPSDRAFT_33161	yes	2	IPR000352,IPR005139
XP_002288392.1	THAPSDRAFT_3570	yes	1	IPR001932
XP_002288393.1	THAPSDRAFT_261839	yes	1	IPR001650
XP_002288394.1	THAPSDRAFT_33024	yes	1	IPR000868
XP_002288395.1	THAPSDRAFT_21819	yes	1	IPR001683
XP_002288396.1	THAPSDRAFT_21820	no	0	none
XP_002288397.1	THAPSDRAFT_21821	no	0	none
XP_002288398.1	THAPSDRAFT_3579	no	0	none
XP_002288399.1	THAPSDRAFT_3581	no	0	none
XP_002288400.1	THAPSDRAFT_3582	yes	1	IPR001806
XP_002288401.1	THAPSDRAFT_3583	no	0	none
XP_002288402.1	THAPSDRAFT_21825	yes	1	IPR002110
XP_002288403.1	THAPSDRAFT_3587	no	0	none
XP_002288404.1	THAPSDRAFT_3588	no	0	none
XP_002288405.1	THAPSDRAFT_3591	yes	1	IPR006671
XP_002288406.1	THAPSDRAFT_21827	no	0	none
XP_002288407.1	THAPSDRAFT_261844	yes	2	IPR000008,IPR001736
XP_002288408.1	THAPSDRAFT_33126	yes	1	IPR001806
XP_002288409.1	THAPSDRAFT_3601	yes	1	IPR005821
XP_002288410.1	THAPSDRAFT_33000	yes	1	IPR000559
XP_002288411.1	THAPSDRAFT_21830	no	0	none
XP_002288412.1	THAPSDRAFT_21831	no	0	none
XP_002288413.1	THAPSDRAFT_3608	no	0	none
XP_002288414.1	THAPSDRAFT_33033	yes	2	IPR001279,IPR011108
XP_002288415.1	THAPSDRAFT_268509	yes	1	IPR001611
XP_002288416.1	THAPSDRAFT_21837	yes	1	IPR000397
XP_002288417.1	THAPSDRAFT_3617	no	0	none
XP_002288418.1	THAPSDRAFT_32816	no	0	none
XP_002288419.1	THAPSDRAFT_21839	no	0	none
XP_002288420.1	THAPSDRAFT_3622	yes	1	IPR001228
XP_002288421.1	THAPSDRAFT_21841	no	0	none
XP_002288422.1	THAPSDRAFT_32716	yes	1	IPR004137
XP_002288423.1	THAPSDRAFT_3627	yes	1	IPR002155
XP_002288424.1	THAPSDRAFT_3629	yes	2	IPR001394,IPR001607
XP_002288425.1	THAPSDRAFT_3630	yes	1	IPR000008
XP_002288426.1	THAPSDRAFT_3632	no	0	none
XP_002288427.1	THAPSDRAFT_3635	no	0	none
XP_002288428.1	THAPSDRAFT_337	yes	2	IPR000795,IPR004160
XP_002288429.1	THAPSDRAFT_3640	yes	1	IPR002893
XP_002288430.1	THAPSDRAFT_39973	yes	1	IPR001672
XP_002288431.1	THAPSDRAFT_32577	yes	1	IPR000534
XP_002288432.1	THAPSDRAFT_3646	no	0	none
XP_002288433.1	THAPSDRAFT_3647	no	0	none
XP_002288434.1	THAPSDRAFT_3650	no	0	none
XP_002288435.1	THAPSDRAFT_268516	no	0	none
XP_002288436.1	THAPSDRAFT_21855	yes	2	IPR001849,IPR009769
XP_002288437.1	THAPSDRAFT_21857	no	0	none
XP_002288438.1	THAPSDRAFT_261863	no	0	none
XP_002288439.1	THAPSDRAFT_3659	no	0	none
XP_002288440.1	THAPSDRAFT_3661	no	0	none
XP_002288441.1	THAPSDRAFT_3663	yes	1	IPR005123
XP_002288442.1	THAPSDRAFT_32807	yes	2	IPR001650,IPR011545
XP_002288443.1	THAPSDRAFT_15123	yes	1	IPR001394
XP_002288444.1	THAPSDRAFT_21863	no	0	none
XP_002288445.1	THAPSDRAFT_27550	yes	1	IPR000672
XP_002288446.1	THAPSDRAFT_21866	no	0	none
XP_002288447.1	THAPSDRAFT_21867	no	0	none
XP_002288448.1	THAPSDRAFT_3680	no	0	none
XP_002288449.1	THAPSDRAFT_21871	yes	1	IPR001865
XP_002288450.1	THAPSDRAFT_27556	yes	1	IPR010704
XP_002288451.1	THAPSDRAFT_27557	yes	1	IPR003439
XP_002288452.1	THAPSDRAFT_40001	yes	4	IPR000640,IPR000795,IPR004161,IPR006297
XP_002288453.1	THAPSDRAFT_3688	no	0	none
XP_002288454.1	THAPSDRAFT_3690	no	0	none
XP_002288455.1	THAPSDRAFT_3691	no	0	none
XP_002288456.1	THAPSDRAFT_3694	no	0	none
XP_002288457.1	THAPSDRAFT_32522	yes	1	IPR010614
XP_002288458.1	THAPSDRAFT_33072	yes	1	IPR001619
XP_002288459.1	THAPSDRAFT_32945	yes	1	IPR001041
XP_002288460.1	THAPSDRAFT_21879	no	0	none
XP_002288461.1	THAPSDRAFT_261876	yes	1	IPR001965
XP_002288462.1	THAPSDRAFT_21882	no	0	none
XP_002288463.1	THAPSDRAFT_27564	yes	1	IPR002701
XP_002288464.1	THAPSDRAFT_3708	no	0	none
XP_002288465.1	THAPSDRAFT_3710	no	0	none
XP_002288466.1	THAPSDRAFT_32766	no	0	none
XP_002288467.1	THAPSDRAFT_21887	no	0	none
XP_002288468.1	THAPSDRAFT_3715	no	0	none
XP_002288469.1	THAPSDRAFT_3719	yes	3	IPR001650,IPR006935,IPR011545
XP_002288470.1	THAPSDRAFT_21891	no	0	none
XP_002288471.1	THAPSDRAFT_21892	no	0	none
XP_002288472.1	THAPSDRAFT_268526	no	0	none
XP_002288473.1	THAPSDRAFT_3725	no	0	none
XP_002288474.1	THAPSDRAFT_14315	yes	1	IPR005101
XP_002288475.1	THAPSDRAFT_32779	yes	1	IPR004130
XP_002288476.1	THAPSDRAFT_3731	no	0	none
XP_002288477.1	THAPSDRAFT_3734	no	0	none
XP_002288478.1	THAPSDRAFT_21898	no	0	none
XP_002288479.1	THAPSDRAFT_21900	no	0	none
XP_002288480.1	THAPSDRAFT_21901	no	0	none
XP_002288481.1	THAPSDRAFT_3741	yes	1	IPR002076
XP_002288482.1	THAPSDRAFT_3744	no	0	none
XP_002288483.1	THAPSDRAFT_12729	yes	2	IPR001830,IPR003337
XP_002288484.1	THAPSDRAFT_3748	yes	1	IPR001993
XP_002288485.1	THAPSDRAFT_3751	yes	1	IPR001357
XP_002288486.1	THAPSDRAFT_40021	yes	1	IPR001395
XP_002288487.1	THAPSDRAFT_3755	no	0	none
XP_002288488.1	THAPSDRAFT_21908	no	0	none
XP_002288489.1	THAPSDRAFT_21910	no	0	none
XP_002288490.1	THAPSDRAFT_21911	yes	1	IPR006773
XP_002288491.1	THAPSDRAFT_21914	no	0	none
XP_002288492.1	THAPSDRAFT_3765	no	0	none
XP_002288493.1	THAPSDRAFT_3768	no	0	none
XP_002288494.1	THAPSDRAFT_3770	no	0	none
XP_002288495.1	THAPSDRAFT_3773	no	0	none
XP_002288496.1	THAPSDRAFT_40028	yes	3	IPR001278,IPR005148,IPR008909
XP_002288497.1	THAPSDRAFT_3776	no	0	none
XP_002288498.1	THAPSDRAFT_3777	yes	1	IPR006671
XP_002288499.1	THAPSDRAFT_3779	yes	1	IPR001564
XP_002288500.1	THAPSDRAFT_3781	no	0	none
XP_002288501.1	THAPSDRAFT_21923	no	0	none
XP_002288502.1	THAPSDRAFT_3784	yes	1	IPR000408
XP_002288503.1	THAPSDRAFT_40034	yes	2	IPR002314,IPR004154
XP_002288504.1	THAPSDRAFT_3788	no	0	none
XP_002288505.1	THAPSDRAFT_21925	no	0	none
XP_002288506.1	THAPSDRAFT_3790	yes	1	IPR001993
XP_002288507.1	THAPSDRAFT_3793	yes	1	IPR005828
XP_002288508.1	THAPSDRAFT_21929	no	0	none
XP_002288509.1	THAPSDRAFT_3800	no	0	none
XP_002288510.1	THAPSDRAFT_21931	yes	1	IPR000863
XP_002288511.1	THAPSDRAFT_3804	no	0	none
XP_002288512.1	THAPSDRAFT_17292	yes	1	IPR002877
XP_002288513.1	THAPSDRAFT_268541	yes	2	IPR000127,IPR000594
XP_002288514.1	THAPSDRAFT_261910	no	0	none
XP_002288515.1	THAPSDRAFT_32684	no	0	none
XP_002288516.1	THAPSDRAFT_3814	yes	1	IPR001993
XP_002288517.1	THAPSDRAFT_3816	yes	1	IPR001344
XP_002288518.1	THAPSDRAFT_21941	no	0	none
XP_002288519.1	THAPSDRAFT_21943	yes	1	IPR008696
XP_002288520.1	THAPSDRAFT_3822	no	0	none
XP_002288521.1	THAPSDRAFT_27618	yes	1	IPR001790
XP_002288522.1	THAPSDRAFT_3824	no	0	none
XP_002288523.1	THAPSDRAFT_21947	no	0	none
XP_002288524.1	THAPSDRAFT_20065	no	0	none
XP_002288525.1	THAPSDRAFT_21951	no	0	none
XP_002288526.1	THAPSDRAFT_32525	yes	1	IPR000608
XP_002288527.1	THAPSDRAFT_21954	no	0	none
XP_002288528.1	THAPSDRAFT_3837	yes	2	IPR004843,IPR008334
XP_002288529.1	THAPSDRAFT_21956	yes	1	IPR002912
XP_002288530.1	THAPSDRAFT_3840	yes	1	IPR002885
XP_002288531.1	THAPSDRAFT_3842	no	0	none
XP_002288532.1	THAPSDRAFT_21959	no	0	none
XP_002288533.1	THAPSDRAFT_268550	yes	1	IPR002086
XP_002288534.1	THAPSDRAFT_3848	yes	1	IPR002198
XP_002288535.1	THAPSDRAFT_3850	no	0	none
XP_002288536.1	THAPSDRAFT_32840	yes	1	IPR001752
XP_002288537.1	THAPSDRAFT_21966	no	0	none
XP_002288538.1	THAPSDRAFT_3861	yes	1	IPR006970
XP_002288539.1	THAPSDRAFT_268551	yes	1	IPR002125
XP_002288540.1	THAPSDRAFT_3863	no	0	none
XP_002288541.1	THAPSDRAFT_40073	yes	2	IPR006109,IPR011128
XP_002288542.1	THAPSDRAFT_270372	no	0	none
XP_002288543.1	THAPSDRAFT_3866	no	0	none
XP_002288544.1	THAPSDRAFT_3868	no	0	none
XP_002288545.1	THAPSDRAFT_3870	no	0	none
XP_002288546.1	THAPSDRAFT_21971	no	0	none
XP_002288547.1	THAPSDRAFT_21972	no	0	none
XP_002288548.1	THAPSDRAFT_3874	no	0	none
XP_002288549.1	THAPSDRAFT_3876	no	0	none
XP_002288550.1	THAPSDRAFT_3878	yes	1	IPR002130
XP_002288551.1	THAPSDRAFT_261935	no	0	none
XP_002288552.1	THAPSDRAFT_21977	no	0	none
XP_002288553.1	THAPSDRAFT_261937	yes	1	IPR008656
XP_002288554.1	THAPSDRAFT_3890	no	0	none
XP_002288555.1	THAPSDRAFT_354	yes	2	IPR001650,IPR011545
XP_002288556.1	THAPSDRAFT_3893	no	0	none
XP_002288557.1	THAPSDRAFT_3895	no	0	none
XP_002288558.1	THAPSDRAFT_3897	no	0	none
XP_002288559.1	THAPSDRAFT_3898	no	0	none
XP_002288560.1	THAPSDRAFT_3900	yes	1	IPR006114
XP_002288561.1	THAPSDRAFT_3901	no	0	none
XP_002288562.1	THAPSDRAFT_3903	yes	1	IPR002198
XP_002288563.1	THAPSDRAFT_268559	yes	1	IPR010674
XP_002288564.1	THAPSDRAFT_268560	yes	3	IPR001433,IPR003097,IPR008254
XP_002288565.1	THAPSDRAFT_3913	yes	1	IPR007213
XP_002288566.1	THAPSDRAFT_21991	no	0	none
XP_002288567.1	THAPSDRAFT_27656	yes	1	IPR001023
XP_002288568.1	THAPSDRAFT_3919	no	0	none
XP_002288569.1	THAPSDRAFT_16926	yes	1	IPR004854
XP_002288570.1	THAPSDRAFT_21996	yes	1	IPR000719
XP_002288571.1	THAPSDRAFT_3924	no	0	none
XP_002288572.1	THAPSDRAFT_3926	no	0	none
XP_002288573.1	THAPSDRAFT_3928	yes	1	IPR002198
XP_002288574.1	THAPSDRAFT_3929	yes	1	IPR003653
XP_002288575.1	THAPSDRAFT_32745	yes	1	IPR006662
XP_002288576.1	THAPSDRAFT_3932	no	0	none
XP_002288577.1	THAPSDRAFT_3933	no	0	none
XP_002288578.1	THAPSDRAFT_33056	yes	1	IPR001993
XP_002288579.1	THAPSDRAFT_3935	no	0	none
XP_002288580.1	THAPSDRAFT_268564	yes	1	IPR000668
XP_002288581.1	THAPSDRAFT_22003	no	0	none
XP_002288582.1	THAPSDRAFT_32596	no	0	none
XP_002288583.1	THAPSDRAFT_40097	no	0	none
XP_002288584.1	THAPSDRAFT_3944	no	0	none
XP_002288585.1	THAPSDRAFT_3947	no	0	none
XP_002288586.1	THAPSDRAFT_3949	yes	1	IPR006671
XP_002288587.1	THAPSDRAFT_3951	no	0	none
XP_002288588.1	THAPSDRAFT_3953	no	0	none
XP_002288589.1	THAPSDRAFT_3954	no	0	none
XP_002288590.1	THAPSDRAFT_3956	no	0	none
XP_002288591.1	THAPSDRAFT_40107	yes	2	IPR001884,IPR005824
XP_002288592.1	THAPSDRAFT_3963	no	0	none
XP_002288593.1	THAPSDRAFT_22016	yes	2	IPR001140,IPR003439
XP_002288594.1	THAPSDRAFT_22017	no	0	none
XP_002288595.1	THAPSDRAFT_268574	yes	1	IPR003397
XP_002288596.1	THAPSDRAFT_261963	yes	1	IPR005123
XP_002288597.1	THAPSDRAFT_3973	yes	1	IPR003316
XP_002288598.1	THAPSDRAFT_22021	no	0	none
XP_002288599.1	THAPSDRAFT_3979	no	0	none
XP_002288600.1	THAPSDRAFT_3980	no	0	none
XP_002288601.1	THAPSDRAFT_261967	no	0	none
XP_002288602.1	THAPSDRAFT_33182	yes	1	IPR000719
XP_002288603.1	THAPSDRAFT_22023	no	0	none
XP_002288604.1	THAPSDRAFT_3987	no	0	none
XP_002288605.1	THAPSDRAFT_22026	no	0	none
XP_002288606.1	THAPSDRAFT_32704	yes	1	IPR000595
XP_002288607.1	THAPSDRAFT_261973	yes	1	IPR000719
XP_002288608.1	THAPSDRAFT_32805	yes	1	IPR003959
XP_002288609.1	THAPSDRAFT_22030	yes	1	IPR005834
XP_002288610.1	THAPSDRAFT_22032	no	0	none
XP_002288611.1	THAPSDRAFT_3998	yes	1	IPR005123
XP_002288612.1	THAPSDRAFT_22033	no	0	none
XP_002288613.1	THAPSDRAFT_27686	yes	1	IPR005123
XP_002288614.1	THAPSDRAFT_22036	yes	1	IPR001279
XP_002288615.1	THAPSDRAFT_27688	no	0	none
XP_002288616.1	THAPSDRAFT_17919	yes	1	IPR003829
XP_002288617.1	THAPSDRAFT_4006	no	0	none
XP_002288618.1	THAPSDRAFT_261979	yes	1	IPR001611
XP_002288619.1	THAPSDRAFT_33055	no	0	none
XP_002288620.1	THAPSDRAFT_4012	yes	1	IPR002838
XP_002288621.1	THAPSDRAFT_22045	yes	1	IPR007087
XP_002288622.1	THAPSDRAFT_4017	no	0	none
XP_002288623.1	THAPSDRAFT_4019	yes	1	IPR002048
XP_002288624.1	THAPSDRAFT_4020	yes	1	IPR003829
XP_002288625.1	THAPSDRAFT_14875	yes	1	IPR000715
XP_002288626.1	THAPSDRAFT_4027	no	0	none
XP_002288627.1	THAPSDRAFT_25944	yes	1	IPR001128
XP_002288628.1	THAPSDRAFT_22049	no	0	none
XP_002288629.1	THAPSDRAFT_268581	no	0	none
XP_002288630.1	THAPSDRAFT_268582	yes	2	IPR001650,IPR011545
XP_002288631.1	THAPSDRAFT_4033	no	0	none
XP_002288632.1	THAPSDRAFT_32996	yes	1	IPR001269
XP_002288633.1	THAPSDRAFT_4038	no	0	none
XP_002288634.1	THAPSDRAFT_4040	no	0	none
XP_002288635.1	THAPSDRAFT_4042	no	0	none
XP_002288636.1	THAPSDRAFT_4043	no	0	none
XP_002288637.1	THAPSDRAFT_4045	yes	1	IPR001965
XP_002288638.1	THAPSDRAFT_4049	no	0	none
XP_002288639.1	THAPSDRAFT_3069	no	0	none
XP_002288640.1	THAPSDRAFT_3073	no	0	none
XP_002288641.1	THAPSDRAFT_21584	no	0	none
XP_002288642.1	THAPSDRAFT_21585	yes	1	IPR003689
XP_002288643.1	THAPSDRAFT_21586	no	0	none
XP_002288644.1	THAPSDRAFT_21587	no	0	none
XP_002288645.1	THAPSDRAFT_3081	no	0	none
XP_002288646.1	THAPSDRAFT_21589	yes	1	IPR003961
XP_002288647.1	THAPSDRAFT_3085	no	0	none
XP_002288648.1	THAPSDRAFT_261629	no	0	none
XP_002288649.1	THAPSDRAFT_3092	yes	1	IPR001838
XP_002288650.1	THAPSDRAFT_3093	no	0	none
XP_002288651.1	THAPSDRAFT_261631	no	0	none
XP_002288652.1	THAPSDRAFT_39767	yes	1	IPR000895
XP_002288653.1	THAPSDRAFT_21598	yes	1	IPR000182
XP_002288654.1	THAPSDRAFT_3099	no	0	none
XP_002288655.1	THAPSDRAFT_3101	no	0	none
XP_002288656.1	THAPSDRAFT_3105	no	0	none
XP_002288657.1	THAPSDRAFT_3107	no	0	none
XP_002288658.1	THAPSDRAFT_3110	no	0	none
XP_002288659.1	THAPSDRAFT_261637	no	0	none
XP_002288660.1	THAPSDRAFT_270374	no	0	none
XP_002288661.1	THAPSDRAFT_3116	no	0	none
XP_002288662.1	THAPSDRAFT_3118	no	0	none
XP_002288663.1	THAPSDRAFT_21605	no	0	none
XP_002288664.1	THAPSDRAFT_3124	yes	1	IPR008418
XP_002288665.1	THAPSDRAFT_3126	yes	1	IPR002016
XP_002288666.1	THAPSDRAFT_21606	yes	1	IPR002016
XP_002288667.1	THAPSDRAFT_3132	yes	1	IPR002110
XP_002288668.1	THAPSDRAFT_3135	no	0	none
XP_002288669.1	THAPSDRAFT_3137	no	0	none
XP_002288670.1	THAPSDRAFT_3139	no	0	none
XP_002288671.1	THAPSDRAFT_3142	yes	1	IPR001993
XP_002288672.1	THAPSDRAFT_268410	yes	1	IPR000719
XP_002288673.1	THAPSDRAFT_32668	yes	1	IPR003691
XP_002288674.1	THAPSDRAFT_3148	yes	1	IPR000668
XP_002288675.1	THAPSDRAFT_33088	yes	1	IPR006169
XP_002288676.1	THAPSDRAFT_21619	yes	3	IPR001327,IPR002048,IPR004099
XP_002288677.1	THAPSDRAFT_3154	yes	1	IPR000232
XP_002288678.1	THAPSDRAFT_21620	no	0	none
XP_002288679.1	THAPSDRAFT_3157	no	0	none
XP_002288680.1	THAPSDRAFT_3159	no	0	none
XP_002288681.1	THAPSDRAFT_21622	yes	4	IPR000644,IPR001667,IPR002048,IPR003156
XP_002288682.1	THAPSDRAFT_21623	no	0	none
XP_002288683.1	THAPSDRAFT_3167	no	0	none
XP_002288684.1	THAPSDRAFT_261657	yes	2	IPR005834,IPR008250
XP_002288685.1	THAPSDRAFT_26146	yes	1	IPR000308
XP_002288686.1	THAPSDRAFT_261660	yes	1	IPR001223
XP_002288687.1	THAPSDRAFT_32983	yes	2	IPR005475,IPR005476
XP_002288688.1	THAPSDRAFT_16241	yes	1	IPR001017
XP_002288689.1	THAPSDRAFT_21629	no	0	none
XP_002288690.1	THAPSDRAFT_3176	no	0	none
XP_002288691.1	THAPSDRAFT_268417	no	0	none
XP_002288692.1	THAPSDRAFT_3179	yes	1	IPR001680
XP_002288693.1	THAPSDRAFT_33270	yes	1	IPR007125
XP_002288694.1	THAPSDRAFT_3183	yes	1	IPR007125
XP_002288695.1	THAPSDRAFT_21633	no	0	none
XP_002288696.1	THAPSDRAFT_33044	yes	2	IPR004364,IPR004365
XP_002288697.1	THAPSDRAFT_3189	yes	1	IPR000738
XP_002288698.1	THAPSDRAFT_21636	no	0	none
XP_002288699.1	THAPSDRAFT_39799	yes	1	IPR003437
XP_002288700.1	THAPSDRAFT_3196	no	0	none
XP_002288701.1	THAPSDRAFT_3197	yes	1	IPR000232
XP_002288702.1	THAPSDRAFT_261684	yes	1	IPR002300
XP_002288703.1	THAPSDRAFT_27365	yes	1	IPR004843
XP_002288704.1	THAPSDRAFT_3202	yes	1	IPR008532
XP_002288705.1	THAPSDRAFT_3204	no	0	none
XP_002288706.1	THAPSDRAFT_261689	yes	1	IPR001232
XP_002288707.1	THAPSDRAFT_3206	no	0	none
XP_002288708.1	THAPSDRAFT_15464	yes	1	IPR000717
XP_002288709.1	THAPSDRAFT_261694	yes	1	IPR004843
XP_002288710.1	THAPSDRAFT_21646	no	0	none
XP_002288711.1	THAPSDRAFT_268435	yes	1	IPR000863
XP_002288712.1	THAPSDRAFT_33153	yes	2	IPR001680,IPR002130
XP_002288713.1	THAPSDRAFT_21651	no	0	none
XP_002288714.1	THAPSDRAFT_3223	no	0	none
XP_002288715.1	THAPSDRAFT_21652	no	0	none
XP_002288716.1	THAPSDRAFT_32894	yes	1	IPR005822
XP_002288717.1	THAPSDRAFT_3230	no	0	none
XP_002288718.1	THAPSDRAFT_21655	no	0	none
XP_002288719.1	THAPSDRAFT_17140	yes	1	IPR001045
XP_002288720.1	THAPSDRAFT_3233	no	0	none
XP_002288721.1	THAPSDRAFT_270221	no	0	none
XP_002288722.1	THAPSDRAFT_3238	yes	1	IPR002110
XP_002288723.1	THAPSDRAFT_21659	no	0	none
XP_002288724.1	THAPSDRAFT_3243	no	0	none
XP_002288725.1	THAPSDRAFT_3244	no	0	none
XP_002288726.1	THAPSDRAFT_261711	no	0	none
XP_002288727.1	THAPSDRAFT_32706	no	0	none
XP_002288728.1	THAPSDRAFT_21664	no	0	none
XP_002288729.1	THAPSDRAFT_33018	yes	1	IPR001344
XP_002288730.1	THAPSDRAFT_3256	no	0	none
XP_002288731.1	THAPSDRAFT_3257	no	0	none
XP_002288732.1	THAPSDRAFT_21668	no	0	none
XP_002288733.1	THAPSDRAFT_3260	no	0	none
XP_002288734.1	THAPSDRAFT_21669	no	0	none
XP_002288735.1	THAPSDRAFT_3265	no	0	none
XP_002288736.1	THAPSDRAFT_3267	no	0	none
XP_002288737.1	THAPSDRAFT_21670	yes	2	IPR000031,IPR003135
XP_002288738.1	THAPSDRAFT_3270	no	0	none
XP_002288739.1	THAPSDRAFT_32776	no	0	none
XP_002288740.1	THAPSDRAFT_261719	no	0	none
XP_002288741.1	THAPSDRAFT_3275	yes	1	IPR006571
XP_002288742.1	THAPSDRAFT_21673	yes	1	IPR004088
XP_002288743.1	THAPSDRAFT_3279	no	0	none
XP_002288744.1	THAPSDRAFT_32744	yes	1	IPR001900
XP_002288745.1	THAPSDRAFT_3284	no	0	none
XP_002288746.1	THAPSDRAFT_268446	yes	2	IPR003959,IPR004176
XP_002288747.1	THAPSDRAFT_3287	no	0	none
XP_002288748.1	THAPSDRAFT_21680	yes	1	IPR001810
XP_002288749.1	THAPSDRAFT_261726	yes	1	IPR004843
XP_002288750.1	THAPSDRAFT_21681	no	0	none
XP_002288751.1	THAPSDRAFT_33219	no	0	none
XP_002288752.1	THAPSDRAFT_21682	yes	3	IPR001650,IPR003034,IPR011545
XP_002288753.1	THAPSDRAFT_261727	yes	1	IPR000001
XP_002288754.1	THAPSDRAFT_268447	yes	1	IPR006662
XP_002288755.1	THAPSDRAFT_3299	no	0	none
XP_002288756.1	THAPSDRAFT_21685	yes	1	IPR000192
XP_002288757.1	THAPSDRAFT_3302	no	0	none
XP_002288758.1	THAPSDRAFT_21686	yes	1	IPR002777
XP_002288759.1	THAPSDRAFT_16828	yes	1	IPR000719
XP_002288760.1	THAPSDRAFT_3308	no	0	none
XP_002288761.1	THAPSDRAFT_3310	no	0	none
XP_002288762.1	THAPSDRAFT_39841	yes	1	IPR003348
XP_002288763.1	THAPSDRAFT_3313	yes	1	IPR002016
XP_002288764.1	THAPSDRAFT_3314	no	0	none
