Entry	Gene Names	InterPro	Pfam	Protein names
B8CCV4	THAPSDRAFT_9992	IPR005819;IPR005818;IPR036388;IPR036390;	PF00538;	H15 domain-containing protein
B8CCV5	THAPSDRAFT_9993	IPR005819;IPR005818;IPR036388;IPR036390;	PF00538;	Histone H1
B8CCW1	THAPSDRAFT_264258	IPR003593;IPR050168;IPR003959;IPR003960;IPR027417;IPR015415;	PF00004;PF09336;	Peroxisomal ATPase PEX6 (Peroxin-6)
B8CCW3	THAPSDRAFT_264260	IPR009091;	PF13540;	non-specific serine/threonine protein kinase (EC 2.7.11.1)
B8CCW8	THAPSDRAFT_10006	IPR038765;IPR001394;IPR050185;IPR028889;IPR018200;	PF00443;	ubiquitinyl hydrolase 1 (EC 3.4.19.12)
B8CCX1	THAPSDRAFT_24946	IPR014756;IPR016449;IPR013518;		Potassium channel domain-containing protein
B8CCY2	THAPSDRAFT_37495	IPR000537;IPR026046;	PF01040;	1,4-dihydroxy-2-naphthoate octaprenyltransferase
B8CCY5	THAPSDRAFT_24947	IPR001594;IPR039859;	PF01529;	Palmitoyltransferase (EC 2.3.1.225)
B8CCY7	THAPSDRAFT_10013	IPR039361;IPR036915;IPR006671;	PF00134;	Cyclin N-terminal domain-containing protein
B8CCZ8	THAPSDRAFT_10025	IPR037363;IPR015943;IPR036322;IPR001680;	PF00400;	Sec13-related protein
B8CD01	THAPSDRAFT_24956	IPR003347;IPR039994;	PF08007;	Bifunctional lysine-specific demethylase and histidyl-hydroxylase (EC 1.14.11.-)
B8CD03	THAPSDRAFT_37724	IPR001365;IPR006330;IPR032466;	PF00962;	Adenosine deaminase (EC 3.5.4.4)
B8CD04	THAPSDRAFT_37662	IPR006068;IPR004014;IPR023299;IPR018303;IPR023298;IPR008250;IPR059000;IPR036412;IPR023214;IPR001757;IPR044492;	PF13246;PF00689;PF00690;PF00122;	Cation transporting ATPase (EC 3.6.3.8)
B8CD19	THAPSDRAFT_10047	IPR026050;IPR003378;	PF02434;	N-acetylgalactosaminide beta-1,3-galactosyltransferase (EC 2.4.1.122)
B8CD34	THAPSDRAFT_10063	IPR023635;IPR036821;	PF01327;	Peptide deformylase (EC 3.5.1.88)
B8CD36	FPS1 THAPSDRAFT_30105	IPR039702;IPR008949;IPR000092;IPR033749;	PF00348;	Probable farnesyl pyrophosphate synthetase (EC 2.5.1.10)
B8CD37	THAPSDRAFT_37739	IPR036291;IPR020904;IPR002347;	PF00106;	NADP-dependent 3-hydroxy acid dehydrogenase YdfG (EC 1.1.1.298) (EC 1.1.1.381) (L-allo-threonine dehydrogenase) (Malonic semialdehyde reductase)
B8CD46	THAPSDRAFT_37615	IPR044201;IPR016040;IPR036291;	PF13460;	Divinyl chlorophyllide a 8-vinyl-reductase, chloroplastic (EC 1.3.1.75)
B8CD57	THAPSDRAFT_12645	IPR000048;IPR036961;IPR001609;IPR027417;	PF00612;PF00063;	Myosin motor domain-containing protein
B8CD58	THAPSDRAFT_37637	IPR003593;IPR013525;IPR003439;IPR043926;IPR034003;IPR027417;	PF01061;PF19055;PF00005;	ABC transporter domain-containing protein
B8CD60	THAPSDRAFT_269819	IPR038013;IPR031814;IPR001296;	PF15924;PF00534;	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131)
B8CD61	THAPSDRAFT_264282	IPR027640;IPR001752;IPR036961;IPR027417;	PF00225;	Kinesin motor protein-like protein
B8CD62	THAPSDRAFT_10091	IPR007599;	PF04511;	Derlin
B8CD66	THAPSDRAFT_10095	IPR001247;IPR036345;IPR050590;IPR027408;IPR020568;	PF01138;	Exoribonuclease phosphorolytic domain-containing protein
B8CD73	THAPSDRAFT_10102	IPR003526;IPR020555;IPR036571;	PF02542;	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)
B8CD83	THAPSDRAFT_37592	IPR050205;IPR011009;IPR000719;	PF00069;	Protein kinase domain-containing protein
B8CD86	THAPSDRAFT_269820	IPR005282;IPR006603;	PF04193;	Cystinosin
B8CD96	THAPSDRAFT_10129	IPR003732;IPR023509;	PF02580;	D-aminoacyl-tRNA deacylase (EC 3.1.1.96)
B8CD98	THAPSDRAFT_269821	IPR011009;IPR000719;IPR017441;IPR008271;IPR050494;	PF00069;	Protein kinase domain-containing protein
B8CDA1	THAPSDRAFT_37748	IPR003593;IPR050168;IPR041569;IPR003959;IPR003960;IPR027417;	PF00004;PF17862;	Nuclear vcp-like-like protein
B8CDA4	THAPSDRAFT_10136	IPR000432;IPR007696;IPR036187;IPR045076;IPR005747;IPR027417;IPR002625;IPR036063;	PF00488;PF01713;	Smr domain-containing protein
B8CDA5	THAPSDRAFT_264325	IPR001128;IPR017972;IPR002403;IPR036396;IPR050121;	PF00067;	Cytochrome P450
B8CDB3	THAPSDRAFT_10234	IPR010253;IPR036188;IPR011777;IPR011774;IPR050407;		Geranylgeranyl diphosphate reductase, chloroplastic (EC 1.3.1.83) (Geranylgeranyl reductase)
B8CDC7	THAPSDRAFT_37710	IPR015655;IPR000222;IPR036457;IPR001932;	PF00481;	protein-serine/threonine phosphatase (EC 3.1.3.16)
B8CDD2	THAPSDRAFT_10142	IPR007305;IPR011691;	PF04178;	Vesicle transport protein
B8CDD7	THAPSDRAFT_264297	IPR000073;IPR029058;	PF00561;	AB hydrolase-1 domain-containing protein
B8CDF1	THAPSDRAFT_264305	IPR029020;IPR004937;	PF03253;	Urea transporter
B8CDF5	THAPSDRAFT_42515	IPR011545;IPR014001;IPR001650;IPR027417;IPR000629;IPR014014;	PF00270;PF00271;	RNA helicase (EC 3.6.4.13)
B8CDF6	THAPSDRAFT_37571	IPR036784;IPR018955;IPR039028;IPR036890;IPR003594;IPR005467;IPR004358;	PF10436;PF02518;	Protein-serine/threonine kinase (EC 2.7.11.-)
B8CDG3	THAPSDRAFT_10173	IPR001471;IPR005172;IPR016177;IPR033467;	PF03638;	AP2/ERF domain-containing protein
B8CDH2	THAPSDRAFT_264314	IPR009695;IPR007235;IPR050519;	PF04101;PF06925;	monogalactosyldiacylglycerol synthase (EC 2.4.1.46)
B8CDH4	THAPSDRAFT_264316	IPR013785;IPR050074;IPR005719;IPR005720;IPR001295;	PF01180;	Dihydroorotate dehydrogenase (quinone), mitochondrial (DHOdehase) (EC 1.3.5.2)
B8CDI3	THAPSDRAFT_25023	IPR007225;IPR046361;IPR042044;	PF04091;	Exocyst complex subunit EXOC6/Sec15 C-terminal domain-containing protein
B8CDI6	THAPSDRAFT_25024	IPR036241;IPR012989;IPR029071;IPR001012;	PF08059;PF00789;	SEP domain-containing protein
B8CDK1	THAPSDRAFT_25034	IPR013149;IPR013154;IPR020843;IPR011032;IPR036291;IPR002364;	PF08240;PF00107;	Enoyl reductase (ER) domain-containing protein
B8CDK2	THAPSDRAFT_264321	IPR015655;IPR036457;IPR001932;	PF00481;	protein-serine/threonine phosphatase (EC 3.1.3.16)
B8CDK8	THAPSDRAFT_10219	IPR022796;IPR007072;IPR029063;	PF00504;PF04989;	Rhamnosyl O-methyltransferase
B8CDM0	THAPSDRAFT_37621	IPR011249;IPR011765;IPR050626;IPR007863;IPR032632;	PF00675;PF05193;PF16187;	Insulysin
B8CDM4	THAPSDRAFT_42543	IPR027450;IPR037151;IPR032852;IPR005123;	PF13532;	Fe2OG dioxygenase domain-containing protein
B8CDN4	THAPSDRAFT_10266	IPR042226;IPR005141;IPR005142;IPR005140;IPR038069;IPR058547;IPR029064;IPR004405;	PF03464;PF03465;PF26356;	Protein pelota homolog
B8CDP4	THAPSDRAFT_37574	IPR046357;IPR051370;IPR000297;	PF00639;	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)
B8CDR0	THAPSDRAFT_10292	IPR004481;IPR004837;IPR044880;	PF01699;	Sodium/calcium exchanger membrane region domain-containing protein
B8CDR2	THAPSDRAFT_25077	IPR045119;IPR012919;	PF07738;	SUN domain-containing protein
B8CDR3	THAPSDRAFT_10295	IPR004481;IPR044880;		Uncharacterized protein
B8CDR4	THAPSDRAFT_12570	IPR011709;IPR011545;IPR007502;IPR014001;IPR001650;IPR027417;IPR059023;	PF00270;PF21010;PF00271;PF07717;PF26026;	RNA helicase (EC 3.6.4.13)
B8CDR7	THAPSDRAFT_264341	IPR045017;IPR036291;IPR002347;	PF13561;	2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing] (EC 1.3.1.124)
B8CDR8	THAPSDRAFT_37596	IPR045865;IPR002912;IPR012675;IPR003607;IPR006674;IPR043519;IPR004811;IPR045600;IPR007685;IPR004095;IPR012676;IPR033655;	PF13291;PF13328;PF19296;PF04607;PF02824;	Putative GTP diphosphokinase RSH1, chloroplastic (EC 2.7.6.5) (RelA/SpoT homolog 1) (ppGpp synthetase RSH1)
B8CDS3	THAPSDRAFT_264344	IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;	PF00233;	3',5'-cyclic nucleotide phosphodiesterase (EC 3.1.4.17)
B8CDS5	HSF45 THAPSDRAFT_264346	IPR000232;IPR036388;IPR036390;	PF00447;	HSF-type DNA-binding domain-containing protein
B8CDS6	THAPSDRAFT_25084	IPR044669;	PF25539;	Bestrophin homolog
B8CDT8	THAPSDRAFT_37976	IPR029000;IPR024936;IPR020892;IPR002130;	PF00160;	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)
B8CDU1	MYO5 THAPSDRAFT_37960	IPR000048;IPR036961;IPR001609;IPR027417;	PF00612;PF00063;	Myosin heavy chain-like protein
B8CDU6	THAPSDRAFT_10545	IPR022764;IPR035952;	PF01694;	Peptidase S54 rhomboid domain-containing protein
B8CDU9	THAPSDRAFT_10548	IPR005636;	PF03942;	tRNA-uridine aminocarboxypropyltransferase (EC 2.5.1.25)
B8CDV4	THAPSDRAFT_10554	IPR002885;IPR011990;	PF01535;PF13812;	Pentacotripeptide-repeat region of PRORP domain-containing protein
B8CDV9	THAPSDRAFT_10559	IPR013785;IPR011858;IPR006062;IPR044524;IPR011060;	PF00977;	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamideisomerase (EC 5.3.1.16)
B8CDW7	THAPSDRAFT_10566	IPR051359;IPR004837;IPR044880;	PF01699;	Sodium/calcium exchanger membrane region domain-containing protein
B8CDW8	GFA_2 THAPSDRAFT_10567	IPR017932;IPR005855;IPR047084;IPR035466;IPR035490;IPR029055;IPR001347;IPR046348;	PF13522;PF01380;	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)
B8CDW9	THAPSDRAFT_42620	IPR028608;IPR015943;IPR020472;IPR036322;IPR001680;	PF00400;	Probable cytosolic iron-sulfur protein assembly protein CIAO1 homolog
B8CDX2	THAPSDRAFT_42621	IPR006195;IPR045864;IPR004154;IPR036621;IPR015807;IPR041715;IPR004516;IPR033656;	PF03129;PF13393;	histidine--tRNA ligase (EC 6.1.1.21)
B8CDX6	THAPSDRAFT_42624	IPR007704;	PF05007;	GPI mannosyltransferase 1 (EC 2.4.1.-) (GPI mannosyltransferase I)
B8CDY0	THAPSDRAFT_264420	IPR020103;IPR001406;IPR020097;IPR020095;IPR020094;	PF01416;	tRNA pseudouridine synthase (EC 5.4.99.12)
B8CDY4	THAPSDRAFT_37862	IPR011009;IPR000719;IPR017441;IPR008271;IPR050494;	PF00069;	Protein kinase domain-containing protein
B8CDY7	THAPSDRAFT_25223	IPR001487;IPR036427;IPR014001;IPR001650;IPR027417;IPR038718;IPR049730;IPR000330;IPR050628;	PF00439;PF00271;PF00176;	Bromo domain-containing protein
B8CDZ0	THAPSDRAFT_25224	IPR040182;IPR018731;IPR036570;	PF10033;	Autophagy-related protein 13 N-terminal domain-containing protein
B8CDZ1	THAPSDRAFT_25225	IPR014764;IPR042460;IPR005176;	PF03556;	Defective in cullin neddylation protein
B8CDZ3	THAPSDRAFT_17582	IPR036412;IPR006357;IPR023214;IPR006355;	PF13344;PF13242;	Haloacid dehalogenase-like hydrolase domain-containing protein 2 (Phospholysine phosphohistidine inorganic pyrophosphate phosphatase)
B8CDZ9	THAPSDRAFT_15950	IPR007369;IPR006639;	PF04258;	Signal peptide peptidase
B8CE01	glsF THAPSDRAFT_269900	IPR013785;IPR050711;IPR017932;IPR002489;IPR036485;IPR006982;IPR002932;IPR029055;	PF00310;PF04898;PF01645;PF01493;	glutamate synthase (ferredoxin) (EC 1.4.7.1)
B8CE06	GGPS3 THAPSDRAFT_264430	IPR008949;IPR000092;IPR033749;	PF00348;	Geranylgeranyl diphosphate synthetase (EC 2.5.1.1)
B8CE08	THAPSDRAFT_264431	IPR001104;IPR039357;	PF02544;	3-oxo-5-alpha-steroid 4-dehydrogenase 1-like protein (EC 1.3.1.-)
B8CE12	THAPSDRAFT_269901	IPR030374;IPR029063;IPR001045;IPR035246;IPR037163;	PF17284;PF01564;	thermospermine synthase (EC 2.5.1.79)
B8CE14	THAPSDRAFT_10613	IPR000232;IPR036388;IPR036390;	PF00447;	HSF-type DNA-binding domain-containing protein
B8CE16	THAPSDRAFT_10615	IPR002562;IPR051132;IPR002110;IPR036770;IPR012337;IPR036397;	PF12796;PF01612;	3'-5' exonuclease domain-containing protein
B8CE22	THAPSDRAFT_25242	IPR002673;	PF01779;	60S ribosomal protein L29
B8CE33	THAPSDRAFT_25248	IPR011989;IPR048739;IPR007594;	PF21040;PF21038;PF04506;	Man(5)GlcNAc(2)-PP-dolichol translocation protein RFT1
B8CE34	THAPSDRAFT_19937	IPR038089;IPR008831;	PF05669;	Mediator of RNA polymerase II transcription subunit 31
B8CE35	THAPSDRAFT_264440	IPR036188;IPR023753;IPR016156;IPR001100;IPR004099;IPR012999;	PF07992;PF02852;	Mercuric reductase (EC 1.16.1.1)
B8CE42	THAPSDRAFT_269908	IPR013785;IPR011761;IPR005481;IPR001882;IPR011764;IPR005482;IPR000089;IPR003379;IPR005479;IPR055268;IPR016185;IPR000891;IPR005930;IPR011054;IPR011053;	PF02785;PF00289;PF00364;PF02786;PF00682;PF02436;	Pyruvate carboxylase (EC 6.4.1.1)
B8CE46	THAPSDRAFT_37867	IPR007130;	PF03982;	Acyltransferase (EC 2.3.1.-)
B8CE48	THAPSDRAFT_37962	IPR034105;IPR010920;IPR047575;IPR040002;IPR001163;	PF01423;	Sm domain-containing protein
B8CE50	THAPSDRAFT_26436	IPR034005;IPR024079;IPR024077;IPR045666;IPR045090;IPR001567;	PF01432;PF19310;	oligopeptidase A (EC 3.4.24.70)
B8CE53	THAPSDRAFT_789	IPR050205;IPR011992;IPR018247;IPR002048;IPR011009;IPR000719;IPR017441;IPR008271;	PF13202;PF00069;	Uncharacterized protein
B8CE60	THAPSDRAFT_25263	IPR016035;IPR002641;	PF01734;	PNPLA domain-containing protein
B8CE66	THAPSDRAFT_264451	IPR000555;IPR050242;IPR037518;	PF01398;	COP9 signalosome complex subunit 5
B8CE74	THAPSDRAFT_10673	IPR010997;IPR002121;IPR044876;IPR001510;IPR036957;	PF00570;	HRDC domain-containing protein
B8CE75	RPN3 THAPSDRAFT_37861	IPR050756;IPR000717;IPR013586;IPR057985;IPR036390;	PF01399;PF08375;PF25573;	26S proteasome regulatory subunit 3
B8CE77	THAPSDRAFT_30301	IPR029062;IPR040707;IPR055181;IPR010073;IPR041609;IPR010918;IPR036676;IPR036921;IPR036604;	PF02769;PF18072;PF18076;PF22689;PF13507;	Phosphoribosylformylglycinamidine synthase (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (Formylglycinamide ribotide amidotransferase)
B8CE78	THAPSDRAFT_25276	IPR002110;IPR036770;IPR052420;IPR005821;	PF12796;PF00520;	Ion transport domain-containing protein
B8CE82	THAPSDRAFT_10683	IPR017132;IPR044641;IPR010920;IPR047575;IPR001163;	PF01423;	Sm domain-containing protein
B8CE86	ARF1 THAPSDRAFT_37988	IPR027417;IPR005225;IPR024156;IPR006689;	PF00025;	Adp-ribosylation factor 1
B8CE91	THAPSDRAFT_10693	IPR039361;IPR036915;IPR004367;IPR006671;	PF02984;PF00134;	Cyclin C-terminal domain-containing protein
B8CE94	THAPSDRAFT_25284	IPR012476;IPR038506;IPR041367;IPR000571;IPR036855;	PF07817;PF18044;	mRNA export factor GLE1 (Nucleoporin GLE1)
B8CE95	THAPSDRAFT_38011	IPR045216;IPR011009;IPR000719;IPR008271;	PF00069;	non-specific serine/threonine protein kinase (EC 2.7.11.1)
B8CE99	THAPSDRAFT_25288	IPR010326;IPR042532;	PF06046;	Uncharacterized protein
B8CEA0	THAPSDRAFT_37942	IPR048720;IPR015943;IPR036322;	PF21032;	Uncharacterized protein
B8CEA1	THAPSDRAFT_30310	IPR020471;IPR018170;IPR036812;IPR023210;	PF00248;	NADP-dependent oxidoreductase domain-containing protein
B8CEA3	THAPSDRAFT_37920	IPR029000;IPR024936;IPR020892;IPR002130;	PF00160;	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)
B8CEA6	THAPSDRAFT_795	IPR050771;IPR001017;IPR029061;	PF00676;	2-oxoisovalerate dehydrogenase subunit alpha (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain)
B8CEA7	THAPSDRAFT_37961	IPR004217;IPR035427;	PF02953;	Mitochondrial import inner membrane translocase subunit
B8CEB4	THAPSDRAFT_15472	IPR015655;IPR000222;IPR036457;IPR001932;	PF00481;	protein-serine/threonine phosphatase (EC 3.1.3.16)
B8CEB5	THAPSDRAFT_25297	IPR026847;IPR026854;	PF12624;	Chorein N-terminal domain-containing protein
B8CEC4	THAPSDRAFT_25299	IPR008333;IPR001199;IPR036400;IPR018506;IPR017927;IPR001709;IPR039261;IPR014756;IPR005066;IPR008335;IPR012137;IPR001433;IPR000572;IPR036374;IPR022407;IPR017938;	PF00173;PF00970;PF03404;PF00175;PF00174;	Nitrate reductase
B8CEC8	THAPSDRAFT_37928	IPR016181;IPR002717;IPR050603;IPR036388;IPR040706;	PF01853;PF17772;	Histone acetyltransferase (EC 2.3.1.48)
B8CEC9	THAPSDRAFT_10731	IPR050318;IPR046447;IPR048517;IPR001950;IPR036877;	PF21023;PF01253;	SUI1 domain-containing protein
B8CED7	THAPSDRAFT_10740	IPR026170;IPR029063;		Methyltransferase domain-containing protein
B8CEF0	THAPSDRAFT_10752	IPR011257;IPR003265;IPR045138;	PF00730;	HhH-GPD domain-containing protein
B8CEF1	THAPSDRAFT_10753	IPR045216;IPR011009;IPR000719;		non-specific serine/threonine protein kinase (EC 2.7.11.1)
B8CEF6	THAPSDRAFT_11405	IPR011545;IPR014001;IPR027417;	PF00270;	Helicase ATP-binding domain-containing protein
B8CEG2	CSN1 THAPSDRAFT_11411	IPR016142;IPR016143;IPR002020;IPR019810;IPR010109;IPR036969;	PF00285;	Citrate synthase
B8CEG5	THAPSDRAFT_264663	IPR005746;IPR036249;IPR017937;IPR013766;	PF00085;	Thioredoxin domain-containing protein
B8CEG9	GR THAPSDRAFT_26457	IPR036188;IPR023753;IPR016156;IPR046952;IPR001100;IPR004099;IPR012999;	PF07992;PF02852;	Glutathione reductase, gro-2
B8CEI5	THAPSDRAFT_11433	IPR011009;IPR000719;IPR052239;IPR008271;	PF00069;	non-specific serine/threonine protein kinase (EC 2.7.11.1)
B8CEI6	THAPSDRAFT_38482	IPR004217;IPR035427;	PF02953;	Mitochondrial import inner membrane translocase subunit
B8CEI8	THAPSDRAFT_38475	IPR048333;IPR007502;IPR027417;	PF21010;PF04408;	RNA helicase (EC 3.6.4.13)
B8CEJ7	THAPSDRAFT_264671	IPR050205;IPR011009;IPR000719;IPR017441;IPR008271;	PF00069;	Protein kinase domain-containing protein
B8CEJ9	THAPSDRAFT_14322	IPR050205;IPR011009;IPR000719;IPR017441;IPR008271;	PF00069;	Protein kinase domain-containing protein
B8CEK0	THAPSDRAFT_25582	IPR012677;IPR035979;IPR000504;	PF00076;	RRM domain-containing protein
B8CEK2	THAPSDRAFT_30533	IPR056767;IPR019447;IPR037321;IPR038254;IPR041995;IPR014722;IPR036236;IPR013087;	PF25095;PF25088;PF10357;	C2H2-type domain-containing protein
B8CEK5	THAPSDRAFT_25587	IPR056437;IPR044288;IPR013087;IPR001841;IPR013083;	PF23230;	RING-type domain-containing protein
B8CEK6	THAPSDRAFT_19289	IPR003958;IPR009072;IPR027113;IPR003956;	PF00808;	Transcription factor CBF/NF-Y/archaeal histone domain-containing protein
B8CEL8	THAPSDRAFT_38490	IPR007130;	PF03982;	diacylglycerol O-acyltransferase (EC 2.3.1.20)
B8CEM2	THAPSDRAFT_264678	IPR003097;IPR017927;IPR001094;IPR008254;IPR001709;IPR029039;IPR039261;IPR023173;IPR001433;IPR017938;	PF00667;PF00258;PF00175;	NADPH--hemoprotein reductase (EC 1.6.2.4)
B8CEM7	THAPSDRAFT_11474	IPR051222;IPR002885;IPR011990;	PF13812;	Pentacotripeptide-repeat region of PRORP domain-containing protein
B8CEN3	THAPSDRAFT_11480	IPR011009;IPR000719;IPR008266;	PF00069;	non-specific serine/threonine protein kinase (EC 2.7.11.1)
B8CEN4	trpAB THAPSDRAFT_25605	IPR013785;IPR011060;IPR006653;IPR006654;IPR023026;IPR002028;IPR001926;IPR036052;	PF00291;PF00290;	Tryptophan synthase (EC 4.2.1.20)
B8CEN6	THAPSDRAFT_270023	IPR007052;IPR008978;IPR037898;IPR025934;	PF04969;PF14050;	Nuclear migration protein nudC (Nuclear distribution protein C homolog)
B8CEP7	THAPSDRAFT_16947	IPR011545;IPR014001;IPR001650;IPR027417;IPR000629;	PF00270;PF00271;	ATP-dependent RNA helicase (EC 3.6.4.13)
B8CEP8	THAPSDRAFT_25613	IPR016024;IPR050517;IPR011009;IPR000403;IPR036940;IPR003151;IPR014009;IPR011990;IPR046807;IPR046805;	PF02259;PF00454;PF20175;PF20206;	Non-specific serine/threonine protein kinase
B8CEP9	THAPSDRAFT_270027	IPR015655;IPR000222;IPR036457;IPR001932;	PF00481;	PPM-type phosphatase domain-containing protein
B8CEQ0	THAPSDRAFT_11498	IPR000812;IPR013137;	PF08271;	General transcription factor TFIIB
B8CEQ3	FCP3 THAPSDRAFT_11501	IPR001344;IPR022796;	PF00504;	Pt17531-like protein
B8CEQ7	THAPSDRAFT_11506	IPR000158;IPR020805;IPR045061;IPR024757;IPR008280;IPR018316;IPR036525;IPR017975;IPR003008;	PF12327;PF00091;	Plastid division protein FtsZ
B8CEQ8	lipB_1 THAPSDRAFT_264690	IPR045864;IPR004143;IPR013763;IPR036915;IPR004367;IPR006671;IPR000544;IPR020605;	PF02984;PF00134;PF21948;	lipoyl(octanoyl) transferase (EC 2.3.1.181)
B8CEQ9	THAPSDRAFT_11508	IPR002777;IPR009053;	PF01920;	Prefoldin subunit 6
B8CES6	THAPSDRAFT_270030	IPR044611;IPR000569;IPR035983;	PF00632;	HECT-type E3 ubiquitin transferase (EC 2.3.2.26)
B8CET0	THAPSDRAFT_42946	IPR004821;IPR044608;IPR014729;	PF01467;	ethanolamine-phosphate cytidylyltransferase (EC 2.7.7.14) (CTP:phosphoethanolamine cytidylyltransferase)
B8CET5	RS3A THAPSDRAFT_26046	IPR001593;IPR018281;IPR027500;	PF01015;	Small ribosomal subunit protein eS1
B8CET8	THAPSDRAFT_25633	IPR037679;IPR026000;IPR011990;	PF12862;	Anaphase-promoting complex subunit 5 (Cyclosome subunit 5)
B8CEU1	THAPSDRAFT_25634	IPR020103;IPR001406;IPR020097;IPR020095;IPR020094;	PF01416;	tRNA pseudouridine synthase (EC 5.4.99.12)
B8CEU5	THAPSDRAFT_11542	IPR020103;IPR001406;IPR020097;IPR020095;IPR020094;	PF01416;	tRNA pseudouridine synthase (EC 5.4.99.12)
B8CEU9	THAPSDRAFT_270038	IPR050452;IPR011600;	PF00656;	Peptidase C14 caspase domain-containing protein
B8CEV2	THAPSDRAFT_38555	IPR027640;IPR001752;IPR036961;IPR027417;	PF00225;	Kinesin motor protein-like protein
B8CEV3	THAPSDRAFT_25639	IPR011009;	PF01633;	ethanolamine kinase (EC 2.7.1.82)
B8CEV4	THAPSDRAFT_25640	IPR023298;IPR039720;		Cation-transporting P-type ATPase C-terminal domain-containing protein
B8CEV5	Lhcf5 THAPSDRAFT_42962	IPR001344;IPR022796;	PF00504;	Fucoxanthin chlorophyll a/c protein 5
B8CEV8	Lhcf2 THAPSDRAFT_260392	IPR001344;IPR022796;	PF00504;	Fucoxanthin chlorophyll a/c protein 2
B8CEW1	THAPSDRAFT_42971	IPR001412;IPR002300;IPR033705;IPR013155;IPR014729;IPR010978;IPR009080;IPR037118;IPR019499;IPR009008;IPR002303;	PF08264;PF00133;PF10458;	valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase)
B8CEW2	THAPSDRAFT_11559	IPR033335;		Microtubule-associated protein Jupiter
B8CEW3	THAPSDRAFT_264717	IPR050178;IPR016708;IPR055438;IPR007036;	PF24827;PF04952;	Aspartoacylase
B8CEY0	THAPSDRAFT_11576	IPR024654;IPR029052;IPR000979;IPR028661;	PF12850;	Vacuolar protein sorting-associated protein 29
B8CEY2	THAPSDRAFT_270048	IPR050821;IPR040626;IPR000834;	PF18027;PF00246;	Peptidase M14 domain-containing protein
B8CEZ8	THAPSDRAFT_11594	IPR018611;IPR056579;	PF09743;	E3 UFM1-protein ligase 1-like N-terminal domain-containing protein
B8CEZ9	THAPSDRAFT_14364	IPR016720;	PF01148;	phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase)
B8CF02	THAPSDRAFT_264725	IPR001577;	PF01457;	Leishmanolysin-like peptidase
B8CF13	THAPSDRAFT_11606	IPR033495;IPR031595;IPR011990;	PF16953;	Mitochondrial ribonuclease P catalytic subunit (EC 3.1.26.5) (Mitochondrial ribonuclease P protein 3)
B8CF21	THAPSDRAFT_11615	IPR000763;IPR002016;IPR010255;IPR019794;IPR019793;	PF00141;	Catalase-peroxidase (EC 1.11.1.21)
B8CF23	THAPSDRAFT_11617	IPR018011;IPR027417;IPR005331;	PF03567;	Sulfotransferase domain-containing protein
B8CF24	THAPSDRAFT_11618	IPR018011;IPR005331;	PF03567;	Sulfotransferase domain-containing protein
B8CF25	THAPSDRAFT_38543	IPR001199;IPR036400;IPR018506;IPR051872;	PF00173;	Cytochrome b5 heme-binding domain-containing protein
B8CF37	AOX1_2 THAPSDRAFT_38428	IPR002680;IPR038659;IPR009078;	PF01786;	Mitochondrial alternative oxidase
B8CF38	AOX2 THAPSDRAFT_42992	IPR002680;IPR038659;IPR009078;	PF01786;	Mitochondrial alternative oxidase
B8CF51	THAPSDRAFT_25677	IPR006667;IPR036739;	PF01769;	SLC41A/MgtE integral membrane domain-containing protein
B8CF70	THAPSDRAFT_36702 THAPSDRAFT_38597	IPR050244;IPR019777;IPR001150;IPR004184;	PF01228;PF02901;	formate C-acetyltransferase (EC 2.3.1.54)
B8CF74	THAPSDRAFT_11666 THAPSDRAFT_24395	IPR016024;IPR027159;		Nuclear cap-binding protein subunit 1
B8CF76	THAPSDRAFT_36629 THAPSDRAFT_38576	IPR004839;IPR050087;IPR015424;IPR015421;	PF00155;	serine C-palmitoyltransferase (EC 2.3.1.50)
B8CF78	THAPSDRAFT_36597 THAPSDRAFT_38757	IPR031168;IPR006073;IPR018948;IPR004520;IPR027368;IPR025867;IPR027417;IPR005225;IPR027266;	PF01926;PF12631;PF10396;	TrmE-type G domain-containing protein
B8CF86	THAPSDRAFT_14225	IPR011545;IPR014001;IPR001650;IPR027417;IPR000629;	PF00270;PF00271;	RNA helicase (EC 3.6.4.13)
B8CF88	THAPSDRAFT_25685	IPR050966;IPR009003;IPR043504;IPR018114;		Peptidase S1 domain-containing protein
