gene_id	protein_id
Sro200_g084750	CAB9504540.1
Sro200_g084760	CAB9504541.1
Sro200_g084770	CAB9504542.1
Sro200_g084780	CAB9504543.1
Sro200_g084790	CAB9504544.1
Sro200_g084800	CAB9504545.1
Sro200_g084810	CAB9504546.1
Sro200_g084820	CAB9504547.1
Sro200_g084830	CAB9504548.1
Sro200_g084840	CAB9504549.1
Sro200_g084850	CAB9504550.1
Sro200_g084860	CAB9504551.1
Sro200_g084870	CAB9504552.1
Sro200_g084880	CAB9504553.1
Sro200_g084890	CAB9504554.1
Sro200_g084900	CAB9504555.1
Sro200_g084910	CAB9504556.1
Sro201_g084920	CAB9504557.1
Sro201_g084930	CAB9504558.1
Sro201_g084940	CAB9504559.1
Sro201_g084950	CAB9504560.1
Sro201_g084960	CAB9504561.1
Sro201_g084970	CAB9504562.1
Sro201_g084980	CAB9504563.1
Sro201_g084990	CAB9504564.1
Sro201_g085000	CAB9504565.1
Sro201_g085010	CAB9504566.1
Sro201_g085020	CAB9504567.1
Sro201_g085030	CAB9504568.1
Sro201_g085040	CAB9504569.1
Sro201_g085050	CAB9504570.1
Sro201_g085060	CAB9504571.1
Sro201_g085070	CAB9504572.1
Sro201_g085080	CAB9504573.1
Sro201_g085090	CAB9504574.1
Sro201_g085100	CAB9504575.1
Sro201_g085110	CAB9504576.1
Sro201_g085120	CAB9504577.1
Sro201_g085130	CAB9504578.1
Sro201_g085140	CAB9504579.1
Sro201_g085150	CAB9504580.1
Sro201_g085160	CAB9504581.1
Sro201_g085170	CAB9504582.1
Sro201_g085180	CAB9504583.1
Sro201_g085190	CAB9504584.1
Sro201_g085200	CAB9504585.1
Sro201_g085210	CAB9504586.1
Sro201_g085220	CAB9504587.1
Sro201_g085230	CAB9504588.1
Sro201_g085240	CAB9504589.1
Sro201_g085250	CAB9504590.1
Sro201_g085260	CAB9504591.1
Sro202_g085270	CAB9504592.1
Sro202_g085280	CAB9504593.1
Sro202_g085290	CAB9504594.1
Sro202_g085300	CAB9504595.1
Sro202_g085310	CAB9504596.1
Sro202_g085320	CAB9504597.1
Sro202_g085330	CAB9504598.1
Sro202_g085340	CAB9504599.1
Sro202_g085350	CAB9504600.1
Sro202_g085360	CAB9504601.1
Sro202_g085370	CAB9504602.1
Sro202_g085380	CAB9504603.1
Sro202_g085390	CAB9504604.1
Sro202_g085400	CAB9504605.1
Sro202_g085410	CAB9504606.1
Sro202_g085420	CAB9504607.1
Sro202_g085430	CAB9504608.1
Sro202_g085440	CAB9504609.1
Sro202_g085450	CAB9504610.1
Sro202_g085460	CAB9504611.1
Sro202_g085470	CAB9504612.1
Sro202_g085480	CAB9504613.1
Sro202_g085490	CAB9504614.1
Sro202_g085500	CAB9504615.1
Sro202_g085501	CAB9504616.1
Sro202_g085510	CAB9504617.1
Sro202_g085520	CAB9504618.1
Sro202_g085530	CAB9504619.1
Sro203_g085540	CAB9504620.1
Sro203_g085550	CAB9504621.1
Sro203_g085560	CAB9504622.1
Sro203_g085570	CAB9504623.1
Sro203_g085580	CAB9504624.1
Sro203_g085590	CAB9504625.1
Sro203_g085600	CAB9504626.1
Sro203_g085610	CAB9504627.1
Sro203_g085620	CAB9504628.1
Sro203_g085630	CAB9504629.1
Sro203_g085640	CAB9504630.1
Sro203_g085650	CAB9504631.1
Sro203_g085660	CAB9504632.1
Sro203_g085670	CAB9504633.1
Sro203_g085680	CAB9504634.1
Sro203_g085690	CAB9504635.1
Sro203_g085700	CAB9504636.1
Sro203_g085710	CAB9504637.1
Sro203_g085720	CAB9504638.1
Sro203_g085730	CAB9504639.1
Sro204_g085740	CAB9504640.1
Sro204_g085750	CAB9504641.1
Sro204_g085760	CAB9504642.1
Sro204_g085770	CAB9504643.1
Sro204_g085780	CAB9504644.1
Sro204_g085790	CAB9504645.1
Sro204_g085800	CAB9504646.1
Sro204_g085810	CAB9504647.1
Sro204_g085820	CAB9504648.1
Sro204_g085830	CAB9504649.1
Sro204_g085840	CAB9504650.1
Sro204_g085850	CAB9504651.1
Sro204_g085860	CAB9504652.1
Sro204_g085870	CAB9504653.1
Sro204_g085880	CAB9504654.1
Sro204_g085890	CAB9504655.1
Sro204_g085900	CAB9504656.1
Sro204_g085910	CAB9504657.1
Sro204_g085920	CAB9504658.1
Sro204_g085930	CAB9504659.1
Sro204_g085940	CAB9504660.1
Sro204_g085950	CAB9504661.1
Sro204_g085960	CAB9504662.1
Sro204_g085970	CAB9504663.1
Sro204_g085980	CAB9504664.1
Sro204_g085990	CAB9504665.1
Sro204_g086000	CAB9504666.1
Sro204_g086010	CAB9504667.1
Sro204_g086020	CAB9504668.1
Sro204_g086030	CAB9504669.1
Sro204_g086040	CAB9504670.1
Sro204_g086050	CAB9504671.1
Sro204_g086060	CAB9504672.1
Sro205_g086070	CAB9504673.1
Sro205_g086080	CAB9504674.1
Sro205_g086090	CAB9504675.1
Sro205_g086100	CAB9504676.1
Sro205_g086110	CAB9504677.1
Sro205_g086120	CAB9504678.1
Sro205_g086130	CAB9504679.1
Sro205_g086140	CAB9504680.1
Sro205_g086150	CAB9504681.1
Sro205_g086160	CAB9504682.1
Sro205_g086170	CAB9504683.1
Sro205_g086180	CAB9504684.1
Sro205_g086190	CAB9504685.1
Sro205_g086200	CAB9504686.1
Sro205_g086210	CAB9504687.1
Sro205_g086220	CAB9504688.1
Sro205_g086230	CAB9504689.1
Sro205_g086240	CAB9504690.1
Sro205_g086250	CAB9504691.1
Sro205_g086260	CAB9504692.1
Sro205_g086270	CAB9504693.1
Sro205_g086280	CAB9504694.1
Sro205_g086290	CAB9504695.1
Sro205_g086300	CAB9504696.1
Sro205_g086310	CAB9504697.1
Sro205_g086320	CAB9504698.1
Sro205_g086330	CAB9504699.1
Sro205_g086340	CAB9504700.1
Sro205_g086350	CAB9504701.1
Sro205_g086360	CAB9504702.1
Sro205_g086370	CAB9504703.1
Sro205_g086380	CAB9504704.1
Sro205_g086390	CAB9504705.1
Sro206_g086400	CAB9504706.1
Sro206_g086410	CAB9504707.1
Sro206_g086420	CAB9504708.1
Sro206_g086430	CAB9504709.1
Sro206_g086440	CAB9504710.1
Sro206_g086450	CAB9504711.1
Sro206_g086460	CAB9504712.1
Sro206_g086470	CAB9504713.1
Sro206_g086480	CAB9504714.1
Sro206_g086490	CAB9504715.1
Sro206_g086500	CAB9504716.1
Sro206_g086510	CAB9504717.1
Sro206_g086520	CAB9504718.1
Sro206_g086530	CAB9504719.1
Sro206_g086540	CAB9504720.1
Sro206_g086550	CAB9504721.1
Sro206_g086560	CAB9504722.1
Sro206_g086570	CAB9504723.1
Sro206_g086580	CAB9504724.1
Sro206_g086590	CAB9504725.1
Sro206_g086600	CAB9504726.1
Sro206_g086610	CAB9504727.1
Sro206_g086620	CAB9504728.1
Sro206_g086630	CAB9504729.1
Sro206_g086640	CAB9504730.1
Sro206_g086650	CAB9504731.1
Sro206_g086660	CAB9504732.1
Sro206_g086670	CAB9504733.1
Sro206_g086680	CAB9504734.1
Sro206_g086690	CAB9504735.1
Sro206_g086700	CAB9504736.1
Sro206_g086710	CAB9504737.1
Sro207_g086720	CAB9504738.1
Sro207_g086730	CAB9504739.1
Sro207_g086740	CAB9504740.1
Sro207_g086750	CAB9504741.1
Sro207_g086760	CAB9504742.1
Sro207_g086770	CAB9504743.1
Sro207_g086780	CAB9504744.1
Sro207_g086790	CAB9504745.1
Sro207_g086800	CAB9504746.1
Sro207_g086810	CAB9504747.1
Sro207_g086820	CAB9504748.1
Sro207_g086830	CAB9504749.1
Sro207_g086840	CAB9504750.1
Sro207_g086850	CAB9504751.1
Sro207_g086860	CAB9504752.1
Sro207_g086870	CAB9504753.1
Sro207_g086880	CAB9504754.1
Sro207_g086890	CAB9504755.1
Sro207_g086900	CAB9504756.1
Sro207_g086910	CAB9504757.1
Sro207_g086911	CAB9504758.1
Sro207_g086920	CAB9504759.1
Sro207_g086930	CAB9504760.1
Sro207_g086940	CAB9504761.1
Sro207_g086950	CAB9504762.1
Sro207_g086960	CAB9504763.1
Sro207_g086970	CAB9504764.1
Sro207_g086980	CAB9504765.1
Sro207_g086990	CAB9504766.1
Sro208_g087000	CAB9504767.1
Sro208_g087010	CAB9504768.1
Sro208_g087020	CAB9504769.1
Sro208_g087030	CAB9504770.1
Sro208_g087040	CAB9504771.1
Sro208_g087050	CAB9504772.1
Sro208_g087060	CAB9504773.1
Sro208_g087070	CAB9504774.1
Sro208_g087080	CAB9504775.1
Sro208_g087081	CAB9504776.1
Sro208_g087090	CAB9504777.1
Sro208_g087100	CAB9504778.1
Sro208_g087110	CAB9504779.1
Sro208_g087120	CAB9504780.1
Sro208_g087130	CAB9504781.1
Sro208_g087140	CAB9504782.1
Sro208_g087150	CAB9504783.1
Sro208_g087160	CAB9504784.1
Sro208_g087170	CAB9504785.1
Sro208_g087180	CAB9504786.1
Sro208_g087190	CAB9504787.1
Sro208_g087200	CAB9504788.1
Sro208_g087210	CAB9504789.1
Sro208_g087220	CAB9504790.1
Sro209_g087230	CAB9504791.1
Sro209_g087240	CAB9504792.1
Sro209_g087250	CAB9504793.1
Sro209_g087260	CAB9504794.1
Sro209_g087270	CAB9504795.1
Sro209_g087280	CAB9504796.1
Sro209_g087290	CAB9504797.1
Sro209_g087300	CAB9504798.1
Sro209_g087310	CAB9504799.1
Sro209_g087320	CAB9504800.1
Sro209_g087321	CAB9504801.1
Sro209_g087330	CAB9504802.1
Sro209_g087340	CAB9504803.1
Sro209_g087350	CAB9504804.1
Sro209_g087360	CAB9504805.1
Sro209_g087370	CAB9504806.1
Sro209_g087380	CAB9504807.1
Sro209_g087390	CAB9504808.1
Sro209_g087400	CAB9504809.1
Sro209_g087410	CAB9504810.1
Sro209_g087420	CAB9504811.1
Sro209_g087430	CAB9504812.1
Sro209_g087440	CAB9504813.1
Sro209_g087450	CAB9504814.1
Sro209_g087460	CAB9504815.1
Sro209_g087470	CAB9504816.1
Sro209_g087480	CAB9504817.1
Sro20_g013780	CAB9497429.1
Sro20_g013790	CAB9497430.1
Sro20_g013800	CAB9497431.1
Sro20_g013810	CAB9497432.1
Sro20_g013820	CAB9497433.1
Sro20_g013830	CAB9497434.1
Sro20_g013840	CAB9497435.1
Sro20_g013850	CAB9497436.1
Sro20_g013860	CAB9497437.1
Sro20_g013870	CAB9497438.1
Sro20_g013880	CAB9497439.1
Sro20_g013890	CAB9497440.1
Sro20_g013900	CAB9497441.1
Sro20_g013910	CAB9497442.1
Sro20_g013920	CAB9497443.1
Sro20_g013930	CAB9497444.1
Sro20_g013940	CAB9497445.1
Sro20_g013950	CAB9497446.1
Sro20_g013960	CAB9497447.1
Sro20_g013970	CAB9497448.1
Sro20_g013980	CAB9497449.1
Sro20_g013990	CAB9497450.1
Sro20_g014000	CAB9497451.1
Sro20_g014010	CAB9497452.1
Sro20_g014020	CAB9497453.1
Sro20_g014030	CAB9497454.1
Sro20_g014040	CAB9497455.1
Sro20_g014050	CAB9497456.1
Sro20_g014051	CAB9497457.1
Sro20_g014060	CAB9497458.1
Sro20_g014070	CAB9497459.1
Sro20_g014080	CAB9497460.1
Sro20_g014090	CAB9497461.1
Sro20_g014100	CAB9497462.1
Sro20_g014110	CAB9497463.1
Sro20_g014120	CAB9497464.1
Sro20_g014130	CAB9497465.1
Sro20_g014140	CAB9497466.1
Sro20_g014150	CAB9497467.1
Sro20_g014160	CAB9497468.1
Sro20_g014170	CAB9497469.1
Sro20_g014180	CAB9497470.1
Sro20_g014190	CAB9497471.1
Sro20_g014200	CAB9497472.1
Sro20_g014210	CAB9497473.1
Sro20_g014220	CAB9497474.1
Sro20_g014230	CAB9497475.1
Sro20_g014240	CAB9497476.1
Sro20_g014250	CAB9497477.1
Sro20_g014260	CAB9497478.1
Sro20_g014270	CAB9497479.1
Sro20_g014280	CAB9497480.1
Sro20_g014290	CAB9497481.1
Sro20_g014300	CAB9497482.1
Sro20_g014310	CAB9497483.1
Sro20_g014320	CAB9497484.1
Sro20_g014330	CAB9497485.1
Sro20_g014340	CAB9497486.1
Sro20_g014350	CAB9497487.1
Sro20_g014360	CAB9497488.1
Sro20_g014370	CAB9497489.1
Sro20_g014380	CAB9497490.1
Sro20_g014390	CAB9497491.1
Sro20_g014400	CAB9497492.1
Sro20_g014410	CAB9497493.1
Sro20_g014420	CAB9497494.1
Sro20_g014430	CAB9497495.1
Sro20_g014440	CAB9497496.1
Sro20_g014450	CAB9497497.1
Sro20_g014460	CAB9497498.1
Sro20_g014461	CAB9497499.1
Sro20_g014470	CAB9497500.1
Sro210_g087490	CAB9504818.1
Sro210_g087500	CAB9504819.1
Sro210_g087510	CAB9504820.1
Sro210_g087520	CAB9504821.1
Sro210_g087530	CAB9504822.1
Sro210_g087540	CAB9504823.1
Sro210_g087550	CAB9504824.1
Sro210_g087560	CAB9504825.1
Sro210_g087570	CAB9504826.1
Sro210_g087580	CAB9504827.1
Sro210_g087590	CAB9504828.1
Sro210_g087600	CAB9504829.1
Sro210_g087610	CAB9504830.1
Sro210_g087620	CAB9504831.1
Sro210_g087630	CAB9504832.1
Sro210_g087640	CAB9504833.1
Sro210_g087650	CAB9504834.1
Sro210_g087660	CAB9504835.1
Sro210_g087670	CAB9504836.1
Sro210_g087680	CAB9504837.1
Sro210_g087690	CAB9504838.1
Sro210_g087700	CAB9504839.1
Sro210_g087710	CAB9504840.1
Sro210_g087720	CAB9504841.1
Sro210_g087730	CAB9504842.1
Sro210_g087740	CAB9504843.1
Sro210_g087750	CAB9504844.1
Sro210_g087760	CAB9504845.1
Sro210_g087770	CAB9504846.1
Sro210_g087780	CAB9504847.1
Sro211_g087790	CAB9504848.1
Sro211_g087800	CAB9504849.1
Sro211_g087810	CAB9504850.1
Sro211_g087820	CAB9504851.1
Sro211_g087830	CAB9504852.1
Sro211_g087840	CAB9504853.1
Sro211_g087850	CAB9504854.1
Sro211_g087860	CAB9504855.1
Sro211_g087870	CAB9504856.1
Sro211_g087871	CAB9504857.1
Sro211_g087880	CAB9504858.1
Sro211_g087890	CAB9504859.1
Sro211_g087900	CAB9504860.1
Sro211_g087910	CAB9504861.1
Sro211_g087920	CAB9504862.1
Sro211_g087930	CAB9504863.1
Sro211_g087940	CAB9504864.1
Sro211_g087950	CAB9504865.1
Sro211_g087960	CAB9504866.1
Sro211_g087970	CAB9504867.1
Sro211_g087980	CAB9504868.1
Sro211_g087990	CAB9504869.1
Sro211_g088000	CAB9504870.1
Sro211_g088010	CAB9504871.1
Sro211_g088020	CAB9504872.1
Sro211_g088030	CAB9504873.1
Sro211_g088040	CAB9504874.1
Sro211_g088050	CAB9504875.1
Sro212_g088060	CAB9504876.1
Sro212_g088070	CAB9504877.1
Sro212_g088080	CAB9504878.1
Sro212_g088090	CAB9504879.1
Sro212_g088100	CAB9504880.1
Sro212_g088110	CAB9504881.1
Sro212_g088120	CAB9504882.1
Sro212_g088130	CAB9504883.1
Sro212_g088140	CAB9504884.1
Sro212_g088150	CAB9504885.1
Sro212_g088160	CAB9504886.1
Sro212_g088170	CAB9504887.1
Sro212_g088180	CAB9504888.1
Sro212_g088190	CAB9504889.1
Sro212_g088200	CAB9504890.1
Sro212_g088210	CAB9504891.1
Sro212_g088220	CAB9504892.1
Sro212_g088230	CAB9504893.1
Sro212_g088240	CAB9504894.1
Sro212_g088250	CAB9504895.1
Sro213_g088260	CAB9504897.1
Sro213_g088270	CAB9504898.1
Sro213_g088280	CAB9504899.1
Sro213_g088290	CAB9504900.1
Sro213_g088300	CAB9504901.1
Sro213_g088310	CAB9504902.1
Sro213_g088320	CAB9504903.1
Sro213_g088330	CAB9504904.1
Sro213_g088340	CAB9504905.1
Sro213_g088350	CAB9504906.1
Sro213_g088360	CAB9504907.1
Sro213_g088370	CAB9504908.1
Sro213_g088380	CAB9504909.1
Sro213_g088390	CAB9504910.1
Sro213_g088400	CAB9504911.1
Sro213_g088410	CAB9504912.1
Sro213_g088420	CAB9504913.1
Sro213_g088430	CAB9504914.1
Sro213_g088440	CAB9504915.1
Sro213_g088450	CAB9504916.1
Sro213_g088460	CAB9504917.1
Sro213_g088470	CAB9504918.1
Sro213_g088480	CAB9504919.1
Sro213_g088490	CAB9504920.1
Sro213_g088500	CAB9504921.1
Sro213_g088510	CAB9504922.1
Sro213_g088520	CAB9504923.1
Sro213_g088530	CAB9504924.1
Sro213_g088540	CAB9504925.1
Sro213_g088550	CAB9504926.1
Sro213_g088560	CAB9504927.1
Sro213_g088570	CAB9504928.1
Sro213_g088580	CAB9504929.1
Sro213_g088590	CAB9504930.1
Sro213_g088600	CAB9504931.1
Sro213_g088610	CAB9504932.1
Sro213_g088611	CAB9504933.1
Sro213_g315811	CAB9504896.1
Sro214_g088620	CAB9504934.1
Sro214_g088630	CAB9504935.1
Sro214_g088640	CAB9504936.1
Sro214_g088641	CAB9504938.1
Sro214_g088650	CAB9504937.1
Sro214_g088660	CAB9504939.1
Sro214_g088670	CAB9504940.1
Sro214_g088680	CAB9504941.1
Sro214_g088690	CAB9504942.1
Sro214_g088700	CAB9504943.1
Sro214_g088710	CAB9504944.1
Sro214_g088720	CAB9504945.1
Sro214_g088730	CAB9504946.1
Sro214_g088740	CAB9504947.1
Sro214_g088750	CAB9504948.1
Sro214_g088760	CAB9504949.1
Sro214_g088761	CAB9504950.1
Sro214_g088770	CAB9504951.1
Sro214_g088780	CAB9504952.1
Sro214_g088790	CAB9504953.1
Sro214_g088800	CAB9504954.1
Sro214_g088810	CAB9504955.1
Sro214_g088820	CAB9504956.1
Sro214_g088830	CAB9504957.1
Sro214_g088840	CAB9504958.1
Sro214_g088850	CAB9504959.1
Sro214_g088860	CAB9504960.1
Sro214_g088870	CAB9504961.1
Sro214_g088890	CAB9504962.1
Sro215_g088900	CAB9504963.1
Sro215_g088910	CAB9504964.1
Sro215_g088920	CAB9504965.1
Sro215_g088930	CAB9504966.1
Sro215_g088940	CAB9504967.1
Sro215_g088941	CAB9504968.1
Sro215_g088950	CAB9504969.1
Sro215_g088960	CAB9504970.1
Sro215_g088970	CAB9504971.1
Sro215_g088980	CAB9504972.1
Sro215_g088990	CAB9504973.1
Sro215_g089000	CAB9504974.1
Sro215_g089010	CAB9504975.1
Sro215_g089020	CAB9504976.1
Sro215_g089030	CAB9504977.1
Sro215_g089040	CAB9504978.1
Sro215_g089050	CAB9504979.1
Sro215_g089060	CAB9504980.1
Sro215_g089070	CAB9504981.1
Sro215_g089080	CAB9504982.1
Sro215_g089090	CAB9504983.1
Sro215_g089100	CAB9504984.1
Sro215_g089110	CAB9504985.1
Sro215_g089120	CAB9504986.1
Sro215_g089130	CAB9504987.1
Sro215_g089140	CAB9504988.1
Sro215_g089150	CAB9504989.1
Sro215_g089160	CAB9504990.1
Sro215_g089170	CAB9504991.1
Sro216_g089180	CAB9504992.1
Sro216_g089190	CAB9504993.1
Sro216_g089200	CAB9504994.1
Sro216_g089210	CAB9504995.1
Sro216_g089220	CAB9504996.1
Sro216_g089230	CAB9504997.1
Sro216_g089240	CAB9504998.1
Sro216_g089250	CAB9504999.1
Sro216_g089260	CAB9505000.1
Sro216_g089270	CAB9505001.1
Sro216_g089280	CAB9505002.1
Sro216_g089290	CAB9505003.1
Sro216_g089300	CAB9505004.1
Sro216_g089310	CAB9505005.1
Sro216_g089320	CAB9505006.1
Sro216_g089330	CAB9505007.1
Sro216_g089340	CAB9505008.1
Sro216_g089350	CAB9505009.1
Sro216_g089360	CAB9505010.1
Sro216_g089370	CAB9505011.1
Sro216_g089380	CAB9505012.1
Sro216_g089390	CAB9505013.1
Sro216_g089400	CAB9505014.1
Sro216_g089410	CAB9505015.1
Sro216_g089420	CAB9505016.1
Sro216_g089430	CAB9505017.1
Sro216_g089440	CAB9505018.1
Sro216_g089450	CAB9505019.1
Sro216_g089460	CAB9505020.1
Sro216_g089470	CAB9505021.1
Sro216_g089480	CAB9505022.1
Sro216_g089490	CAB9505023.1
Sro216_g089500	CAB9505024.1
Sro216_g089510	CAB9505025.1
Sro216_g089520	CAB9505026.1
Sro216_g089530	CAB9505027.1
Sro216_g089540	CAB9505028.1
Sro216_g089550	CAB9505029.1
Sro216_g089560	CAB9505030.1
Sro216_g089570	CAB9505031.1
Sro217_g089580	CAB9505032.1
Sro217_g089590	CAB9505033.1
Sro217_g089600	CAB9505034.1
Sro217_g089610	CAB9505035.1
Sro217_g089620	CAB9505036.1
Sro217_g089630	CAB9505037.1
Sro217_g089640	CAB9505038.1
Sro217_g089650	CAB9505039.1
Sro217_g089660	CAB9505040.1
Sro217_g089661	CAB9505041.1
Sro217_g089670	CAB9505042.1
Sro217_g089680	CAB9505043.1
Sro217_g089690	CAB9505044.1
Sro217_g089700	CAB9505045.1
Sro217_g089710	CAB9505046.1
Sro217_g089720	CAB9505047.1
Sro217_g089730	CAB9505048.1
Sro217_g089740	CAB9505049.1
Sro217_g089750	CAB9505050.1
Sro217_g089760	CAB9505051.1
Sro217_g089770	CAB9505052.1
Sro217_g089780	CAB9505053.1
Sro217_g089790	CAB9505054.1
Sro217_g089800	CAB9505055.1
Sro217_g089810	CAB9505056.1
Sro217_g089820	CAB9505057.1
Sro217_g089830	CAB9505058.1
Sro217_g089840	CAB9505059.1
Sro217_g089850	CAB9505060.1
Sro217_g089860	CAB9505061.1
Sro217_g089870	CAB9505062.1
Sro217_g089880	CAB9505063.1
Sro217_g089890	CAB9505064.1
Sro217_g089900	CAB9505065.1
Sro217_g089910	CAB9505066.1
Sro217_g089920	CAB9505067.1
Sro217_g089930	CAB9505068.1
Sro217_g089940	CAB9505069.1
Sro218_g089950	CAB9505070.1
Sro218_g089960	CAB9505071.1
Sro218_g089970	CAB9505072.1
Sro218_g089980	CAB9505073.1
Sro218_g089990	CAB9505074.1
Sro218_g090000	CAB9505075.1
Sro218_g090010	CAB9505076.1
Sro218_g090020	CAB9505077.1
Sro218_g090030	CAB9505078.1
Sro218_g090040	CAB9505079.1
Sro218_g090050	CAB9505080.1
Sro218_g090060	CAB9505081.1
Sro218_g090070	CAB9505082.1
Sro218_g090080	CAB9505083.1
Sro218_g090090	CAB9505084.1
Sro218_g090100	CAB9505085.1
Sro218_g090110	CAB9505086.1
Sro218_g090120	CAB9505087.1
Sro218_g090130	CAB9505088.1
Sro218_g090140	CAB9505089.1
Sro218_g090150	CAB9505090.1
Sro218_g090160	CAB9505091.1
Sro218_g090170	CAB9505092.1
Sro218_g090180	CAB9505093.1
Sro218_g090190	CAB9505094.1
Sro218_g090200	CAB9505095.1
Sro218_g090210	CAB9505096.1
Sro218_g090220	CAB9505097.1
Sro218_g090230	CAB9505098.1
Sro218_g090240	CAB9505099.1
Sro219_g090250	CAB9505100.1
Sro219_g090260	CAB9505101.1
Sro219_g090270	CAB9505102.1
Sro219_g090290	CAB9505103.1
Sro219_g090300	CAB9505104.1
Sro219_g090310	CAB9505105.1
Sro219_g090320	CAB9505106.1
Sro219_g090330	CAB9505107.1
Sro219_g090340	CAB9505108.1
Sro219_g090350	CAB9505109.1
Sro219_g090360	CAB9505110.1
Sro219_g090370	CAB9505111.1
Sro219_g090380	CAB9505112.1
Sro219_g090390	CAB9505113.1
Sro219_g090400	CAB9505114.1
Sro219_g090410	CAB9505115.1
Sro219_g090420	CAB9505116.1
Sro219_g090430	CAB9505117.1
Sro219_g090440	CAB9505118.1
Sro219_g090450	CAB9505119.1
Sro219_g090460	CAB9505120.1
Sro219_g090470	CAB9505121.1
Sro219_g090480	CAB9505122.1
Sro219_g090490	CAB9505123.1
Sro219_g090500	CAB9505124.1
Sro219_g090510	CAB9505125.1
Sro219_g090520	CAB9505126.1
Sro219_g090530	CAB9505127.1
Sro219_g090540	CAB9505128.1
Sro219_g090550	CAB9505129.1
Sro219_g090560	CAB9505130.1
Sro219_g090570	CAB9505131.1
Sro219_g090580	CAB9505132.1
Sro219_g090590	CAB9505133.1
Sro219_g090591	CAB9505134.1
Sro219_g090600	CAB9505135.1
Sro219_g090610	CAB9505136.1
Sro21_g014480	CAB9497501.1
Sro21_g014490	CAB9497502.1
Sro21_g014500	CAB9497503.1
Sro21_g014510	CAB9497504.1
Sro21_g014520	CAB9497505.1
Sro21_g014530	CAB9497506.1
Sro21_g014540	CAB9497507.1
Sro21_g014550	CAB9497508.1
Sro21_g014560	CAB9497509.1
Sro21_g014570	CAB9497510.1
Sro21_g014580	CAB9497511.1
Sro21_g014590	CAB9497512.1
Sro21_g014600	CAB9497513.1
Sro21_g014610	CAB9497514.1
Sro21_g014620	CAB9497515.1
Sro21_g014630	CAB9497516.1
Sro21_g014640	CAB9497517.1
Sro21_g014650	CAB9497518.1
Sro21_g014660	CAB9497519.1
Sro21_g014670	CAB9497520.1
Sro21_g014680	CAB9497521.1
Sro21_g014690	CAB9497522.1
Sro21_g014700	CAB9497523.1
Sro21_g014710	CAB9497524.1
Sro21_g014720	CAB9497525.1
Sro21_g014730	CAB9497526.1
Sro21_g014740	CAB9497527.1
Sro21_g014750	CAB9497528.1
Sro21_g014760	CAB9497529.1
Sro21_g014770	CAB9497530.1
Sro21_g014780	CAB9497531.1
Sro21_g014790	CAB9497532.1
Sro21_g014800	CAB9497533.1
Sro21_g014810	CAB9497534.1
Sro21_g014820	CAB9497535.1
Sro21_g014821	CAB9497536.1
Sro21_g014830	CAB9497537.1
Sro21_g014840	CAB9497538.1
Sro21_g014850	CAB9497539.1
Sro21_g014860	CAB9497540.1
Sro21_g014870	CAB9497541.1
Sro21_g014880	CAB9497542.1
Sro21_g014890	CAB9497543.1
Sro21_g014900	CAB9497544.1
Sro21_g014910	CAB9497545.1
Sro21_g014920	CAB9497546.1
Sro21_g014930	CAB9497547.1
Sro21_g014940	CAB9497548.1
Sro21_g014950	CAB9497549.1
Sro21_g014960	CAB9497550.1
Sro21_g014970	CAB9497551.1
Sro21_g014980	CAB9497552.1
Sro21_g014990	CAB9497553.1
Sro21_g015000	CAB9497554.1
Sro21_g015010	CAB9497555.1
Sro21_g015020	CAB9497556.1
Sro21_g015030	CAB9497557.1
Sro21_g015031	CAB9497558.1
Sro21_g015040	CAB9497559.1
Sro21_g015050	CAB9497560.1
Sro21_g015060	CAB9497561.1
Sro220_g090620	CAB9505137.1
Sro220_g090630	CAB9505138.1
Sro220_g090640	CAB9505139.1
Sro220_g090650	CAB9505140.1
Sro220_g090660	CAB9505141.1
Sro220_g090670	CAB9505142.1
Sro220_g090671	CAB9505143.1
Sro220_g090680	CAB9505144.1
Sro220_g090690	CAB9505145.1
Sro220_g090700	CAB9505146.1
Sro220_g090710	CAB9505147.1
Sro220_g090720	CAB9505148.1
Sro220_g090721	CAB9505149.1
Sro220_g090730	CAB9505150.1
Sro220_g090740	CAB9505151.1
Sro220_g090750	CAB9505152.1
Sro220_g090760	CAB9505153.1
Sro220_g090770	CAB9505154.1
Sro220_g090780	CAB9505155.1
Sro220_g090790	CAB9505156.1
Sro220_g090800	CAB9505157.1
Sro220_g090810	CAB9505158.1
Sro220_g090820	CAB9505159.1
Sro220_g090830	CAB9505160.1
Sro220_g090840	CAB9505161.1
Sro220_g090850	CAB9505162.1
Sro221_g090860	CAB9505163.1
Sro221_g090861	CAB9505164.1
Sro221_g090870	CAB9505165.1
Sro221_g090880	CAB9505166.1
Sro221_g090890	CAB9505167.1
Sro221_g090900	CAB9505168.1
Sro221_g090910	CAB9505169.1
Sro221_g090920	CAB9505170.1
Sro221_g090921	CAB9505171.1
Sro221_g090930	CAB9505172.1
Sro221_g090940	CAB9505173.1
Sro221_g090950	CAB9505174.1
Sro221_g090960	CAB9505175.1
Sro221_g090970	CAB9505176.1
Sro221_g090980	CAB9505177.1
Sro221_g090990	CAB9505178.1
Sro221_g091000	CAB9505179.1
Sro221_g091010	CAB9505180.1
Sro221_g091020	CAB9505181.1
Sro221_g091030	CAB9505182.1
Sro221_g091040	CAB9505183.1
